duration,sex,age,unit,geotime,date,value
M0-11,T,Y20-64,PC,EU27,2006-01-01,13
M0-11,T,Y20-64,PC,EU27,2007-01-01,14
M0-11,T,Y20-64,PC,EU27,2008-01-01,13
M0-11,T,Y20-64,PC,EU27,2009-01-01,11
M0-11,T,Y20-64,PC,EU27,2010-01-01,12
M0-11,T,Y20-64,PC,EU27,2011-01-01,12
M0-11,T,Y20-64,PC,EU27,2012-01-01,12
M0-11,T,Y20-64,PC,EU27,2013-01-01,11
M0-11,T,Y20-64,PC,EU27,2014-01-01,12
M0-11,T,Y20-64,PC,EU27,2015-01-01,12
M0-11,T,Y20-64,PC,EU27,2016-01-01,13
M0-11,T,Y20-64,PC,EU27,2017-01-01,13
M0-11,T,Y20-64,PC,EU28,2005-01-01,13
M0-11,T,Y20-64,PC,EU28,2006-01-01,13
M0-11,T,Y20-64,PC,EU28,2007-01-01,14
M0-11,T,Y20-64,PC,EU28,2008-01-01,13
M0-11,T,Y20-64,PC,EU28,2009-01-01,11
M0-11,T,Y20-64,PC,EU28,2010-01-01,12
M0-11,T,Y20-64,PC,EU28,2011-01-01,12
M0-11,T,Y20-64,PC,EU28,2012-01-01,12
M0-11,T,Y20-64,PC,EU28,2013-01-01,11
M0-11,T,Y20-64,PC,EU28,2014-01-01,12
M0-11,T,Y20-64,PC,EU28,2015-01-01,12
M0-11,T,Y20-64,PC,EU28,2016-01-01,13
M0-11,T,Y20-64,PC,EU28,2017-01-01,13
M0-11,T,Y20-64,PC,FI,2005-01-01,17
M0-11,T,Y20-64,PC,FI,2006-01-01,17
M0-11,T,Y20-64,PC,FI,2007-01-01,18
M0-11,T,Y20-64,PC,FI,2008-01-01,18
M0-11,T,Y20-64,PC,FI,2009-01-01,15
M0-11,T,Y20-64,PC,FI,2010-01-01,15
M0-11,T,Y20-64,PC,FI,2011-01-01,17
M0-11,T,Y20-64,PC,FI,2012-01-01,17
M0-11,T,Y20-64,PC,FI,2013-01-01,16
M0-11,T,Y20-64,PC,FI,2014-01-01,16
M0-11,T,Y20-64,PC,FI,2015-01-01,16
M0-11,T,Y20-64,PC,FI,2016-01-01,17
M0-11,T,Y20-64,PC,FI,2017-01-01,18
M0-11,T,Y20-64,PC,FR,2005-01-01,13
M0-11,T,Y20-64,PC,FR,2006-01-01,13
M0-11,T,Y20-64,PC,FR,2007-01-01,14
M0-11,T,Y20-64,PC,FR,2008-01-01,14
M0-11,T,Y20-64,PC,FR,2009-01-01,12
M0-11,T,Y20-64,PC,FR,2010-01-01,13
M0-11,T,Y20-64,PC,FR,2011-01-01,13
M0-11,T,Y20-64,PC,FR,2012-01-01,13
M0-11,T,Y20-64,PC,FR,2013-01-01,11
M0-11,T,Y20-64,PC,FR,2014-01-01,11
M0-11,T,Y20-64,PC,FR,2015-01-01,12
M0-11,T,Y20-64,PC,FR,2016-01-01,12
M0-11,T,Y20-64,PC,FR,2017-01-01,13
M0-11,T,Y20-64,PC,HR,2005-01-01,10
M0-11,T,Y20-64,PC,HR,2006-01-01,11
M0-11,T,Y20-64,PC,HR,2007-01-01,11
M0-11,T,Y20-64,PC,HR,2008-01-01,9
M0-11,T,Y20-64,PC,HR,2009-01-01,8
M0-11,T,Y20-64,PC,HR,2010-01-01,7
M0-11,T,Y20-64,PC,HR,2011-01-01,8
M0-11,T,Y20-64,PC,HR,2012-01-01,8
M0-11,T,Y20-64,PC,HR,2013-01-01,8
M0-11,T,Y20-64,PC,HR,2014-01-01,11
M0-11,T,Y20-64,PC,HR,2015-01-01,11
M0-11,T,Y20-64,PC,HR,2016-01-01,14
M0-11,T,Y20-64,PC,HR,2017-01-01,14
M0-11,T,Y20-64,PC,HU,2005-01-01,11
M0-11,T,Y20-64,PC,HU,2006-01-01,11
M0-11,T,Y20-64,PC,HU,2007-01-01,11
M0-11,T,Y20-64,PC,HU,2008-01-01,12
M0-11,T,Y20-64,PC,HU,2009-01-01,11
M0-11,T,Y20-64,PC,HU,2010-01-01,12
M0-11,T,Y20-64,PC,HU,2011-01-01,12
M0-11,T,Y20-64,PC,HU,2012-01-01,13
M0-11,T,Y20-64,PC,HU,2013-01-01,14
M0-11,T,Y20-64,PC,HU,2014-01-01,14
M0-11,T,Y20-64,PC,HU,2015-01-01,13
M0-11,T,Y20-64,PC,HU,2016-01-01,14
M0-11,T,Y20-64,PC,HU,2017-01-01,13
M0-11,T,Y20-64,PC,IE,2005-01-01,15
M0-11,T,Y20-64,PC,IE,2006-01-01,13
M0-11,T,Y20-64,PC,IE,2007-01-01,16
M0-11,T,Y20-64,PC,IE,2008-01-01,15
M0-11,T,Y20-64,PC,IE,2009-01-01,11
M0-11,T,Y20-64,PC,IE,2010-01-01,10
M0-11,T,Y20-64,PC,IE,2011-01-01,11
M0-11,T,Y20-64,PC,IE,2012-01-01,12
M0-11,T,Y20-64,PC,IE,2013-01-01,13
M0-11,T,Y20-64,PC,IE,2014-01-01,14
M0-11,T,Y20-64,PC,IE,2015-01-01,14
M0-11,T,Y20-64,PC,IE,2016-01-01,15
M0-11,T,Y20-64,PC,IE,2017-01-01,14
M0-11,T,Y20-64,PC,IS,2005-01-01,18
M0-11,T,Y20-64,PC,IS,2006-01-01,20
M0-11,T,Y20-64,PC,IS,2007-01-01,19
M0-11,T,Y20-64,PC,IS,2008-01-01,19
M0-11,T,Y20-64,PC,IS,2009-01-01,14
M0-11,T,Y20-64,PC,IS,2010-01-01,14
M0-11,T,Y20-64,PC,IS,2011-01-01,16
M0-11,T,Y20-64,PC,IS,2012-01-01,17
M0-11,T,Y20-64,PC,IS,2013-01-01,17
M0-11,T,Y20-64,PC,IS,2014-01-01,16
M0-11,T,Y20-64,PC,IS,2015-01-01,17
M0-11,T,Y20-64,PC,IS,2016-01-01,17
M0-11,T,Y20-64,PC,IS,2017-01-01,18
M0-11,T,Y20-64,PC,IT,2005-01-01,10
M0-11,T,Y20-64,PC,IT,2006-01-01,10
M0-11,T,Y20-64,PC,IT,2007-01-01,11
M0-11,T,Y20-64,PC,IT,2008-01-01,11
M0-11,T,Y20-64,PC,IT,2009-01-01,9
M0-11,T,Y20-64,PC,IT,2010-01-01,9
M0-11,T,Y20-64,PC,IT,2011-01-01,9
M0-11,T,Y20-64,PC,IT,2012-01-01,9
M0-11,T,Y20-64,PC,IT,2013-01-01,8
M0-11,T,Y20-64,PC,IT,2014-01-01,9
M0-11,T,Y20-64,PC,IT,2015-01-01,10
M0-11,T,Y20-64,PC,IT,2016-01-01,10
M0-11,T,Y20-64,PC,IT,2017-01-01,10
M0-11,T,Y20-64,PC,LT,2005-01-01,13
M0-11,T,Y20-64,PC,LT,2006-01-01,13
M0-11,T,Y20-64,PC,LT,2007-01-01,14
M0-11,T,Y20-64,PC,LT,2008-01-01,14
M0-11,T,Y20-64,PC,LT,2009-01-01,12
M0-11,T,Y20-64,PC,LT,2010-01-01,14
M0-11,T,Y20-64,PC,LT,2011-01-01,16
M0-11,T,Y20-64,PC,LT,2012-01-01,15
M0-11,T,Y20-64,PC,LT,2013-01-01,16
M0-11,T,Y20-64,PC,LT,2014-01-01,14
M0-11,T,Y20-64,PC,LT,2015-01-01,15
M0-11,T,Y20-64,PC,LT,2016-01-01,18
M0-11,T,Y20-64,PC,LT,2017-01-01,17
M0-11,T,Y20-64,PC,LU,2005-01-01,9
M0-11,T,Y20-64,PC,LU,2006-01-01,9
M0-11,T,Y20-64,PC,LU,2007-01-01,10
M0-11,T,Y20-64,PC,LU,2008-01-01,8
M0-11,T,Y20-64,PC,LU,2009-01-01,11
M0-11,T,Y20-64,PC,LU,2010-01-01,10
M0-11,T,Y20-64,PC,LU,2011-01-01,12
M0-11,T,Y20-64,PC,LU,2012-01-01,11
M0-11,T,Y20-64,PC,LU,2013-01-01,11
M0-11,T,Y20-64,PC,LU,2014-01-01,12
M0-11,T,Y20-64,PC,LU,2015-01-01,13
