age,sex,unit,geotime,date,value
Y_GE15,T,PC_POP,IE,2012-01-01,29
Y_GE15,T,PC_POP,IE,2015-01-01,
Y_GE15,T,PC_POP,IE,2017-01-01,
Y_GE15,T,PC_POP,IT,2007-01-01,31
Y_GE15,T,PC_POP,IT,2010-01-01,26
Y_GE15,T,PC_POP,IT,2012-01-01,24
Y_GE15,T,PC_POP,IT,2015-01-01,
Y_GE15,T,PC_POP,IT,2017-01-01,
Y_GE15,T,PC_POP,LT,2007-01-01,34
Y_GE15,T,PC_POP,LT,2010-01-01,30
Y_GE15,T,PC_POP,LT,2012-01-01,30
Y_GE15,T,PC_POP,LT,2015-01-01,
Y_GE15,T,PC_POP,LT,2017-01-01,
Y_GE15,T,PC_POP,LU,2007-01-01,26
Y_GE15,T,PC_POP,LU,2010-01-01,25
Y_GE15,T,PC_POP,LU,2012-01-01,27
Y_GE15,T,PC_POP,LU,2015-01-01,
Y_GE15,T,PC_POP,LU,2017-01-01,
Y_GE15,T,PC_POP,LV,2007-01-01,36
Y_GE15,T,PC_POP,LV,2010-01-01,36
Y_GE15,T,PC_POP,LV,2012-01-01,36
Y_GE15,T,PC_POP,LV,2015-01-01,
Y_GE15,T,PC_POP,LV,2017-01-01,
Y_GE15,T,PC_POP,MT,2007-01-01,25
Y_GE15,T,PC_POP,MT,2010-01-01,26
Y_GE15,T,PC_POP,MT,2012-01-01,27
Y_GE15,T,PC_POP,MT,2015-01-01,
Y_GE15,T,PC_POP,MT,2017-01-01,
Y_GE15,T,PC_POP,NL,2007-01-01,29
Y_GE15,T,PC_POP,NL,2010-01-01,23
Y_GE15,T,PC_POP,NL,2012-01-01,23
Y_GE15,T,PC_POP,NL,2015-01-01,
Y_GE15,T,PC_POP,NL,2017-01-01,
Y_GE15,T,PC_POP,PL,2007-01-01,35
Y_GE15,T,PC_POP,PL,2010-01-01,33
Y_GE15,T,PC_POP,PL,2012-01-01,32
Y_GE15,T,PC_POP,PL,2015-01-01,
Y_GE15,T,PC_POP,PL,2017-01-01,
Y_GE15,T,PC_POP,PT,2007-01-01,24
Y_GE15,T,PC_POP,PT,2010-01-01,23
Y_GE15,T,PC_POP,PT,2012-01-01,23
Y_GE15,T,PC_POP,PT,2015-01-01,
Y_GE15,T,PC_POP,PT,2017-01-01,
Y_GE15,T,PC_POP,RO,2007-01-01,31
Y_GE15,T,PC_POP,RO,2010-01-01,30
Y_GE15,T,PC_POP,RO,2012-01-01,30
Y_GE15,T,PC_POP,RO,2015-01-01,
Y_GE15,T,PC_POP,RO,2017-01-01,
Y_GE15,T,PC_POP,SE,2007-01-01,18
Y_GE15,T,PC_POP,SE,2010-01-01,16
Y_GE15,T,PC_POP,SE,2012-01-01,13
Y_GE15,T,PC_POP,SE,2015-01-01,
Y_GE15,T,PC_POP,SE,2017-01-01,
Y_GE15,T,PC_POP,SI,2007-01-01,23
Y_GE15,T,PC_POP,SI,2010-01-01,26
Y_GE15,T,PC_POP,SI,2012-01-01,27
Y_GE15,T,PC_POP,SI,2015-01-01,
Y_GE15,T,PC_POP,SI,2017-01-01,
Y_GE15,T,PC_POP,SK,2007-01-01,25
Y_GE15,T,PC_POP,SK,2010-01-01,26
Y_GE15,T,PC_POP,SK,2012-01-01,23
Y_GE15,T,PC_POP,SK,2015-01-01,
Y_GE15,T,PC_POP,SK,2017-01-01,
Y_GE15,T,PC_POP,UK,2007-01-01,33
Y_GE15,T,PC_POP,UK,2010-01-01,28
Y_GE15,T,PC_POP,UK,2012-01-01,27
Y_GE15,T,PC_POP,UK,2015-01-01,
Y_GE15,T,PC_POP,UK,2017-01-01,
