currency,bop_item,sector10,sectpart,s_adj,stk_flow,partner,geotime,date,value
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DE,2018-01-01,71326
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DE,2018-04-01,63842
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DK,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DK,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DK,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DK,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DK,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DK,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DK,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DK,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DK,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DK,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DK,2018-01-01,2290
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DK,2018-04-01,3842
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EA19,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EA19,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EA19,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EA19,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EA19,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EA19,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EA19,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EA19,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EA19,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EA19,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EA19,2018-01-01,84189
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EA19,2018-04-01,80845
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EE,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EE,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EE,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EE,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EE,2016-07-01,
