age,sex,reason,unit,quantile,geotime,date,value
Y_GE16,F,TOOEFW,PC,TOTAL,NL,2017-01-01,0.1
Y_GE16,F,TOOEFW,PC,TOTAL,NO,2008-01-01,1.2
Y_GE16,F,TOOEFW,PC,TOTAL,NO,2009-01-01,1.3
Y_GE16,F,TOOEFW,PC,TOTAL,NO,2010-01-01,1.4
Y_GE16,F,TOOEFW,PC,TOTAL,NO,2011-01-01,1.4
Y_GE16,F,TOOEFW,PC,TOTAL,NO,2012-01-01,1.6
Y_GE16,F,TOOEFW,PC,TOTAL,NO,2013-01-01,1.8
Y_GE16,F,TOOEFW,PC,TOTAL,NO,2014-01-01,1.0
Y_GE16,F,TOOEFW,PC,TOTAL,NO,2015-01-01,1.2
Y_GE16,F,TOOEFW,PC,TOTAL,NO,2016-01-01,1.2
Y_GE16,F,TOOEFW,PC,TOTAL,NO,2017-01-01,1.2
Y_GE16,F,TOOEFW,PC,TOTAL,PL,2008-01-01,7.1
Y_GE16,F,TOOEFW,PC,TOTAL,PL,2009-01-01,9.0
Y_GE16,F,TOOEFW,PC,TOTAL,PL,2010-01-01,9.6
Y_GE16,F,TOOEFW,PC,TOTAL,PL,2011-01-01,9.2
Y_GE16,F,TOOEFW,PC,TOTAL,PL,2012-01-01,10.4
Y_GE16,F,TOOEFW,PC,TOTAL,PL,2013-01-01,10.0
Y_GE16,F,TOOEFW,PC,TOTAL,PL,2014-01-01,8.7
Y_GE16,F,TOOEFW,PC,TOTAL,PL,2015-01-01,8.3
Y_GE16,F,TOOEFW,PC,TOTAL,PL,2016-01-01,7.5
Y_GE16,F,TOOEFW,PC,TOTAL,PL,2017-01-01,3.5
Y_GE16,F,TOOEFW,PC,TOTAL,PT,2008-01-01,1.3
Y_GE16,F,TOOEFW,PC,TOTAL,PT,2009-01-01,3.7
Y_GE16,F,TOOEFW,PC,TOTAL,PT,2010-01-01,2.5
Y_GE16,F,TOOEFW,PC,TOTAL,PT,2011-01-01,1.6
Y_GE16,F,TOOEFW,PC,TOTAL,PT,2012-01-01,3.6
Y_GE16,F,TOOEFW,PC,TOTAL,PT,2013-01-01,3.6
Y_GE16,F,TOOEFW,PC,TOTAL,PT,2014-01-01,4.3
Y_GE16,F,TOOEFW,PC,TOTAL,PT,2015-01-01,3.6
Y_GE16,F,TOOEFW,PC,TOTAL,PT,2016-01-01,2.8
Y_GE16,F,TOOEFW,PC,TOTAL,PT,2017-01-01,2.7
Y_GE16,F,TOOEFW,PC,TOTAL,RO,2008-01-01,12.9
Y_GE16,F,TOOEFW,PC,TOTAL,RO,2009-01-01,10.3
Y_GE16,F,TOOEFW,PC,TOTAL,RO,2010-01-01,12.9
Y_GE16,F,TOOEFW,PC,TOTAL,RO,2011-01-01,13.3
Y_GE16,F,TOOEFW,PC,TOTAL,RO,2012-01-01,13.8
Y_GE16,F,TOOEFW,PC,TOTAL,RO,2013-01-01,13.2
Y_GE16,F,TOOEFW,PC,TOTAL,RO,2014-01-01,11.9
Y_GE16,F,TOOEFW,PC,TOTAL,RO,2015-01-01,11.4
Y_GE16,F,TOOEFW,PC,TOTAL,RO,2016-01-01,8.0
Y_GE16,F,TOOEFW,PC,TOTAL,RO,2017-01-01,5.9
Y_GE16,F,TOOEFW,PC,TOTAL,RS,2008-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,RS,2009-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,RS,2010-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,RS,2011-01-01,
