unit,age,sex,lmp_type,geotime,date,value
RT,TOTAL,M,TOT2_7,NL,2015-01-01,
RT,TOTAL,M,TOT2_7,NL,2016-01-01,
RT,TOTAL,M,TOT2_7,NO,2005-01-01,25
RT,TOTAL,M,TOT2_7,NO,2006-01-01,27
RT,TOTAL,M,TOT2_7,NO,2007-01-01,31
RT,TOTAL,M,TOT2_7,NO,2008-01-01,26
RT,TOTAL,M,TOT2_7,NO,2009-01-01,22
RT,TOTAL,M,TOT2_7,NO,2010-01-01,24
RT,TOTAL,M,TOT2_7,NO,2011-01-01,25
RT,TOTAL,M,TOT2_7,NO,2012-01-01,22
RT,TOTAL,M,TOT2_7,NO,2013-01-01,20
RT,TOTAL,M,TOT2_7,NO,2014-01-01,21
RT,TOTAL,M,TOT2_7,NO,2015-01-01,17
RT,TOTAL,M,TOT2_7,NO,2016-01-01,16
RT,TOTAL,M,TOT2_7,PL,2005-01-01,11
RT,TOTAL,M,TOT2_7,PL,2006-01-01,12
RT,TOTAL,M,TOT2_7,PL,2007-01-01,16
RT,TOTAL,M,TOT2_7,PL,2008-01-01,35
RT,TOTAL,M,TOT2_7,PL,2009-01-01,32
RT,TOTAL,M,TOT2_7,PL,2010-01-01,23
RT,TOTAL,M,TOT2_7,PL,2011-01-01,22
RT,TOTAL,M,TOT2_7,PL,2012-01-01,18
RT,TOTAL,M,TOT2_7,PL,2013-01-01,17
RT,TOTAL,M,TOT2_7,PL,2014-01-01,19
RT,TOTAL,M,TOT2_7,PL,2015-01-01,24
RT,TOTAL,M,TOT2_7,PL,2016-01-01,28
RT,TOTAL,M,TOT2_7,PT,2005-01-01,33
RT,TOTAL,M,TOT2_7,PT,2006-01-01,32
RT,TOTAL,M,TOT2_7,PT,2007-01-01,31
RT,TOTAL,M,TOT2_7,PT,2008-01-01,33
RT,TOTAL,M,TOT2_7,PT,2009-01-01,31
RT,TOTAL,M,TOT2_7,PT,2010-01-01,29
RT,TOTAL,M,TOT2_7,PT,2011-01-01,19
RT,TOTAL,M,TOT2_7,PT,2012-01-01,15
RT,TOTAL,M,TOT2_7,PT,2013-01-01,16
RT,TOTAL,M,TOT2_7,PT,2014-01-01,24
RT,TOTAL,M,TOT2_7,PT,2015-01-01,28
RT,TOTAL,M,TOT2_7,PT,2016-01-01,23
RT,TOTAL,M,TOT2_7,RO,2005-01-01,8
RT,TOTAL,M,TOT2_7,RO,2006-01-01,7
RT,TOTAL,M,TOT2_7,RO,2007-01-01,8
RT,TOTAL,M,TOT2_7,RO,2008-01-01,7
RT,TOTAL,M,TOT2_7,RO,2009-01-01,3
RT,TOTAL,M,TOT2_7,RO,2010-01-01,3
RT,TOTAL,M,TOT2_7,RO,2011-01-01,2
