airpol,geotime,date,value
PM10,LT,1994-01-01,
PM10,LT,1995-01-01,
PM10,LT,1996-01-01,
PM10,LT,1997-01-01,
PM10,LT,1998-01-01,
PM10,LT,1999-01-01,28
PM10,LT,2000-01-01,
PM10,LT,2001-01-01,
PM10,LT,2002-01-01,
PM10,LT,2003-01-01,
PM10,LT,2004-01-01,23
PM10,LT,2005-01-01,22
PM10,LT,2006-01-01,20
PM10,LT,2007-01-01,20
PM10,LT,2008-01-01,18
PM10,LT,2009-01-01,23
PM10,LT,2010-01-01,26
PM10,LT,2011-01-01,22
PM10,LT,2012-01-01,20
PM10,LT,2013-01-01,23
PM10,LT,2014-01-01,23
PM10,LT,2015-01-01,21
PM10,LT,2016-01-01,
PM10,LU,1992-01-01,
PM10,LU,1993-01-01,
PM10,LU,1994-01-01,
PM10,LU,1995-01-01,
PM10,LU,1996-01-01,
PM10,LU,1997-01-01,
PM10,LU,1998-01-01,
PM10,LU,1999-01-01,
PM10,LU,2000-01-01,
PM10,LU,2001-01-01,
PM10,LU,2002-01-01,
PM10,LU,2003-01-01,
PM10,LU,2004-01-01,
PM10,LU,2005-01-01,
PM10,LU,2006-01-01,21
PM10,LU,2007-01-01,17
PM10,LU,2008-01-01,14
PM10,LU,2009-01-01,14
PM10,LU,2010-01-01,17
PM10,LU,2011-01-01,18
PM10,LU,2012-01-01,17
PM10,LU,2013-01-01,20
PM10,LU,2014-01-01,20
PM10,LU,2015-01-01,21
PM10,LU,2016-01-01,
PM10,LV,1992-01-01,
PM10,LV,1993-01-01,
PM10,LV,1994-01-01,
PM10,LV,1995-01-01,
PM10,LV,1996-01-01,
PM10,LV,1997-01-01,
PM10,LV,1998-01-01,
PM10,LV,1999-01-01,
PM10,LV,2000-01-01,
PM10,LV,2001-01-01,
PM10,LV,2002-01-01,
PM10,LV,2003-01-01,
PM10,LV,2004-01-01,
PM10,LV,2005-01-01,
PM10,LV,2006-01-01,
PM10,LV,2007-01-01,
PM10,LV,2008-01-01,23
PM10,LV,2009-01-01,20
PM10,LV,2010-01-01,24
PM10,LV,2011-01-01,23
PM10,LV,2012-01-01,22
PM10,LV,2013-01-01,21
PM10,LV,2014-01-01,23
PM10,LV,2015-01-01,19
PM10,LV,2016-01-01,
PM10,NL,1992-01-01,42
PM10,NL,1993-01-01,38
PM10,NL,1994-01-01,35
PM10,NL,1995-01-01,37
PM10,NL,1996-01-01,43
PM10,NL,1997-01-01,37
PM10,NL,1998-01-01,36
PM10,NL,1999-01-01,35
PM10,NL,2000-01-01,31
PM10,NL,2001-01-01,30
PM10,NL,2002-01-01,32
PM10,NL,2003-01-01,34
PM10,NL,2004-01-01,30
PM10,NL,2005-01-01,30
PM10,NL,2006-01-01,32
PM10,NL,2007-01-01,31
PM10,NL,2008-01-01,25
PM10,NL,2009-01-01,25
PM10,NL,2010-01-01,24
PM10,NL,2011-01-01,25
PM10,NL,2012-01-01,21
PM10,NL,2013-01-01,21
PM10,NL,2014-01-01,21
PM10,NL,2015-01-01,19
PM10,NL,2016-01-01,
PM10,NO,1992-01-01,
PM10,NO,1993-01-01,
PM10,NO,1994-01-01,
PM10,NO,1995-01-01,
PM10,NO,1996-01-01,
PM10,NO,1997-01-01,
PM10,NO,1998-01-01,
PM10,NO,1999-01-01,
PM10,NO,2000-01-01,
PM10,NO,2001-01-01,
PM10,NO,2002-01-01,
PM10,NO,2003-01-01,19
PM10,NO,2004-01-01,16
PM10,NO,2005-01-01,22
PM10,NO,2006-01-01,22
PM10,NO,2007-01-01,20
PM10,NO,2008-01-01,18
PM10,NO,2009-01-01,19
PM10,NO,2010-01-01,19
PM10,NO,2011-01-01,19
PM10,NO,2012-01-01,16
PM10,NO,2013-01-01,16
PM10,NO,2014-01-01,15
PM10,NO,2015-01-01,13
PM10,NO,2016-01-01,15
PM10,PL,1992-01-01,
PM10,PL,1993-01-01,
PM10,PL,1994-01-01,
PM10,PL,1995-01-01,
PM10,PL,1996-01-01,
PM10,PL,1997-01-01,57
PM10,PL,1998-01-01,53
PM10,PL,1999-01-01,40
PM10,PL,2000-01-01,40
PM10,PL,2001-01-01,37
PM10,PL,2002-01-01,41
PM10,PL,2003-01-01,42
PM10,PL,2004-01-01,34
PM10,PL,2005-01-01,37
PM10,PL,2006-01-01,42
PM10,PL,2007-01-01,32
PM10,PL,2008-01-01,31
PM10,PL,2009-01-01,35
PM10,PL,2010-01-01,39
PM10,PL,2011-01-01,39
PM10,PL,2012-01-01,37
PM10,PL,2013-01-01,33
PM10,PL,2014-01-01,35
PM10,PL,2015-01-01,33
PM10,PL,2016-01-01,
PM10,PT,1992-01-01,
PM10,PT,1993-01-01,
PM10,PT,1994-01-01,
PM10,PT,1995-01-01,
PM10,PT,1996-01-01,
PM10,PT,1997-01-01,
PM10,PT,1998-01-01,
PM10,PT,1999-01-01,40
PM10,PT,2000-01-01,32
PM10,PT,2001-01-01,36
PM10,PT,2002-01-01,34
PM10,PT,2003-01-01,33
PM10,PT,2004-01-01,32
PM10,PT,2005-01-01,33
PM10,PT,2006-01-01,31
PM10,PT,2007-01-01,30
PM10,PT,2008-01-01,25
PM10,PT,2009-01-01,26
PM10,PT,2010-01-01,25
PM10,PT,2011-01-01,26
PM10,PT,2012-01-01,21
PM10,PT,2013-01-01,22
PM10,PT,2014-01-01,16
PM10,PT,2015-01-01,20
PM10,PT,2016-01-01,20
PM10,RO,1992-01-01,
PM10,RO,1993-01-01,
PM10,RO,1994-01-01,
PM10,RO,1995-01-01,
PM10,RO,1996-01-01,
PM10,RO,1997-01-01,
PM10,RO,1998-01-01,
PM10,RO,1999-01-01,
PM10,RO,2000-01-01,
PM10,RO,2001-01-01,
PM10,RO,2002-01-01,
PM10,RO,2003-01-01,49
PM10,RO,2004-01-01,54
PM10,RO,2005-01-01,49
PM10,RO,2006-01-01,52
PM10,RO,2007-01-01,45
PM10,RO,2008-01-01,40
PM10,RO,2009-01-01,29
PM10,RO,2010-01-01,34
PM10,RO,2011-01-01,39
PM10,RO,2012-01-01,33
PM10,RO,2013-01-01,28
PM10,RO,2014-01-01,25
PM10,RO,2015-01-01,27
PM10,RO,2016-01-01,
PM10,SE,1992-01-01,
PM10,SE,1993-01-01,
PM10,SE,1994-01-01,
PM10,SE,1995-01-01,
PM10,SE,1996-01-01,
PM10,SE,1997-01-01,12
PM10,SE,1998-01-01,13
PM10,SE,1999-01-01,14
PM10,SE,2000-01-01,16
PM10,SE,2001-01-01,17
PM10,SE,2002-01-01,19
PM10,SE,2003-01-01,19
PM10,SE,2004-01-01,18
PM10,SE,2005-01-01,19
PM10,SE,2006-01-01,20
PM10,SE,2007-01-01,17
PM10,SE,2008-01-01,17
PM10,SE,2009-01-01,14
PM10,SE,2010-01-01,14
PM10,SE,2011-01-01,16
PM10,SE,2012-01-01,14
PM10,SE,2013-01-01,14
PM10,SE,2014-01-01,14
PM10,SE,2015-01-01,12
PM10,SE,2016-01-01,
PM10,SI,1992-01-01,
PM10,SI,1993-01-01,
PM10,SI,1994-01-01,
PM10,SI,1995-01-01,
PM10,SI,1996-01-01,
PM10,SI,1997-01-01,
PM10,SI,1998-01-01,
PM10,SI,1999-01-01,
PM10,SI,2000-01-01,
PM10,SI,2001-01-01,
PM10,SI,2002-01-01,31
PM10,SI,2003-01-01,44
PM10,SI,2004-01-01,40
PM10,SI,2005-01-01,36
PM10,SI,2006-01-01,33
PM10,SI,2007-01-01,32
PM10,SI,2008-01-01,29
PM10,SI,2009-01-01,27
PM10,SI,2010-01-01,28
PM10,SI,2011-01-01,31
PM10,SI,2012-01-01,25
PM10,SI,2013-01-01,24
PM10,SI,2014-01-01,22
PM10,SI,2015-01-01,27
PM10,SI,2016-01-01,
PM10,SK,1992-01-01,
PM10,SK,1993-01-01,
PM10,SK,1994-01-01,
PM10,SK,1995-01-01,
PM10,SK,1996-01-01,
PM10,SK,1997-01-01,
PM10,SK,1998-01-01,
PM10,SK,1999-01-01,36
PM10,SK,2000-01-01,29
PM10,SK,2001-01-01,27
PM10,SK,2002-01-01,28
PM10,SK,2003-01-01,30
PM10,SK,2004-01-01,31
PM10,SK,2005-01-01,33
PM10,SK,2006-01-01,31
PM10,SK,2007-01-01,28
PM10,SK,2008-01-01,27
PM10,SK,2009-01-01,24
PM10,SK,2010-01-01,29
PM10,SK,2011-01-01,34
PM10,SK,2012-01-01,28
PM10,SK,2013-01-01,24
PM10,SK,2014-01-01,27
PM10,SK,2015-01-01,23
PM10,SK,2016-01-01,
PM10,UK,1992-01-01,38
PM10,UK,1993-01-01,36
PM10,UK,1994-01-01,33
PM10,UK,1995-01-01,32
PM10,UK,1996-01-01,33
PM10,UK,1997-01-01,29
PM10,UK,1998-01-01,25
PM10,UK,1999-01-01,24
PM10,UK,2000-01-01,23
PM10,UK,2001-01-01,24
PM10,UK,2002-01-01,23
PM10,UK,2003-01-01,25
PM10,UK,2004-01-01,22
PM10,UK,2005-01-01,23
PM10,UK,2006-01-01,24
PM10,UK,2007-01-01,24
PM10,UK,2008-01-01,20
PM10,UK,2009-01-01,19
PM10,UK,2010-01-01,17
PM10,UK,2011-01-01,21
PM10,UK,2012-01-01,18
PM10,UK,2013-01-01,17
PM10,UK,2014-01-01,17
PM10,UK,2015-01-01,16
PM10,UK,2016-01-01,
PM2_5,AT,1992-01-01,
PM2_5,AT,1993-01-01,
PM2_5,AT,1994-01-01,
PM2_5,AT,1995-01-01,
PM2_5,AT,1996-01-01,
PM2_5,AT,1997-01-01,
PM2_5,AT,1998-01-01,
PM2_5,AT,1999-01-01,
PM2_5,AT,2000-01-01,
PM2_5,AT,2001-01-01,
PM2_5,AT,2002-01-01,
PM2_5,AT,2003-01-01,
PM2_5,AT,2004-01-01,
PM2_5,AT,2005-01-01,23
PM2_5,AT,2006-01-01,25
PM2_5,AT,2007-01-01,23
PM2_5,AT,2008-01-01,19
PM2_5,AT,2009-01-01,17
PM2_5,AT,2010-01-01,19
PM2_5,AT,2011-01-01,19
PM2_5,AT,2012-01-01,16
PM2_5,AT,2013-01-01,17
PM2_5,AT,2014-01-01,15
PM2_5,AT,2015-01-01,14
PM2_5,AT,2016-01-01,
PM2_5,BE,1992-01-01,
PM2_5,BE,1993-01-01,
PM2_5,BE,1994-01-01,
PM2_5,BE,1995-01-01,
PM2_5,BE,1996-01-01,
PM2_5,BE,1997-01-01,
PM2_5,BE,1998-01-01,
PM2_5,BE,1999-01-01,
PM2_5,BE,2000-01-01,14
PM2_5,BE,2001-01-01,14
PM2_5,BE,2002-01-01,14
