unit,nace_r2,geo\time,date,value
PC,B-S_X_O,NO,2011-01-01,15.7 
PC,B-S_X_O,NO,2012-01-01,14.7 
PC,B-S_X_O,NO,2013-01-01,15.5 
PC,B-S_X_O,NO,2014-01-01,14.5
PC,B-S_X_O,NO,2015-01-01,16.2 
PC,B-S_X_O,NO,2016-01-01,14.9 
PC,B-S_X_O,PL,2002-01-01,7.5 
PC,B-S_X_O,PL,2006-01-01,7.5 
PC,B-S_X_O,PL,2007-01-01,14.9 
PC,B-S_X_O,PL,2008-01-01,11.4 
PC,B-S_X_O,PL,2009-01-01,8.0 
PC,B-S_X_O,PL,2010-01-01,4.5 
PC,B-S_X_O,PL,2011-01-01,5.5 
PC,B-S_X_O,PL,2012-01-01,6.4 
PC,B-S_X_O,PL,2013-01-01,7.1 
PC,B-S_X_O,PL,2014-01-01,7.7
PC,B-S_X_O,PL,2015-01-01,7.4 
PC,B-S_X_O,PL,2016-01-01,7.2 
PC,B-S_X_O,PT,2002-01-01,: 
PC,B-S_X_O,PT,2006-01-01,8.4 
PC,B-S_X_O,PT,2007-01-01,8.5 
PC,B-S_X_O,PT,2008-01-01,9.2 
PC,B-S_X_O,PT,2009-01-01,10.0 
PC,B-S_X_O,PT,2010-01-01,12.8 
PC,B-S_X_O,PT,2011-01-01,12.9 
PC,B-S_X_O,PT,2012-01-01,15.0 
PC,B-S_X_O,PT,2013-01-01,13.3 
PC,B-S_X_O,PT,2014-01-01,14.9
PC,B-S_X_O,PT,2015-01-01,17.8 
PC,B-S_X_O,PT,2016-01-01,17.5 
PC,B-S_X_O,RO,2002-01-01,16.0 
PC,B-S_X_O,RO,2006-01-01,7.8 
PC,B-S_X_O,RO,2007-01-01,12.5 d
PC,B-S_X_O,RO,2008-01-01,8.5 d
PC,B-S_X_O,RO,2009-01-01,7.4 d
PC,B-S_X_O,RO,2010-01-01,8.8 
PC,B-S_X_O,RO,2011-01-01,9.6 
PC,B-S_X_O,RO,2012-01-01,6.9 
PC,B-S_X_O,RO,2013-01-01,4.9 
PC,B-S_X_O,RO,2014-01-01,4.5
PC,B-S_X_O,RO,2015-01-01,5.8 e
PC,B-S_X_O,RO,2016-01-01,5.2 e
PC,B-S_X_O,RS,2002-01-01,: 
PC,B-S_X_O,RS,2006-01-01,: 
PC,B-S_X_O,RS,2007-01-01,: 
PC,B-S_X_O,RS,2008-01-01,: 
PC,B-S_X_O,RS,2009-01-01,: 
