age,sex,workint,indic_il,hhtyp,geotime,date,value
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA19,2010-01-01,68.5 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA19,2011-01-01,68.7 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA19,2012-01-01,71.2 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA19,2013-01-01,68.4
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA19,2014-01-01,68.1 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA19,2015-01-01,70.2
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA19,2016-01-01,69.6 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA19,2017-01-01,72.6 e
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EE,2006-01-01,85.0 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EE,2007-01-01,85.1 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EE,2008-01-01,82.8 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EE,2009-01-01,73.6 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EE,2010-01-01,72.5 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EE,2011-01-01,75.3 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EE,2012-01-01,71.1 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EE,2013-01-01,81.9
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EE,2014-01-01,70.2 b
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EE,2015-01-01,77.1
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EE,2016-01-01,80.9 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EE,2017-01-01,70.8 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EL,2006-01-01,60.1 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EL,2007-01-01,55.5 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EL,2008-01-01,49.0 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EL,2009-01-01,46.9 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EL,2010-01-01,49.6 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EL,2011-01-01,74.2 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EL,2012-01-01,79.3 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EL,2013-01-01,75.7
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EL,2014-01-01,60.4 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EL,2015-01-01,63.3
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EL,2016-01-01,67.5 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EL,2017-01-01,66.2 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,ES,2006-01-01,75.1 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,ES,2007-01-01,71.4 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,ES,2008-01-01,62.9 b
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,ES,2009-01-01,70.5 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,ES,2010-01-01,71.6 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,ES,2011-01-01,67.7 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,ES,2012-01-01,74.8 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,ES,2013-01-01,75.0
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,ES,2014-01-01,74.3 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,ES,2015-01-01,72.1
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,ES,2016-01-01,74.7 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,ES,2017-01-01,79.3 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU27,2006-01-01,65.0 e
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU27,2007-01-01,68.6 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU27,2008-01-01,66.8 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU27,2009-01-01,67.4 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU27,2010-01-01,66.8 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU27,2011-01-01,66.5 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU27,2012-01-01,66.4 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU27,2013-01-01,63.6
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU27,2014-01-01,65.7 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU27,2015-01-01,67.5
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU27,2016-01-01,68.2 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU27,2017-01-01,72.2 e
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU28,2006-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU28,2007-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU28,2008-01-01,
