wst_oper,unit,geotime,date,value
GEN,KG_HAB,MK,2005-01-01,
GEN,KG_HAB,MK,2006-01-01,
GEN,KG_HAB,MK,2007-01-01,
GEN,KG_HAB,MK,2008-01-01,349.0
GEN,KG_HAB,MK,2009-01-01,354.0
GEN,KG_HAB,MK,2010-01-01,351.0
GEN,KG_HAB,MK,2011-01-01,357.0
GEN,KG_HAB,MK,2012-01-01,381.0
GEN,KG_HAB,MK,2013-01-01,384.0
GEN,KG_HAB,MK,2014-01-01,370.0
GEN,KG_HAB,MK,2015-01-01,380.0
GEN,KG_HAB,MK,2016-01-01,385.0
GEN,KG_HAB,MT,2000-01-01,533.0
GEN,KG_HAB,MT,2001-01-01,540.0
GEN,KG_HAB,MT,2002-01-01,541.0
GEN,KG_HAB,MT,2003-01-01,580.0
GEN,KG_HAB,MT,2004-01-01,623.0
GEN,KG_HAB,MT,2005-01-01,623.0
GEN,KG_HAB,MT,2006-01-01,624.0
GEN,KG_HAB,MT,2007-01-01,654.0
GEN,KG_HAB,MT,2008-01-01,674.0
GEN,KG_HAB,MT,2009-01-01,649.0
GEN,KG_HAB,MT,2010-01-01,601.0
GEN,KG_HAB,MT,2011-01-01,589.0
GEN,KG_HAB,MT,2012-01-01,590.0
GEN,KG_HAB,MT,2013-01-01,579.0
GEN,KG_HAB,MT,2014-01-01,591.0
GEN,KG_HAB,MT,2015-01-01,606.0
GEN,KG_HAB,MT,2016-01-01,621.0
GEN,KG_HAB,NL,2000-01-01,598.0
GEN,KG_HAB,NL,2001-01-01,595.0
GEN,KG_HAB,NL,2002-01-01,600.0
GEN,KG_HAB,NL,2003-01-01,586.0
GEN,KG_HAB,NL,2004-01-01,599.0
GEN,KG_HAB,NL,2005-01-01,599.0
GEN,KG_HAB,NL,2006-01-01,597.0
GEN,KG_HAB,NL,2007-01-01,606.0
GEN,KG_HAB,NL,2008-01-01,600.0
GEN,KG_HAB,NL,2009-01-01,589.0
GEN,KG_HAB,NL,2010-01-01,571.0
GEN,KG_HAB,NL,2011-01-01,568.0
GEN,KG_HAB,NL,2012-01-01,549.0
GEN,KG_HAB,NL,2013-01-01,526.0
GEN,KG_HAB,NL,2014-01-01,527.0
GEN,KG_HAB,NL,2015-01-01,523.0
GEN,KG_HAB,NL,2016-01-01,520.0
GEN,KG_HAB,NO,2000-01-01,613.0
GEN,KG_HAB,NO,2001-01-01,361.0
GEN,KG_HAB,NO,2002-01-01,392.0
GEN,KG_HAB,NO,2003-01-01,402.0
GEN,KG_HAB,NO,2004-01-01,414.0
GEN,KG_HAB,NO,2005-01-01,426.0
GEN,KG_HAB,NO,2006-01-01,459.0
GEN,KG_HAB,NO,2007-01-01,491.0
GEN,KG_HAB,NO,2008-01-01,487.0
GEN,KG_HAB,NO,2009-01-01,470.0
GEN,KG_HAB,NO,2010-01-01,469.0
GEN,KG_HAB,NO,2011-01-01,485.0
GEN,KG_HAB,NO,2012-01-01,477.0
GEN,KG_HAB,NO,2013-01-01,496.0
GEN,KG_HAB,NO,2014-01-01,423.0
GEN,KG_HAB,NO,2015-01-01,421.0
GEN,KG_HAB,NO,2016-01-01,754.0
GEN,KG_HAB,PL,2000-01-01,320.0
GEN,KG_HAB,PL,2001-01-01,290.0
GEN,KG_HAB,PL,2002-01-01,275.0
GEN,KG_HAB,PL,2003-01-01,260.0
GEN,KG_HAB,PL,2004-01-01,256.0
GEN,KG_HAB,PL,2005-01-01,319.0
GEN,KG_HAB,PL,2006-01-01,321.0
GEN,KG_HAB,PL,2007-01-01,322.0
GEN,KG_HAB,PL,2008-01-01,320.0
GEN,KG_HAB,PL,2009-01-01,316.0
GEN,KG_HAB,PL,2010-01-01,316.0
GEN,KG_HAB,PL,2011-01-01,319.0
GEN,KG_HAB,PL,2012-01-01,317.0
GEN,KG_HAB,PL,2013-01-01,297.0
GEN,KG_HAB,PL,2014-01-01,272.0
GEN,KG_HAB,PL,2015-01-01,286.0
GEN,KG_HAB,PL,2016-01-01,307.0
GEN,KG_HAB,PT,2000-01-01,457.0
GEN,KG_HAB,PT,2001-01-01,454.0
GEN,KG_HAB,PT,2002-01-01,441.0
GEN,KG_HAB,PT,2003-01-01,449.0
GEN,KG_HAB,PT,2004-01-01,445.0
GEN,KG_HAB,PT,2005-01-01,452.0
GEN,KG_HAB,PT,2006-01-01,465.0
GEN,KG_HAB,PT,2007-01-01,471.0
GEN,KG_HAB,PT,2008-01-01,518.0
GEN,KG_HAB,PT,2009-01-01,520.0
GEN,KG_HAB,PT,2010-01-01,516.0
GEN,KG_HAB,PT,2011-01-01,490.0
GEN,KG_HAB,PT,2012-01-01,453.0
GEN,KG_HAB,PT,2013-01-01,440.0
GEN,KG_HAB,PT,2014-01-01,453.0
GEN,KG_HAB,PT,2015-01-01,460.0
GEN,KG_HAB,PT,2016-01-01,474.0
GEN,KG_HAB,RO,2000-01-01,355.0
GEN,KG_HAB,RO,2001-01-01,341.0
GEN,KG_HAB,RO,2002-01-01,385.0
GEN,KG_HAB,RO,2003-01-01,353.0
GEN,KG_HAB,RO,2004-01-01,349.0
GEN,KG_HAB,RO,2005-01-01,383.0
GEN,KG_HAB,RO,2006-01-01,396.0
GEN,KG_HAB,RO,2007-01-01,391.0
GEN,KG_HAB,RO,2008-01-01,411.0
GEN,KG_HAB,RO,2009-01-01,381.0
GEN,KG_HAB,RO,2010-01-01,313.0
GEN,KG_HAB,RO,2011-01-01,259.0
GEN,KG_HAB,RO,2012-01-01,251.0
GEN,KG_HAB,RO,2013-01-01,254.0
GEN,KG_HAB,RO,2014-01-01,249.0
GEN,KG_HAB,RO,2015-01-01,247.0
GEN,KG_HAB,RO,2016-01-01,261.0
GEN,KG_HAB,RS,2000-01-01,
GEN,KG_HAB,RS,2001-01-01,
GEN,KG_HAB,RS,2002-01-01,
GEN,KG_HAB,RS,2003-01-01,
GEN,KG_HAB,RS,2004-01-01,
GEN,KG_HAB,RS,2005-01-01,
GEN,KG_HAB,RS,2006-01-01,233.0
GEN,KG_HAB,RS,2007-01-01,280.0
GEN,KG_HAB,RS,2008-01-01,347.0
GEN,KG_HAB,RS,2009-01-01,360.0
GEN,KG_HAB,RS,2010-01-01,363.0
GEN,KG_HAB,RS,2011-01-01,375.0
GEN,KG_HAB,RS,2012-01-01,364.0
GEN,KG_HAB,RS,2013-01-01,336.0
