sex,unit,indic_il,age,geotime,date,value
T,PC,LI_R_MD60,TOTAL,MT,2012-01-01,15.1
T,PC,LI_R_MD60,TOTAL,MT,2013-01-01,15.7
T,PC,LI_R_MD60,TOTAL,MT,2014-01-01,15.9
T,PC,LI_R_MD60,TOTAL,MT,2015-01-01,16.3
T,PC,LI_R_MD60,TOTAL,MT,2016-01-01,16.5
T,PC,LI_R_MD60,TOTAL,MT,2017-01-01,16.8
T,PC,LI_R_MD60,TOTAL,NL,1995-01-01,11.0
T,PC,LI_R_MD60,TOTAL,NL,1996-01-01,12.0
T,PC,LI_R_MD60,TOTAL,NL,1997-01-01,10.0
T,PC,LI_R_MD60,TOTAL,NL,1998-01-01,10.0
T,PC,LI_R_MD60,TOTAL,NL,1999-01-01,11.0
T,PC,LI_R_MD60,TOTAL,NL,2000-01-01,11.0
T,PC,LI_R_MD60,TOTAL,NL,2001-01-01,11.0
T,PC,LI_R_MD60,TOTAL,NL,2002-01-01,11.0
T,PC,LI_R_MD60,TOTAL,NL,2003-01-01,
T,PC,LI_R_MD60,TOTAL,NL,2004-01-01,
T,PC,LI_R_MD60,TOTAL,NL,2005-01-01,10.7
T,PC,LI_R_MD60,TOTAL,NL,2006-01-01,9.7
T,PC,LI_R_MD60,TOTAL,NL,2007-01-01,10.2
T,PC,LI_R_MD60,TOTAL,NL,2008-01-01,10.5
T,PC,LI_R_MD60,TOTAL,NL,2009-01-01,11.1
T,PC,LI_R_MD60,TOTAL,NL,2010-01-01,10.3
T,PC,LI_R_MD60,TOTAL,NL,2011-01-01,11.0
T,PC,LI_R_MD60,TOTAL,NL,2012-01-01,10.1
T,PC,LI_R_MD60,TOTAL,NL,2013-01-01,10.4
T,PC,LI_R_MD60,TOTAL,NL,2014-01-01,11.6
T,PC,LI_R_MD60,TOTAL,NL,2015-01-01,11.6
T,PC,LI_R_MD60,TOTAL,NL,2016-01-01,12.7
T,PC,LI_R_MD60,TOTAL,NL,2017-01-01,13.2
T,PC,LI_R_MD60,TOTAL,PL,1995-01-01,
T,PC,LI_R_MD60,TOTAL,PL,1996-01-01,
T,PC,LI_R_MD60,TOTAL,PL,1997-01-01,
T,PC,LI_R_MD60,TOTAL,PL,1998-01-01,
T,PC,LI_R_MD60,TOTAL,PL,1999-01-01,
T,PC,LI_R_MD60,TOTAL,PL,2000-01-01,16.0
T,PC,LI_R_MD60,TOTAL,PL,2001-01-01,16.0
T,PC,LI_R_MD60,TOTAL,PL,2002-01-01,
T,PC,LI_R_MD60,TOTAL,PL,2003-01-01,
T,PC,LI_R_MD60,TOTAL,PL,2004-01-01,
T,PC,LI_R_MD60,TOTAL,PL,2005-01-01,20.5
T,PC,LI_R_MD60,TOTAL,PL,2006-01-01,19.1
T,PC,LI_R_MD60,TOTAL,PL,2007-01-01,17.3
T,PC,LI_R_MD60,TOTAL,PL,2008-01-01,16.9
T,PC,LI_R_MD60,TOTAL,PL,2009-01-01,17.1
T,PC,LI_R_MD60,TOTAL,PL,2010-01-01,17.6
T,PC,LI_R_MD60,TOTAL,PL,2011-01-01,17.7
T,PC,LI_R_MD60,TOTAL,PL,2012-01-01,17.1
