sex,age,typtrai,wstatus,unit,geotime,date,value
F,Y15-29,NO_FED_NFE,NEMP,PC,EL,2016-01-01,24
F,Y15-29,NO_FED_NFE,NEMP,PC,EL,2017-01-01,24
F,Y15-29,NO_FED_NFE,NEMP,PC,ES,2000-01-01,20
F,Y15-29,NO_FED_NFE,NEMP,PC,ES,2001-01-01,19
F,Y15-29,NO_FED_NFE,NEMP,PC,ES,2002-01-01,19
F,Y15-29,NO_FED_NFE,NEMP,PC,ES,2003-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,ES,2004-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,ES,2005-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,ES,2006-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,ES,2007-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,ES,2008-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,ES,2009-01-01,19
F,Y15-29,NO_FED_NFE,NEMP,PC,ES,2010-01-01,19
F,Y15-29,NO_FED_NFE,NEMP,PC,ES,2011-01-01,20
F,Y15-29,NO_FED_NFE,NEMP,PC,ES,2012-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,ES,2013-01-01,22
F,Y15-29,NO_FED_NFE,NEMP,PC,ES,2014-01-01,20
F,Y15-29,NO_FED_NFE,NEMP,PC,ES,2015-01-01,19
F,Y15-29,NO_FED_NFE,NEMP,PC,ES,2016-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,ES,2017-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EU27,2000-01-01,19
F,Y15-29,NO_FED_NFE,NEMP,PC,EU27,2001-01-01,19
F,Y15-29,NO_FED_NFE,NEMP,PC,EU27,2002-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,EU27,2003-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,EU27,2004-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,EU27,2005-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,EU27,2006-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EU27,2007-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EU27,2008-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EU27,2009-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EU27,2010-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EU27,2011-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EU27,2012-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,EU27,2013-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EU27,2014-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EU27,2015-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EU27,2016-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EU27,2017-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,EU28,2000-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,EU28,2001-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,EU28,2002-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,EU28,2003-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,EU28,2004-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,EU28,2005-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,EU28,2006-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EU28,2007-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EU28,2008-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EU28,2009-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EU28,2010-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EU28,2011-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EU28,2012-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,EU28,2013-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EU28,2014-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EU28,2015-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EU28,2016-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EU28,2017-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,FI,2000-01-01,13
F,Y15-29,NO_FED_NFE,NEMP,PC,FI,2001-01-01,12
F,Y15-29,NO_FED_NFE,NEMP,PC,FI,2002-01-01,11
F,Y15-29,NO_FED_NFE,NEMP,PC,FI,2003-01-01,12
F,Y15-29,NO_FED_NFE,NEMP,PC,FI,2004-01-01,12
F,Y15-29,NO_FED_NFE,NEMP,PC,FI,2005-01-01,11
F,Y15-29,NO_FED_NFE,NEMP,PC,FI,2006-01-01,11
F,Y15-29,NO_FED_NFE,NEMP,PC,FI,2007-01-01,10
F,Y15-29,NO_FED_NFE,NEMP,PC,FI,2008-01-01,10
F,Y15-29,NO_FED_NFE,NEMP,PC,FI,2009-01-01,12
F,Y15-29,NO_FED_NFE,NEMP,PC,FI,2010-01-01,11
F,Y15-29,NO_FED_NFE,NEMP,PC,FI,2011-01-01,11
F,Y15-29,NO_FED_NFE,NEMP,PC,FI,2012-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,FI,2013-01-01,11
F,Y15-29,NO_FED_NFE,NEMP,PC,FI,2014-01-01,11
F,Y15-29,NO_FED_NFE,NEMP,PC,FI,2015-01-01,13
F,Y15-29,NO_FED_NFE,NEMP,PC,FI,2016-01-01,12
F,Y15-29,NO_FED_NFE,NEMP,PC,FI,2017-01-01,11
F,Y15-29,NO_FED_NFE,NEMP,PC,FR,2000-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,FR,2001-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,FR,2002-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,FR,2003-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,FR,2004-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,FR,2005-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,FR,2006-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,FR,2007-01-01,14
F,Y15-29,NO_FED_NFE,NEMP,PC,FR,2008-01-01,14
F,Y15-29,NO_FED_NFE,NEMP,PC,FR,2009-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,FR,2010-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,FR,2011-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,FR,2012-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,FR,2013-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,FR,2014-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,FR,2015-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,FR,2016-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,FR,2017-01-01,14
F,Y15-29,NO_FED_NFE,NEMP,PC,HR,2000-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,HR,2001-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,HR,2002-01-01,24
F,Y15-29,NO_FED_NFE,NEMP,PC,HR,2003-01-01,21
F,Y15-29,NO_FED_NFE,NEMP,PC,HR,2004-01-01,22
F,Y15-29,NO_FED_NFE,NEMP,PC,HR,2005-01-01,19
F,Y15-29,NO_FED_NFE,NEMP,PC,HR,2006-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,HR,2007-01-01,16
