org_inst,sex,unit,geotime,date,value
GOV_NAT,F,PC_WMN,IS,2012-01-01,50
GOV_NAT,F,PC_WMN,IS,2013-01-01,33
GOV_NAT,F,PC_WMN,IS,2014-01-01,33
GOV_NAT,F,PC_WMN,IS,2015-01-01,40
GOV_NAT,F,PC_WMN,IS,2016-01-01,50
GOV_NAT,F,PC_WMN,IS,2017-01-01,36
GOV_NAT,F,PC_WMN,IS,2018-01-01,45
GOV_NAT,F,PC_WMN,IT,2003-01-01,10
GOV_NAT,F,PC_WMN,IT,2004-01-01,10
GOV_NAT,F,PC_WMN,IT,2005-01-01,5
GOV_NAT,F,PC_WMN,IT,2006-01-01,21
GOV_NAT,F,PC_WMN,IT,2007-01-01,20
GOV_NAT,F,PC_WMN,IT,2008-01-01,14
GOV_NAT,F,PC_WMN,IT,2009-01-01,14
GOV_NAT,F,PC_WMN,IT,2010-01-01,19
GOV_NAT,F,PC_WMN,IT,2011-01-01,21
GOV_NAT,F,PC_WMN,IT,2012-01-01,13
GOV_NAT,F,PC_WMN,IT,2013-01-01,24
GOV_NAT,F,PC_WMN,IT,2014-01-01,27
GOV_NAT,F,PC_WMN,IT,2015-01-01,26
GOV_NAT,F,PC_WMN,IT,2016-01-01,25
GOV_NAT,F,PC_WMN,IT,2017-01-01,28
GOV_NAT,F,PC_WMN,IT,2018-01-01,27
GOV_NAT,F,PC_WMN,LI,2003-01-01,20
GOV_NAT,F,PC_WMN,LI,2004-01-01,33
GOV_NAT,F,PC_WMN,LI,2005-01-01,25
GOV_NAT,F,PC_WMN,LI,2006-01-01,25
GOV_NAT,F,PC_WMN,LI,2007-01-01,40
GOV_NAT,F,PC_WMN,LI,2008-01-01,40
GOV_NAT,F,PC_WMN,LI,2009-01-01,30
GOV_NAT,F,PC_WMN,LI,2010-01-01,30
GOV_NAT,F,PC_WMN,LI,2011-01-01,30
GOV_NAT,F,PC_WMN,LI,2012-01-01,30
GOV_NAT,F,PC_WMN,LI,2013-01-01,50
GOV_NAT,F,PC_WMN,LI,2014-01-01,50
GOV_NAT,F,PC_WMN,LI,2015-01-01,50
GOV_NAT,F,PC_WMN,LI,2016-01-01,55
GOV_NAT,F,PC_WMN,LI,2017-01-01,40
GOV_NAT,F,PC_WMN,LI,2018-01-01,40
GOV_NAT,F,PC_WMN,LT,2003-01-01,
GOV_NAT,F,PC_WMN,LT,2004-01-01,15
GOV_NAT,F,PC_WMN,LT,2005-01-01,15
GOV_NAT,F,PC_WMN,LT,2006-01-01,23
GOV_NAT,F,PC_WMN,LT,2007-01-01,25
GOV_NAT,F,PC_WMN,LT,2008-01-01,18
GOV_NAT,F,PC_WMN,LT,2009-01-01,17
GOV_NAT,F,PC_WMN,LT,2010-01-01,19
GOV_NAT,F,PC_WMN,LT,2011-01-01,17
GOV_NAT,F,PC_WMN,LT,2012-01-01,13
GOV_NAT,F,PC_WMN,LT,2013-01-01,18
GOV_NAT,F,PC_WMN,LT,2014-01-01,20
GOV_NAT,F,PC_WMN,LT,2015-01-01,21
GOV_NAT,F,PC_WMN,LT,2016-01-01,24
GOV_NAT,F,PC_WMN,LT,2017-01-01,26
GOV_NAT,F,PC_WMN,LT,2018-01-01,24
GOV_NAT,F,PC_WMN,LU,2003-01-01,33
GOV_NAT,F,PC_WMN,LU,2004-01-01,21
GOV_NAT,F,PC_WMN,LU,2005-01-01,14
GOV_NAT,F,PC_WMN,LU,2006-01-01,21
GOV_NAT,F,PC_WMN,LU,2007-01-01,20
GOV_NAT,F,PC_WMN,LU,2008-01-01,20
GOV_NAT,F,PC_WMN,LU,2009-01-01,26
GOV_NAT,F,PC_WMN,LU,2010-01-01,26
GOV_NAT,F,PC_WMN,LU,2011-01-01,26
GOV_NAT,F,PC_WMN,LU,2012-01-01,26
GOV_NAT,F,PC_WMN,LU,2013-01-01,26
GOV_NAT,F,PC_WMN,LU,2014-01-01,27
GOV_NAT,F,PC_WMN,LU,2015-01-01,27
GOV_NAT,F,PC_WMN,LU,2016-01-01,22
GOV_NAT,F,PC_WMN,LU,2017-01-01,22
GOV_NAT,F,PC_WMN,LU,2018-01-01,28
GOV_NAT,F,PC_WMN,LV,2003-01-01,25
GOV_NAT,F,PC_WMN,LV,2004-01-01,25
GOV_NAT,F,PC_WMN,LV,2005-01-01,23
GOV_NAT,F,PC_WMN,LV,2006-01-01,23
GOV_NAT,F,PC_WMN,LV,2007-01-01,27
GOV_NAT,F,PC_WMN,LV,2008-01-01,27
GOV_NAT,F,PC_WMN,LV,2009-01-01,24
GOV_NAT,F,PC_WMN,LV,2010-01-01,26
GOV_NAT,F,PC_WMN,LV,2011-01-01,28
GOV_NAT,F,PC_WMN,LV,2012-01-01,30
