age,geotime,date,value
Y_LT3,LV,2015-01-01,22.8 
Y_LT3,LV,2016-01-01,28.3 
Y_LT3,MK,2005-01-01,
Y_LT3,MK,2006-01-01,
Y_LT3,MK,2007-01-01,
Y_LT3,MK,2008-01-01,
Y_LT3,MK,2009-01-01,
Y_LT3,MK,2010-01-01,
Y_LT3,MK,2011-01-01,
Y_LT3,MK,2012-01-01,
Y_LT3,MK,2013-01-01,
Y_LT3,MK,2014-01-01,5.9 
Y_LT3,MK,2015-01-01,6.1 
Y_LT3,MK,2016-01-01,9.0 
Y_LT3,MT,2005-01-01,5.0 
Y_LT3,MT,2006-01-01,7.0 
Y_LT3,MT,2007-01-01,9.0 
Y_LT3,MT,2008-01-01,14.0 
Y_LT3,MT,2009-01-01,8.0 
Y_LT3,MT,2010-01-01,9.0 
Y_LT3,MT,2011-01-01,12.0 
Y_LT3,MT,2012-01-01,17.0 
Y_LT3,MT,2013-01-01,21.0 
Y_LT3,MT,2014-01-01,18.2 
Y_LT3,MT,2015-01-01,17.9 
Y_LT3,MT,2016-01-01,31.4 
Y_LT3,NL,2005-01-01,40.0 
Y_LT3,NL,2006-01-01,45.0 
Y_LT3,NL,2007-01-01,42.0 
Y_LT3,NL,2008-01-01,47.0 
Y_LT3,NL,2009-01-01,49.0 
Y_LT3,NL,2010-01-01,50.0 
Y_LT3,NL,2011-01-01,52.0 
Y_LT3,NL,2012-01-01,46.0 
Y_LT3,NL,2013-01-01,46.0 
Y_LT3,NL,2014-01-01,44.6 
Y_LT3,NL,2015-01-01,46.3 
Y_LT3,NL,2016-01-01,53.0 
Y_LT3,NO,2005-01-01,34.0 
Y_LT3,NO,2006-01-01,34.0 
Y_LT3,NO,2007-01-01,32.0 
Y_LT3,NO,2008-01-01,37.0 
Y_LT3,NO,2009-01-01,41.0 
Y_LT3,NO,2010-01-01,48.0 
Y_LT3,NO,2011-01-01,42.0 
Y_LT3,NO,2012-01-01,43.0 
Y_LT3,NO,2013-01-01,46.0 
Y_LT3,NO,2014-01-01,54.6 
Y_LT3,NO,2015-01-01,52.2 
Y_LT3,NO,2016-01-01,52.1 
Y_LT3,PL,2005-01-01,2.0 
Y_LT3,PL,2006-01-01,3.0 
Y_LT3,PL,2007-01-01,3.0 
Y_LT3,PL,2008-01-01,3.0 
Y_LT3,PL,2009-01-01,3.0 
Y_LT3,PL,2010-01-01,2.0 
Y_LT3,PL,2011-01-01,3.0 
Y_LT3,PL,2012-01-01,6.0 
Y_LT3,PL,2013-01-01,5.0 
Y_LT3,PL,2014-01-01,5.6 
Y_LT3,PL,2015-01-01,5.4 
Y_LT3,PL,2016-01-01,7.8 
Y_LT3,PT,2005-01-01,30.0 
Y_LT3,PT,2006-01-01,33.0 
Y_LT3,PT,2007-01-01,27.0 
Y_LT3,PT,2008-01-01,33.0 
Y_LT3,PT,2009-01-01,36.0 
Y_LT3,PT,2010-01-01,37.0 
Y_LT3,PT,2011-01-01,35.0 
Y_LT3,PT,2012-01-01,34.0 
Y_LT3,PT,2013-01-01,37.0 
Y_LT3,PT,2014-01-01,44.9 
Y_LT3,PT,2015-01-01,47.2 
Y_LT3,PT,2016-01-01,49.9 
Y_LT3,RO,2005-01-01,
Y_LT3,RO,2006-01-01,
Y_LT3,RO,2007-01-01,6.0 
Y_LT3,RO,2008-01-01,9.0 
Y_LT3,RO,2009-01-01,5.0 
Y_LT3,RO,2010-01-01,8.0 
Y_LT3,RO,2011-01-01,2.0 
Y_LT3,RO,2012-01-01,15.0 
Y_LT3,RO,2013-01-01,6.0 
Y_LT3,RO,2014-01-01,2.6 
Y_LT3,RO,2015-01-01,9.4 
Y_LT3,RO,2016-01-01,17.4 
Y_LT3,RS,2005-01-01,
Y_LT3,RS,2006-01-01,
Y_LT3,RS,2007-01-01,
Y_LT3,RS,2008-01-01,
Y_LT3,RS,2009-01-01,
Y_LT3,RS,2010-01-01,
Y_LT3,RS,2011-01-01,
Y_LT3,RS,2012-01-01,
Y_LT3,RS,2013-01-01,
Y_LT3,RS,2014-01-01,11.1 
Y_LT3,RS,2015-01-01,14.0 
Y_LT3,RS,2016-01-01,18.1 
Y_LT3,SE,2005-01-01,52.0 
Y_LT3,SE,2006-01-01,44.0 
Y_LT3,SE,2007-01-01,47.0 
Y_LT3,SE,2008-01-01,49.0 
Y_LT3,SE,2009-01-01,63.0 
Y_LT3,SE,2010-01-01,51.0 
Y_LT3,SE,2011-01-01,51.0 
Y_LT3,SE,2012-01-01,53.0 
Y_LT3,SE,2013-01-01,55.0 
Y_LT3,SE,2014-01-01,56.7 
Y_LT3,SE,2015-01-01,64.0 
Y_LT3,SE,2016-01-01,51.0 
Y_LT3,SI,2005-01-01,24.0 
Y_LT3,SI,2006-01-01,28.0 
Y_LT3,SI,2007-01-01,30.0 
Y_LT3,SI,2008-01-01,30.0 
Y_LT3,SI,2009-01-01,31.0 
Y_LT3,SI,2010-01-01,36.0 
Y_LT3,SI,2011-01-01,37.0 
Y_LT3,SI,2012-01-01,38.0 
Y_LT3,SI,2013-01-01,39.0 
Y_LT3,SI,2014-01-01,37.3 
Y_LT3,SI,2015-01-01,37.4 
Y_LT3,SI,2016-01-01,39.5 
Y_LT3,SK,2005-01-01,3.0 
Y_LT3,SK,2006-01-01,5.0 
Y_LT3,SK,2007-01-01,2.0 
Y_LT3,SK,2008-01-01,2.0 
Y_LT3,SK,2009-01-01,3.0 
Y_LT3,SK,2010-01-01,3.0 
Y_LT3,SK,2011-01-01,4.0 
Y_LT3,SK,2012-01-01,5.0 
Y_LT3,SK,2013-01-01,3.0 
Y_LT3,SK,2014-01-01,6.5 
Y_LT3,SK,2015-01-01,1.1 
Y_LT3,SK,2016-01-01,0.5 
Y_LT3,TR,2005-01-01,
Y_LT3,TR,2006-01-01,0.0 
Y_LT3,TR,2007-01-01,0.0 
Y_LT3,TR,2008-01-01,0.0 
Y_LT3,TR,2009-01-01,0.0 
Y_LT3,TR,2010-01-01,
Y_LT3,TR,2011-01-01,
Y_LT3,TR,2012-01-01,
Y_LT3,TR,2013-01-01,
Y_LT3,TR,2014-01-01,
Y_LT3,TR,2015-01-01,
Y_LT3,TR,2016-01-01,
Y_LT3,UK,2005-01-01,29.0 
Y_LT3,UK,2006-01-01,33.0 
Y_LT3,UK,2007-01-01,38.0 
Y_LT3,UK,2008-01-01,35.0 
Y_LT3,UK,2009-01-01,35.0 
Y_LT3,UK,2010-01-01,34.0 
Y_LT3,UK,2011-01-01,34.0 
Y_LT3,UK,2012-01-01,27.0 
Y_LT3,UK,2013-01-01,30.0 
Y_LT3,UK,2014-01-01,28.9 
Y_LT3,UK,2015-01-01,30.4 
Y_LT3,UK,2016-01-01,28.5 
