age,sex,workint,indic_il,hhtyp,geotime,date,value
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DE,2017-01-01,68
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DK,2006-01-01,44
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DK,2007-01-01,44
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DK,2008-01-01,41
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DK,2009-01-01,43
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DK,2010-01-01,44
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DK,2011-01-01,39
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DK,2012-01-01,38
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DK,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DK,2014-01-01,43
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DK,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DK,2016-01-01,48
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DK,2017-01-01,50
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA18,2006-01-01,50
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA18,2007-01-01,52
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA18,2008-01-01,55
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA18,2009-01-01,56
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA18,2010-01-01,57
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA18,2011-01-01,58
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA18,2012-01-01,59
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA18,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA18,2014-01-01,59
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA18,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA18,2016-01-01,60
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA18,2017-01-01,62
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA19,2006-01-01,50
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA19,2007-01-01,52
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA19,2008-01-01,55
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA19,2009-01-01,56
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA19,2010-01-01,57
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA19,2011-01-01,58
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA19,2012-01-01,59
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA19,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA19,2014-01-01,59
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA19,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA19,2016-01-01,60
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA19,2017-01-01,62
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EE,2006-01-01,81
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EE,2007-01-01,82
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EE,2008-01-01,82
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EE,2009-01-01,73
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EE,2010-01-01,69
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EE,2011-01-01,72
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EE,2012-01-01,73
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EE,2013-01-01,
