currency,s_adj,sector10,sectpart,stk_flow,partner,bop_item,geotime,date,value
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PT,2018-03-01,474
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PT,2018-04-01,31
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PT,2018-05-01,201
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PT,2018-06-01,5
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PT,2018-07-01,127
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PT,2018-08-01,253
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RO,2017-09-01,354
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RO,2017-10-01,115
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RO,2017-11-01,991
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RO,2017-12-01,495
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RO,2018-01-01,609
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RO,2018-02-01,507
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RO,2018-03-01,78
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RO,2018-04-01,309
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RO,2018-05-01,164
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RO,2018-06-01,301
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RO,2018-07-01,1042
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RO,2018-08-01,701
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RS,2017-09-01,65
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RS,2017-10-01,4
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RS,2017-11-01,48
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RS,2017-12-01,20
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RS,2018-01-01,62
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RS,2018-02-01,42
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RS,2018-03-01,110
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RS,2018-04-01,29
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RS,2018-05-01,44
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RS,2018-06-01,52
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RS,2018-07-01,85
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,RS,2018-08-01,88
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,SE,2017-09-01,2232
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,SE,2017-10-01,1239
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,SE,2017-11-01,4256
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,SE,2017-12-01,4559
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,SE,2018-01-01,2579
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,SE,2018-02-01,5661
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,SE,2018-03-01,375
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,SE,2018-04-01,1327
