worktime,age,unit,geotime,date,value
PT,Y20-64,PC_EMP,LV,2005-01-01,4.1
PT,Y20-64,PC_EMP,LV,2006-01-01,3.0
PT,Y20-64,PC_EMP,LV,2007-01-01,2.8
PT,Y20-64,PC_EMP,LV,2008-01-01,3.3
PT,Y20-64,PC_EMP,LV,2009-01-01,2.6
PT,Y20-64,PC_EMP,LV,2010-01-01,3.4
PT,Y20-64,PC_EMP,LV,2011-01-01,3.2
PT,Y20-64,PC_EMP,LV,2012-01-01,4.3
PT,Y20-64,PC_EMP,LV,2013-01-01,3.9
PT,Y20-64,PC_EMP,LV,2014-01-01,4.3
PT,Y20-64,PC_EMP,LV,2015-01-01,5.5
PT,Y20-64,PC_EMP,LV,2016-01-01,4.8
PT,Y20-64,PC_EMP,LV,2017-01-01,5.8
PT,Y20-64,PC_EMP,ME,2005-01-01,
PT,Y20-64,PC_EMP,ME,2006-01-01,
PT,Y20-64,PC_EMP,ME,2007-01-01,
PT,Y20-64,PC_EMP,ME,2008-01-01,
PT,Y20-64,PC_EMP,ME,2009-01-01,
PT,Y20-64,PC_EMP,ME,2010-01-01,
PT,Y20-64,PC_EMP,ME,2011-01-01,0.3
PT,Y20-64,PC_EMP,ME,2012-01-01,0.6
PT,Y20-64,PC_EMP,ME,2013-01-01,-1.3
PT,Y20-64,PC_EMP,ME,2014-01-01,-0.7
PT,Y20-64,PC_EMP,ME,2015-01-01,0.9
PT,Y20-64,PC_EMP,ME,2016-01-01,-0.7
PT,Y20-64,PC_EMP,ME,2017-01-01,-0.2
PT,Y20-64,PC_EMP,MK,2005-01-01,
PT,Y20-64,PC_EMP,MK,2006-01-01,1.8
PT,Y20-64,PC_EMP,MK,2007-01-01,0.9
PT,Y20-64,PC_EMP,MK,2008-01-01,2.8
PT,Y20-64,PC_EMP,MK,2009-01-01,2.4
PT,Y20-64,PC_EMP,MK,2010-01-01,2.4
PT,Y20-64,PC_EMP,MK,2011-01-01,1.3
PT,Y20-64,PC_EMP,MK,2012-01-01,1.3
