age,unit,sex,geotime,date,value
Y_LT25,PC_ACT,F,SK,2010-01-01,32.6
Y_LT25,PC_ACT,F,SK,2011-01-01,34.3
Y_LT25,PC_ACT,F,SK,2012-01-01,32.5
Y_LT25,PC_ACT,F,SK,2013-01-01,31.6
Y_LT25,PC_ACT,F,SK,2014-01-01,30.1
Y_LT25,PC_ACT,F,SK,2015-01-01,27.5
Y_LT25,PC_ACT,F,SK,2016-01-01,26.3
Y_LT25,PC_ACT,F,SK,2017-01-01,20.2
Y_LT25,PC_ACT,F,UK,2005-01-01,11.0
Y_LT25,PC_ACT,F,UK,2006-01-01,12.0
Y_LT25,PC_ACT,F,UK,2007-01-01,12.5
Y_LT25,PC_ACT,F,UK,2008-01-01,12.7
Y_LT25,PC_ACT,F,UK,2009-01-01,16.1
Y_LT25,PC_ACT,F,UK,2010-01-01,17.6
Y_LT25,PC_ACT,F,UK,2011-01-01,18.5
Y_LT25,PC_ACT,F,UK,2012-01-01,18.2
Y_LT25,PC_ACT,F,UK,2013-01-01,18.1
Y_LT25,PC_ACT,F,UK,2014-01-01,14.8
Y_LT25,PC_ACT,F,UK,2015-01-01,12.9
Y_LT25,PC_ACT,F,UK,2016-01-01,11.1
Y_LT25,PC_ACT,F,UK,2017-01-01,10.6
Y_LT25,PC_ACT,F,US,2005-01-01,10.1
Y_LT25,PC_ACT,F,US,2006-01-01,9.7
Y_LT25,PC_ACT,F,US,2007-01-01,9.4
Y_LT25,PC_ACT,F,US,2008-01-01,11.2
Y_LT25,PC_ACT,F,US,2009-01-01,14.9
Y_LT25,PC_ACT,F,US,2010-01-01,15.8
Y_LT25,PC_ACT,F,US,2011-01-01,15.7
