currency,bop_item,sector10,sectpart,stk_flow,partner,s_adj,geotime,date,value
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EE,2018-06-01,51.6 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EE,2018-07-01,24.6 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EE,2018-08-01,43.3 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EL,2017-09-01,1143.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EL,2017-10-01,-624.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EL,2017-11-01,-987.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EL,2017-12-01,-1260.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EL,2018-01-01,-641.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EL,2018-02-01,-1300.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EL,2018-03-01,-972.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EL,2018-04-01,-1356.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EL,2018-05-01,149.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EL,2018-06-01,102.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EL,2018-07-01,1546.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EL,2018-08-01,1564.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,ES,2017-09-01,1866.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,ES,2017-10-01,1870.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,ES,2017-11-01,3483.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,ES,2017-12-01,5059.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,ES,2018-01-01,-814.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,ES,2018-02-01,-1457.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,ES,2018-03-01,180.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,ES,2018-04-01,-1439.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,ES,2018-05-01,2643.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,ES,2018-06-01,977.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,ES,2018-07-01,107.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,ES,2018-08-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EU28,2017-09-01,33100.7 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EU28,2017-10-01,24090.1 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EU28,2017-11-01,23583.1 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EU28,2017-12-01,28010.8 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EU28,2018-01-01,-3677.2 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EU28,2018-02-01,18250.7 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EU28,2018-03-01,31575.1 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EU28,2018-04-01,17093.2 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EU28,2018-05-01,4146.8 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EU28,2018-06-01,21698.3 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EU28,2018-07-01,18257.4 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EU28,2018-08-01,10044.1 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FI,2017-09-01,67.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FI,2017-10-01,732.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FI,2017-11-01,-9.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FI,2017-12-01,-294.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FI,2018-01-01,-71.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FI,2018-02-01,-186.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FI,2018-03-01,-445.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FI,2018-04-01,-1536.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FI,2018-05-01,-354.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FI,2018-06-01,-175.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FI,2018-07-01,48.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FI,2018-08-01,-104.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FR,2017-09-01,803.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FR,2017-10-01,-1571.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FR,2017-11-01,-3226.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FR,2017-12-01,8286.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FR,2018-01-01,-7136.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FR,2018-02-01,-5256.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FR,2018-03-01,-550.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FR,2018-04-01,2991.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FR,2018-05-01,-3469.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FR,2018-06-01,-434.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FR,2018-07-01,342.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,FR,2018-08-01,-3571.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HR,2017-09-01,-2772.4 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HR,2017-10-01,-223.3 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HR,2017-11-01,-278.2 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HR,2017-12-01,-170.6 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HR,2018-01-01,-562.9 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HR,2018-02-01,-484.4 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HR,2018-03-01,-859.2 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HR,2018-04-01,-308.9 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HR,2018-05-01,-42.6 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HR,2018-06-01,559.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HR,2018-07-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HR,2018-08-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HU,2017-09-01,593.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HU,2017-10-01,96.4 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HU,2017-11-01,297.5 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HU,2017-12-01,-60.6 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HU,2018-01-01,464.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HU,2018-02-01,355.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HU,2018-03-01,34.1 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HU,2018-04-01,86.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HU,2018-05-01,-69.8 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HU,2018-06-01,542.8 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HU,2018-07-01,-27.1 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,HU,2018-08-01,-182.2 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IE,2017-09-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IE,2017-10-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IE,2017-11-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IE,2017-12-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IE,2018-01-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IE,2018-02-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IE,2018-03-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IE,2018-04-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IE,2018-05-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IE,2018-06-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IE,2018-07-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IE,2018-08-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IT,2017-09-01,4716.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IT,2017-10-01,5920.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IT,2017-11-01,4446.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IT,2017-12-01,5165.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IT,2018-01-01,-874.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IT,2018-02-01,2497.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IT,2018-03-01,3371.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IT,2018-04-01,3115.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IT,2018-05-01,1914.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IT,2018-06-01,5475.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IT,2018-07-01,7544.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,IT,2018-08-01,4994.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LT,2017-09-01,163.1 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LT,2017-10-01,204.8 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LT,2017-11-01,43.8 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LT,2017-12-01,253.2 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LT,2018-01-01,-47.1 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LT,2018-02-01,-76.9 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LT,2018-03-01,-34.2 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LT,2018-04-01,-62.9 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LT,2018-05-01,-124.2 
