sex,age,unit,isced11,geotime,date,value
T,Y20-29,PC,TOTAL,HR,2009-01-01,59
T,Y20-29,PC,TOTAL,HR,2010-01-01,55
T,Y20-29,PC,TOTAL,HR,2011-01-01,49
T,Y20-29,PC,TOTAL,HR,2012-01-01,
T,Y20-29,PC,TOTAL,HR,2013-01-01,
T,Y20-29,PC,TOTAL,HR,2014-01-01,48
T,Y20-29,PC,TOTAL,HR,2015-01-01,49
T,Y20-29,PC,TOTAL,HR,2016-01-01,54
T,Y20-29,PC,TOTAL,HR,2017-01-01,56
T,Y20-29,PC,TOTAL,HU,2005-01-01,56
T,Y20-29,PC,TOTAL,HU,2006-01-01,56
T,Y20-29,PC,TOTAL,HU,2007-01-01,56
T,Y20-29,PC,TOTAL,HU,2008-01-01,54
T,Y20-29,PC,TOTAL,HU,2009-01-01,51
T,Y20-29,PC,TOTAL,HU,2010-01-01,50
T,Y20-29,PC,TOTAL,HU,2011-01-01,50
T,Y20-29,PC,TOTAL,HU,2012-01-01,
T,Y20-29,PC,TOTAL,HU,2013-01-01,
T,Y20-29,PC,TOTAL,HU,2014-01-01,56
T,Y20-29,PC,TOTAL,HU,2015-01-01,58
T,Y20-29,PC,TOTAL,HU,2016-01-01,61
T,Y20-29,PC,TOTAL,HU,2017-01-01,63
T,Y20-29,PC,TOTAL,IE,2005-01-01,75
T,Y20-29,PC,TOTAL,IE,2006-01-01,77
T,Y20-29,PC,TOTAL,IE,2007-01-01,81
T,Y20-29,PC,TOTAL,IE,2008-01-01,77
T,Y20-29,PC,TOTAL,IE,2009-01-01,68
T,Y20-29,PC,TOTAL,IE,2010-01-01,63
T,Y20-29,PC,TOTAL,IE,2011-01-01,61
T,Y20-29,PC,TOTAL,IE,2012-01-01,
T,Y20-29,PC,TOTAL,IE,2013-01-01,
T,Y20-29,PC,TOTAL,IE,2014-01-01,64
T,Y20-29,PC,TOTAL,IE,2015-01-01,66
T,Y20-29,PC,TOTAL,IE,2016-01-01,70
T,Y20-29,PC,TOTAL,IE,2017-01-01,70
T,Y20-29,PC,TOTAL,IS,2005-01-01,78
T,Y20-29,PC,TOTAL,IS,2006-01-01,79
T,Y20-29,PC,TOTAL,IS,2007-01-01,81
T,Y20-29,PC,TOTAL,IS,2008-01-01,79
T,Y20-29,PC,TOTAL,IS,2009-01-01,69
T,Y20-29,PC,TOTAL,IS,2010-01-01,69
