reason,sex,age,unit,geotime,date,value
FAMRESP,M,Y20-64,PC_INAC,ME,2010-01-01,
FAMRESP,M,Y20-64,PC_INAC,ME,2011-01-01,6.9
FAMRESP,M,Y20-64,PC_INAC,ME,2012-01-01,7.0
FAMRESP,M,Y20-64,PC_INAC,ME,2013-01-01,14.1
FAMRESP,M,Y20-64,PC_INAC,ME,2014-01-01,11.3
FAMRESP,M,Y20-64,PC_INAC,ME,2015-01-01,13.5
FAMRESP,M,Y20-64,PC_INAC,ME,2016-01-01,11.1
FAMRESP,M,Y20-64,PC_INAC,ME,2017-01-01,11.4
FAMRESP,M,Y20-64,PC_INAC,MK,2000-01-01,
FAMRESP,M,Y20-64,PC_INAC,MK,2001-01-01,
FAMRESP,M,Y20-64,PC_INAC,MK,2002-01-01,
FAMRESP,M,Y20-64,PC_INAC,MK,2003-01-01,
FAMRESP,M,Y20-64,PC_INAC,MK,2004-01-01,
FAMRESP,M,Y20-64,PC_INAC,MK,2005-01-01,
FAMRESP,M,Y20-64,PC_INAC,MK,2006-01-01,2.1
FAMRESP,M,Y20-64,PC_INAC,MK,2007-01-01,4.8
FAMRESP,M,Y20-64,PC_INAC,MK,2008-01-01,3.3
FAMRESP,M,Y20-64,PC_INAC,MK,2009-01-01,2.4
FAMRESP,M,Y20-64,PC_INAC,MK,2010-01-01,2.8
FAMRESP,M,Y20-64,PC_INAC,MK,2011-01-01,3.5
FAMRESP,M,Y20-64,PC_INAC,MK,2012-01-01,4.0
FAMRESP,M,Y20-64,PC_INAC,MK,2013-01-01,2.6
FAMRESP,M,Y20-64,PC_INAC,MK,2014-01-01,4.1
FAMRESP,M,Y20-64,PC_INAC,MK,2015-01-01,4.0
FAMRESP,M,Y20-64,PC_INAC,MK,2016-01-01,4.3
FAMRESP,M,Y20-64,PC_INAC,MK,2017-01-01,5.8
FAMRESP,M,Y20-64,PC_INAC,MT,2000-01-01,
FAMRESP,M,Y20-64,PC_INAC,MT,2001-01-01,
FAMRESP,M,Y20-64,PC_INAC,MT,2002-01-01,
FAMRESP,M,Y20-64,PC_INAC,MT,2003-01-01,
FAMRESP,M,Y20-64,PC_INAC,MT,2004-01-01,
