typtrai,wstatus,sex,age,unit,geo\time,date,value
NO_FED_NFE,NEMP,T,Y15-24,PC,LU,2003-01-01,5.1 b
NO_FED_NFE,NEMP,T,Y15-24,PC,LU,2004-01-01,6.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,LU,2005-01-01,5.5 
NO_FED_NFE,NEMP,T,Y15-24,PC,LU,2006-01-01,6.7 b
NO_FED_NFE,NEMP,T,Y15-24,PC,LU,2007-01-01,5.7 b
NO_FED_NFE,NEMP,T,Y15-24,PC,LU,2008-01-01,6.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,LU,2009-01-01,5.8 b
NO_FED_NFE,NEMP,T,Y15-24,PC,LU,2010-01-01,5.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,LU,2011-01-01,4.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,LU,2012-01-01,5.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,LU,2013-01-01,5.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,LU,2014-01-01,6.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,LU,2015-01-01,6.2 b
NO_FED_NFE,NEMP,T,Y15-24,PC,LU,2016-01-01,5.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,LU,2017-01-01,5.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,LV,2000-01-01,: 
NO_FED_NFE,NEMP,T,Y15-24,PC,LV,2001-01-01,: 
NO_FED_NFE,NEMP,T,Y15-24,PC,LV,2002-01-01,14.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,LV,2003-01-01,12.9 b
NO_FED_NFE,NEMP,T,Y15-24,PC,LV,2004-01-01,12.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,LV,2005-01-01,10.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,LV,2006-01-01,11.5 b
NO_FED_NFE,NEMP,T,Y15-24,PC,LV,2007-01-01,11.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,LV,2008-01-01,11.8 
NO_FED_NFE,NEMP,T,Y15-24,PC,LV,2009-01-01,17.5 
NO_FED_NFE,NEMP,T,Y15-24,PC,LV,2010-01-01,17.8 
NO_FED_NFE,NEMP,T,Y15-24,PC,LV,2011-01-01,16.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,LV,2012-01-01,14.9 
