indic_il,sex,age,geotime,date,value
LI_GAP_MD60,T,Y16-64,IS,2010-01-01,19.9
LI_GAP_MD60,T,Y16-64,IS,2011-01-01,22.6
LI_GAP_MD60,T,Y16-64,IS,2012-01-01,25.6
LI_GAP_MD60,T,Y16-64,IS,2013-01-01,19.4
LI_GAP_MD60,T,Y16-64,IS,2014-01-01,20.5
LI_GAP_MD60,T,Y16-64,IS,2015-01-01,23.5
LI_GAP_MD60,T,Y16-64,IS,2016-01-01,16.6
LI_GAP_MD60,T,Y16-64,IS,2017-01-01,
LI_GAP_MD60,T,Y16-64,IT,2006-01-01,27.2
LI_GAP_MD60,T,Y16-64,IT,2007-01-01,25.5
LI_GAP_MD60,T,Y16-64,IT,2008-01-01,25.8
LI_GAP_MD60,T,Y16-64,IT,2009-01-01,26.4
LI_GAP_MD60,T,Y16-64,IT,2010-01-01,28.7
LI_GAP_MD60,T,Y16-64,IT,2011-01-01,30.9
LI_GAP_MD60,T,Y16-64,IT,2012-01-01,28.9
LI_GAP_MD60,T,Y16-64,IT,2013-01-01,31.5
LI_GAP_MD60,T,Y16-64,IT,2014-01-01,32.0
LI_GAP_MD60,T,Y16-64,IT,2015-01-01,32.9
LI_GAP_MD60,T,Y16-64,IT,2016-01-01,36.0
LI_GAP_MD60,T,Y16-64,IT,2017-01-01,32.2
LI_GAP_MD60,T,Y16-64,LT,2006-01-01,31.4
LI_GAP_MD60,T,Y16-64,LT,2007-01-01,29.2
LI_GAP_MD60,T,Y16-64,LT,2008-01-01,29.7
LI_GAP_MD60,T,Y16-64,LT,2009-01-01,28.6
LI_GAP_MD60,T,Y16-64,LT,2010-01-01,33.9
LI_GAP_MD60,T,Y16-64,LT,2011-01-01,30.8
LI_GAP_MD60,T,Y16-64,LT,2012-01-01,26.6
LI_GAP_MD60,T,Y16-64,LT,2013-01-01,27.6
LI_GAP_MD60,T,Y16-64,LT,2014-01-01,28.2
LI_GAP_MD60,T,Y16-64,LT,2015-01-01,29.4
LI_GAP_MD60,T,Y16-64,LT,2016-01-01,31.7
LI_GAP_MD60,T,Y16-64,LT,2017-01-01,34.0
LI_GAP_MD60,T,Y16-64,LU,2006-01-01,19.7
LI_GAP_MD60,T,Y16-64,LU,2007-01-01,19.6
LI_GAP_MD60,T,Y16-64,LU,2008-01-01,17.7
LI_GAP_MD60,T,Y16-64,LU,2009-01-01,18.0
LI_GAP_MD60,T,Y16-64,LU,2010-01-01,18.6
LI_GAP_MD60,T,Y16-64,LU,2011-01-01,15.7
LI_GAP_MD60,T,Y16-64,LU,2012-01-01,15.7
LI_GAP_MD60,T,Y16-64,LU,2013-01-01,17.4
LI_GAP_MD60,T,Y16-64,LU,2014-01-01,17.0
LI_GAP_MD60,T,Y16-64,LU,2015-01-01,19.4
LI_GAP_MD60,T,Y16-64,LU,2016-01-01,23.2
LI_GAP_MD60,T,Y16-64,LU,2017-01-01,21.9
LI_GAP_MD60,T,Y16-64,LV,2006-01-01,29.3
LI_GAP_MD60,T,Y16-64,LV,2007-01-01,30.8
LI_GAP_MD60,T,Y16-64,LV,2008-01-01,29.5
LI_GAP_MD60,T,Y16-64,LV,2009-01-01,33.6
LI_GAP_MD60,T,Y16-64,LV,2010-01-01,31.8
LI_GAP_MD60,T,Y16-64,LV,2011-01-01,33.2
LI_GAP_MD60,T,Y16-64,LV,2012-01-01,32.1
LI_GAP_MD60,T,Y16-64,LV,2013-01-01,31.4
LI_GAP_MD60,T,Y16-64,LV,2014-01-01,29.0
LI_GAP_MD60,T,Y16-64,LV,2015-01-01,33.7
LI_GAP_MD60,T,Y16-64,LV,2016-01-01,30.3
LI_GAP_MD60,T,Y16-64,LV,2017-01-01,30.8
LI_GAP_MD60,T,Y16-64,MK,2006-01-01,
LI_GAP_MD60,T,Y16-64,MK,2007-01-01,
LI_GAP_MD60,T,Y16-64,MK,2008-01-01,
LI_GAP_MD60,T,Y16-64,MK,2009-01-01,
LI_GAP_MD60,T,Y16-64,MK,2010-01-01,
LI_GAP_MD60,T,Y16-64,MK,2011-01-01,
LI_GAP_MD60,T,Y16-64,MK,2012-01-01,43.4
LI_GAP_MD60,T,Y16-64,MK,2013-01-01,40.9
LI_GAP_MD60,T,Y16-64,MK,2014-01-01,37.0
LI_GAP_MD60,T,Y16-64,MK,2015-01-01,34.4
LI_GAP_MD60,T,Y16-64,MK,2016-01-01,31.7
LI_GAP_MD60,T,Y16-64,MK,2017-01-01,
LI_GAP_MD60,T,Y16-64,MT,2006-01-01,18.1
LI_GAP_MD60,T,Y16-64,MT,2007-01-01,18.7
LI_GAP_MD60,T,Y16-64,MT,2008-01-01,20.8
LI_GAP_MD60,T,Y16-64,MT,2009-01-01,16.2
LI_GAP_MD60,T,Y16-64,MT,2010-01-01,17.7
LI_GAP_MD60,T,Y16-64,MT,2011-01-01,17.7
LI_GAP_MD60,T,Y16-64,MT,2012-01-01,16.9
LI_GAP_MD60,T,Y16-64,MT,2013-01-01,19.4
LI_GAP_MD60,T,Y16-64,MT,2014-01-01,18.6
LI_GAP_MD60,T,Y16-64,MT,2015-01-01,17.9
LI_GAP_MD60,T,Y16-64,MT,2016-01-01,16.8
LI_GAP_MD60,T,Y16-64,MT,2017-01-01,17.8
LI_GAP_MD60,T,Y16-64,NL,2006-01-01,18.2
LI_GAP_MD60,T,Y16-64,NL,2007-01-01,18.2
LI_GAP_MD60,T,Y16-64,NL,2008-01-01,17.0
LI_GAP_MD60,T,Y16-64,NL,2009-01-01,19.9
LI_GAP_MD60,T,Y16-64,NL,2010-01-01,17.3
LI_GAP_MD60,T,Y16-64,NL,2011-01-01,16.6
LI_GAP_MD60,T,Y16-64,NL,2012-01-01,18.6
LI_GAP_MD60,T,Y16-64,NL,2013-01-01,18.2
LI_GAP_MD60,T,Y16-64,NL,2014-01-01,18.7
LI_GAP_MD60,T,Y16-64,NL,2015-01-01,18.7
LI_GAP_MD60,T,Y16-64,NL,2016-01-01,19.2
LI_GAP_MD60,T,Y16-64,NL,2017-01-01,20.7
LI_GAP_MD60,T,Y16-64,NO,2006-01-01,27.0
LI_GAP_MD60,T,Y16-64,NO,2007-01-01,31.9
LI_GAP_MD60,T,Y16-64,NO,2008-01-01,31.8
LI_GAP_MD60,T,Y16-64,NO,2009-01-01,29.2
LI_GAP_MD60,T,Y16-64,NO,2010-01-01,25.9
LI_GAP_MD60,T,Y16-64,NO,2011-01-01,27.6
LI_GAP_MD60,T,Y16-64,NO,2012-01-01,28.0
LI_GAP_MD60,T,Y16-64,NO,2013-01-01,23.4
LI_GAP_MD60,T,Y16-64,NO,2014-01-01,30.3
LI_GAP_MD60,T,Y16-64,NO,2015-01-01,27.8
LI_GAP_MD60,T,Y16-64,NO,2016-01-01,27.5
LI_GAP_MD60,T,Y16-64,NO,2017-01-01,29.1
LI_GAP_MD60,T,Y16-64,PL,2006-01-01,25.5
LI_GAP_MD60,T,Y16-64,PL,2007-01-01,24.7
LI_GAP_MD60,T,Y16-64,PL,2008-01-01,21.6
LI_GAP_MD60,T,Y16-64,PL,2009-01-01,23.9
LI_GAP_MD60,T,Y16-64,PL,2010-01-01,23.2
LI_GAP_MD60,T,Y16-64,PL,2011-01-01,22.4
LI_GAP_MD60,T,Y16-64,PL,2012-01-01,23.8
LI_GAP_MD60,T,Y16-64,PL,2013-01-01,23.9
LI_GAP_MD60,T,Y16-64,PL,2014-01-01,24.6
LI_GAP_MD60,T,Y16-64,PL,2015-01-01,23.9
LI_GAP_MD60,T,Y16-64,PL,2016-01-01,25.6
LI_GAP_MD60,T,Y16-64,PL,2017-01-01,25.8
LI_GAP_MD60,T,Y16-64,PT,2006-01-01,24.8
LI_GAP_MD60,T,Y16-64,PT,2007-01-01,27.3
LI_GAP_MD60,T,Y16-64,PT,2008-01-01,23.6
LI_GAP_MD60,T,Y16-64,PT,2009-01-01,26.0
LI_GAP_MD60,T,Y16-64,PT,2010-01-01,25.7
LI_GAP_MD60,T,Y16-64,PT,2011-01-01,25.9
LI_GAP_MD60,T,Y16-64,PT,2012-01-01,26.9
LI_GAP_MD60,T,Y16-64,PT,2013-01-01,31.2
LI_GAP_MD60,T,Y16-64,PT,2014-01-01,32.7
LI_GAP_MD60,T,Y16-64,PT,2015-01-01,32.1
LI_GAP_MD60,T,Y16-64,PT,2016-01-01,29.3
LI_GAP_MD60,T,Y16-64,PT,2017-01-01,30.2
LI_GAP_MD60,T,Y16-64,RO,2006-01-01,
LI_GAP_MD60,T,Y16-64,RO,2007-01-01,37.0
LI_GAP_MD60,T,Y16-64,RO,2008-01-01,32.6
LI_GAP_MD60,T,Y16-64,RO,2009-01-01,32.3
LI_GAP_MD60,T,Y16-64,RO,2010-01-01,32.0
LI_GAP_MD60,T,Y16-64,RO,2011-01-01,32.8
LI_GAP_MD60,T,Y16-64,RO,2012-01-01,32.0
LI_GAP_MD60,T,Y16-64,RO,2013-01-01,34.7
LI_GAP_MD60,T,Y16-64,RO,2014-01-01,39.0
LI_GAP_MD60,T,Y16-64,RO,2015-01-01,39.2
LI_GAP_MD60,T,Y16-64,RO,2016-01-01,38.6
LI_GAP_MD60,T,Y16-64,RO,2017-01-01,36.4
LI_GAP_MD60,T,Y16-64,RS,2006-01-01,
LI_GAP_MD60,T,Y16-64,RS,2007-01-01,
LI_GAP_MD60,T,Y16-64,RS,2008-01-01,
LI_GAP_MD60,T,Y16-64,RS,2009-01-01,
LI_GAP_MD60,T,Y16-64,RS,2010-01-01,
LI_GAP_MD60,T,Y16-64,RS,2011-01-01,
LI_GAP_MD60,T,Y16-64,RS,2012-01-01,
LI_GAP_MD60,T,Y16-64,RS,2013-01-01,37.8
LI_GAP_MD60,T,Y16-64,RS,2014-01-01,43.1
LI_GAP_MD60,T,Y16-64,RS,2015-01-01,39.8
