na_item,aggreg,geo\time,date,value
EXP_PPS_EU28_HAB,00,EA19,2012-01-01,28500.0
EXP_PPS_EU28_HAB,00,EA19,2013-01-01,28600.0
EXP_PPS_EU28_HAB,00,EA19,2014-01-01,29500.0
EXP_PPS_EU28_HAB,00,EA19,2015-01-01,30900.0
EXP_PPS_EU28_HAB,00,EA19,2016-01-01,31000.0
EXP_PPS_EU28_HAB,00,EA19,2017-01-01,31800.0
EXP_PPS_EU28_HAB,00,EE,2000-01-01,8200 
EXP_PPS_EU28_HAB,00,EE,2001-01-01,8900 
EXP_PPS_EU28_HAB,00,EE,2002-01-01,9900 
EXP_PPS_EU28_HAB,00,EE,2003-01-01,11000 
EXP_PPS_EU28_HAB,00,EE,2004-01-01,12200 
EXP_PPS_EU28_HAB,00,EE,2005-01-01,14000.0
EXP_PPS_EU28_HAB,00,EE,2006-01-01,15900.0
EXP_PPS_EU28_HAB,00,EE,2007-01-01,18100.0
EXP_PPS_EU28_HAB,00,EE,2008-01-01,17900.0
EXP_PPS_EU28_HAB,00,EE,2009-01-01,15600.0
EXP_PPS_EU28_HAB,00,EE,2010-01-01,16500.0
EXP_PPS_EU28_HAB,00,EE,2011-01-01,18500.0
EXP_PPS_EU28_HAB,00,EE,2012-01-01,19600.0
EXP_PPS_EU28_HAB,00,EE,2013-01-01,20200.0
EXP_PPS_EU28_HAB,00,EE,2014-01-01,21000.0
EXP_PPS_EU28_HAB,00,EE,2015-01-01,21700.0
EXP_PPS_EU28_HAB,00,EE,2016-01-01,21900.0
EXP_PPS_EU28_HAB,00,EE,2017-01-01,23100.0
EXP_PPS_EU28_HAB,00,EL,2000-01-01,17100 
EXP_PPS_EU28_HAB,00,EL,2001-01-01,18200 
EXP_PPS_EU28_HAB,00,EL,2002-01-01,19400 
EXP_PPS_EU28_HAB,00,EL,2003-01-01,20200 
EXP_PPS_EU28_HAB,00,EL,2004-01-01,21500 
EXP_PPS_EU28_HAB,00,EL,2005-01-01,21700.0
EXP_PPS_EU28_HAB,00,EL,2006-01-01,23600.0
EXP_PPS_EU28_HAB,00,EL,2007-01-01,24100.0
EXP_PPS_EU28_HAB,00,EL,2008-01-01,24400.0
EXP_PPS_EU28_HAB,00,EL,2009-01-01,23100.0
EXP_PPS_EU28_HAB,00,EL,2010-01-01,21500.0
EXP_PPS_EU28_HAB,00,EL,2011-01-01,19700.0
EXP_PPS_EU28_HAB,00,EL,2012-01-01,19100.0
EXP_PPS_EU28_HAB,00,EL,2013-01-01,19200.0
EXP_PPS_EU28_HAB,00,EL,2014-01-01,19800.0
EXP_PPS_EU28_HAB,00,EL,2015-01-01,20200.0
EXP_PPS_EU28_HAB,00,EL,2016-01-01,19700.0
EXP_PPS_EU28_HAB,00,EL,2017-01-01,20100.0
EXP_PPS_EU28_HAB,00,ES,2000-01-01,18900 
EXP_PPS_EU28_HAB,00,ES,2001-01-01,19900 
EXP_PPS_EU28_HAB,00,ES,2002-01-01,20900 
EXP_PPS_EU28_HAB,00,ES,2003-01-01,21200 
EXP_PPS_EU28_HAB,00,ES,2004-01-01,22200 
EXP_PPS_EU28_HAB,00,ES,2005-01-01,23500.0
EXP_PPS_EU28_HAB,00,ES,2006-01-01,25500.0
EXP_PPS_EU28_HAB,00,ES,2007-01-01,26900.0
EXP_PPS_EU28_HAB,00,ES,2008-01-01,26400.0
EXP_PPS_EU28_HAB,00,ES,2009-01-01,24600.0
EXP_PPS_EU28_HAB,00,ES,2010-01-01,24400.0
EXP_PPS_EU28_HAB,00,ES,2011-01-01,24200.0
EXP_PPS_EU28_HAB,00,ES,2012-01-01,24200.0
EXP_PPS_EU28_HAB,00,ES,2013-01-01,24000.0
EXP_PPS_EU28_HAB,00,ES,2014-01-01,24900.0
EXP_PPS_EU28_HAB,00,ES,2015-01-01,26300.0
EXP_PPS_EU28_HAB,00,ES,2016-01-01,26700.0
EXP_PPS_EU28_HAB,00,ES,2017-01-01,27700.0
EXP_PPS_EU28_HAB,00,EU27,2000-01-01,19900 
EXP_PPS_EU28_HAB,00,EU27,2001-01-01,20700 
EXP_PPS_EU28_HAB,00,EU27,2002-01-01,21400 
EXP_PPS_EU28_HAB,00,EU27,2003-01-01,21600 
EXP_PPS_EU28_HAB,00,EU27,2004-01-01,22600 
EXP_PPS_EU28_HAB,00,EU27,2005-01-01,23500.0
EXP_PPS_EU28_HAB,00,EU27,2006-01-01,24800.0
EXP_PPS_EU28_HAB,00,EU27,2007-01-01,26100.0
EXP_PPS_EU28_HAB,00,EU27,2008-01-01,26200.0
EXP_PPS_EU28_HAB,00,EU27,2009-01-01,24600.0
EXP_PPS_EU28_HAB,00,EU27,2010-01-01,25600.0
EXP_PPS_EU28_HAB,00,EU27,2011-01-01,26200.0
EXP_PPS_EU28_HAB,00,EU27,2012-01-01,26700.0
EXP_PPS_EU28_HAB,00,EU27,2013-01-01,26900.0
EXP_PPS_EU28_HAB,00,EU27,2014-01-01,27700.0
EXP_PPS_EU28_HAB,00,EU27,2015-01-01,29100.0
EXP_PPS_EU28_HAB,00,EU27,2016-01-01,29300.0
EXP_PPS_EU28_HAB,00,EU27,2017-01-01,30000.0
EXP_PPS_EU28_HAB,00,EU28,2000-01-01,19800 
EXP_PPS_EU28_HAB,00,EU28,2001-01-01,20600 
EXP_PPS_EU28_HAB,00,EU28,2002-01-01,21300 
EXP_PPS_EU28_HAB,00,EU28,2003-01-01,21500 
EXP_PPS_EU28_HAB,00,EU28,2004-01-01,22500 
EXP_PPS_EU28_HAB,00,EU28,2005-01-01,23400.0
EXP_PPS_EU28_HAB,00,EU28,2006-01-01,24700.0
EXP_PPS_EU28_HAB,00,EU28,2007-01-01,26100.0
EXP_PPS_EU28_HAB,00,EU28,2008-01-01,26100.0
EXP_PPS_EU28_HAB,00,EU28,2009-01-01,24500.0
EXP_PPS_EU28_HAB,00,EU28,2010-01-01,25500.0
EXP_PPS_EU28_HAB,00,EU28,2011-01-01,26100.0
EXP_PPS_EU28_HAB,00,EU28,2012-01-01,26600.0
EXP_PPS_EU28_HAB,00,EU28,2013-01-01,26800.0
EXP_PPS_EU28_HAB,00,EU28,2014-01-01,27600.0
EXP_PPS_EU28_HAB,00,EU28,2015-01-01,29000.0
EXP_PPS_EU28_HAB,00,EU28,2016-01-01,29200.0
EXP_PPS_EU28_HAB,00,EU28,2017-01-01,29900.0
EXP_PPS_EU28_HAB,00,FI,2000-01-01,23400 
EXP_PPS_EU28_HAB,00,FI,2001-01-01,24100 
EXP_PPS_EU28_HAB,00,FI,2002-01-01,24500 
EXP_PPS_EU28_HAB,00,FI,2003-01-01,24600 
EXP_PPS_EU28_HAB,00,FI,2004-01-01,26300 
EXP_PPS_EU28_HAB,00,FI,2005-01-01,27200.0
EXP_PPS_EU28_HAB,00,FI,2006-01-01,28400.0
EXP_PPS_EU28_HAB,00,FI,2007-01-01,31100.0
EXP_PPS_EU28_HAB,00,FI,2008-01-01,31600.0
EXP_PPS_EU28_HAB,00,FI,2009-01-01,28800.0
EXP_PPS_EU28_HAB,00,FI,2010-01-01,29600.0
EXP_PPS_EU28_HAB,00,FI,2011-01-01,30700.0
EXP_PPS_EU28_HAB,00,FI,2012-01-01,30700.0
EXP_PPS_EU28_HAB,00,FI,2013-01-01,30300.0
EXP_PPS_EU28_HAB,00,FI,2014-01-01,30600.0
EXP_PPS_EU28_HAB,00,FI,2015-01-01,31800.0
EXP_PPS_EU28_HAB,00,FI,2016-01-01,31900.0
EXP_PPS_EU28_HAB,00,FI,2017-01-01,32600.0
EXP_PPS_EU28_HAB,00,FR,2000-01-01,22900 
EXP_PPS_EU28_HAB,00,FR,2001-01-01,23900 
EXP_PPS_EU28_HAB,00,FR,2002-01-01,24500 
EXP_PPS_EU28_HAB,00,FR,2003-01-01,23900 
EXP_PPS_EU28_HAB,00,FR,2004-01-01,24600 
EXP_PPS_EU28_HAB,00,FR,2005-01-01,25900.0
EXP_PPS_EU28_HAB,00,FR,2006-01-01,26900.0
EXP_PPS_EU28_HAB,00,FR,2007-01-01,28100.0
EXP_PPS_EU28_HAB,00,FR,2008-01-01,27800.0
EXP_PPS_EU28_HAB,00,FR,2009-01-01,26400.0
EXP_PPS_EU28_HAB,00,FR,2010-01-01,27500.0
EXP_PPS_EU28_HAB,00,FR,2011-01-01,28300.0
EXP_PPS_EU28_HAB,00,FR,2012-01-01,28500.0
EXP_PPS_EU28_HAB,00,FR,2013-01-01,29100.0
EXP_PPS_EU28_HAB,00,FR,2014-01-01,29600.0
EXP_PPS_EU28_HAB,00,FR,2015-01-01,30600.0
EXP_PPS_EU28_HAB,00,FR,2016-01-01,30400.0
EXP_PPS_EU28_HAB,00,FR,2017-01-01,31200.0
EXP_PPS_EU28_HAB,00,HR,2000-01-01,9400 
EXP_PPS_EU28_HAB,00,HR,2001-01-01,10100 
EXP_PPS_EU28_HAB,00,HR,2002-01-01,10900 
EXP_PPS_EU28_HAB,00,HR,2003-01-01,11500 
EXP_PPS_EU28_HAB,00,HR,2004-01-01,12300 
EXP_PPS_EU28_HAB,00,HR,2005-01-01,13000.0
EXP_PPS_EU28_HAB,00,HR,2006-01-01,14400.0
EXP_PPS_EU28_HAB,00,HR,2007-01-01,15900.0
EXP_PPS_EU28_HAB,00,HR,2008-01-01,16500.0
EXP_PPS_EU28_HAB,00,HR,2009-01-01,15200.0
EXP_PPS_EU28_HAB,00,HR,2010-01-01,15100.0
EXP_PPS_EU28_HAB,00,HR,2011-01-01,15600.0
EXP_PPS_EU28_HAB,00,HR,2012-01-01,16000.0
EXP_PPS_EU28_HAB,00,HR,2013-01-01,16000.0
EXP_PPS_EU28_HAB,00,HR,2014-01-01,16300.0
EXP_PPS_EU28_HAB,00,HR,2015-01-01,17200.0
EXP_PPS_EU28_HAB,00,HR,2016-01-01,17500.0
EXP_PPS_EU28_HAB,00,HR,2017-01-01,18300.0
EXP_PPS_EU28_HAB,00,HU,2000-01-01,10400 
EXP_PPS_EU28_HAB,00,HU,2001-01-01,11500 
EXP_PPS_EU28_HAB,00,HU,2002-01-01,12500 
