unit,bop_item,sector10,sectpart,stk_flow,partner,s_adj,geotime,date,value
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DK,2009-01-01,59402
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DK,2010-01-01,119319
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DK,2011-01-01,127398
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DK,2012-01-01,119488
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DK,2013-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DK,2014-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DK,2015-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DK,2016-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DK,2017-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,1995-01-01,116
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,1996-01-01,308
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,1997-01-01,499
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,1998-01-01,430
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,1999-01-01,229
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,2000-01-01,305
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,2001-01-01,479
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,2002-01-01,825
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,2003-01-01,1073
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,2004-01-01,1095
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,2005-01-01,897
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,2006-01-01,1733
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,2007-01-01,2234
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,2008-01-01,1232
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,2009-01-01,845
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,2010-01-01,778
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,2011-01-01,900
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,2012-01-01,257
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,2013-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,2014-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,2015-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,2016-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE,2017-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,1995-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,1996-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,1997-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,1998-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,1999-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,2000-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,2001-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,2002-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,2003-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,2004-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,2005-01-01,15625
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,2006-01-01,21984
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,2007-01-01,31009
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,2008-01-01,32477
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,2009-01-01,27307
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,2010-01-01,23658
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,2011-01-01,18043
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,2012-01-01,4996
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,2013-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,2014-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,2015-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,2016-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL,2017-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,1995-01-01,127
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,1996-01-01,1044
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,1997-01-01,472
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,1998-01-01,3913
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,1999-01-01,13396
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,2000-01-01,23756
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,2001-01-01,25935
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,2002-01-01,20954
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,2003-01-01,22890
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,2004-01-01,40369
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,2005-01-01,62405
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,2006-01-01,85005
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,2007-01-01,100020
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,2008-01-01,98586
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,2009-01-01,42859
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,2010-01-01,37494
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,2011-01-01,29985
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,2012-01-01,2773
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,2013-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,2014-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,2015-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,2016-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES,2017-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,1995-01-01,4064
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,1996-01-01,3862
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,1997-01-01,5779
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,1998-01-01,6231
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,1999-01-01,6612
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,2000-01-01,10395
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,2001-01-01,11728
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,2002-01-01,12321
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,2003-01-01,7166
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,2004-01-01,9306
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,2005-01-01,5273
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,2006-01-01,6525
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,2007-01-01,7046
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,2008-01-01,4231
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,2009-01-01,3126
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,2010-01-01,2222
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,2011-01-01,3233
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,2012-01-01,4342
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,2013-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,2014-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,2015-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,2016-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FI,2017-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,1995-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,1996-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,1997-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,1998-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,1999-01-01,48810
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,2000-01-01,17765
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,2001-01-01,23625
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,2002-01-01,18361
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,2003-01-01,5839
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,2004-01-01,10328
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,2005-01-01,1862
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,2006-01-01,5110
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,2007-01-01,322
