hhtyp,sex,indic_il,geotime,date,value
A1,DIFF,R_GE60_LT60,MT,2009-01-01,-0.09
A1,DIFF,R_GE60_LT60,MT,2010-01-01,-0.15
A1,DIFF,R_GE60_LT60,MT,2011-01-01,-0.19
A1,DIFF,R_GE60_LT60,MT,2012-01-01,0.0
A1,DIFF,R_GE60_LT60,MT,2013-01-01,0.04
A1,DIFF,R_GE60_LT60,MT,2014-01-01,0.19
A1,DIFF,R_GE60_LT60,MT,2015-01-01,0.12
A1,DIFF,R_GE60_LT60,MT,2016-01-01,0.18
A1,DIFF,R_GE60_LT60,MT,2017-01-01,0.14
A1,DIFF,R_GE60_LT60,NL,2006-01-01,-0.04
A1,DIFF,R_GE60_LT60,NL,2007-01-01,0.05
A1,DIFF,R_GE60_LT60,NL,2008-01-01,-0.04
A1,DIFF,R_GE60_LT60,NL,2009-01-01,-0.04
A1,DIFF,R_GE60_LT60,NL,2010-01-01,-0.02
A1,DIFF,R_GE60_LT60,NL,2011-01-01,-0.02
A1,DIFF,R_GE60_LT60,NL,2012-01-01,-0.03
A1,DIFF,R_GE60_LT60,NL,2013-01-01,0.02
A1,DIFF,R_GE60_LT60,NL,2014-01-01,0.04
A1,DIFF,R_GE60_LT60,NL,2015-01-01,0.05
A1,DIFF,R_GE60_LT60,NL,2016-01-01,0.03
A1,DIFF,R_GE60_LT60,NL,2017-01-01,-0.01
A1,DIFF,R_GE60_LT60,NO,2006-01-01,0.07
A1,DIFF,R_GE60_LT60,NO,2007-01-01,0.15
A1,DIFF,R_GE60_LT60,NO,2008-01-01,-0.06
A1,DIFF,R_GE60_LT60,NO,2009-01-01,0.12
A1,DIFF,R_GE60_LT60,NO,2010-01-01,0.13
A1,DIFF,R_GE60_LT60,NO,2011-01-01,0.12
A1,DIFF,R_GE60_LT60,NO,2012-01-01,0.1
A1,DIFF,R_GE60_LT60,NO,2013-01-01,0.03
A1,DIFF,R_GE60_LT60,NO,2014-01-01,-0.05
A1,DIFF,R_GE60_LT60,NO,2015-01-01,-0.1
A1,DIFF,R_GE60_LT60,NO,2016-01-01,-0.06
A1,DIFF,R_GE60_LT60,NO,2017-01-01,0.04
A1,DIFF,R_GE60_LT60,PL,2006-01-01,0.32
A1,DIFF,R_GE60_LT60,PL,2007-01-01,0.43
A1,DIFF,R_GE60_LT60,PL,2008-01-01,0.21
A1,DIFF,R_GE60_LT60,PL,2009-01-01,0.3
A1,DIFF,R_GE60_LT60,PL,2010-01-01,0.23
A1,DIFF,R_GE60_LT60,PL,2011-01-01,0.3
A1,DIFF,R_GE60_LT60,PL,2012-01-01,0.17
A1,DIFF,R_GE60_LT60,PL,2013-01-01,0.12
A1,DIFF,R_GE60_LT60,PL,2014-01-01,0.13
A1,DIFF,R_GE60_LT60,PL,2015-01-01,-0.07
A1,DIFF,R_GE60_LT60,PL,2016-01-01,-0.04
A1,DIFF,R_GE60_LT60,PL,2017-01-01,0.13
A1,DIFF,R_GE60_LT60,PT,2006-01-01,-0.13
A1,DIFF,R_GE60_LT60,PT,2007-01-01,0.01
A1,DIFF,R_GE60_LT60,PT,2008-01-01,0.2
A1,DIFF,R_GE60_LT60,PT,2009-01-01,0.19
A1,DIFF,R_GE60_LT60,PT,2010-01-01,0.24
A1,DIFF,R_GE60_LT60,PT,2011-01-01,0.22
A1,DIFF,R_GE60_LT60,PT,2012-01-01,0.02
A1,DIFF,R_GE60_LT60,PT,2013-01-01,0.03
A1,DIFF,R_GE60_LT60,PT,2014-01-01,0.25
A1,DIFF,R_GE60_LT60,PT,2015-01-01,0.15
A1,DIFF,R_GE60_LT60,PT,2016-01-01,0.05
A1,DIFF,R_GE60_LT60,PT,2017-01-01,0.09
A1,DIFF,R_GE60_LT60,RO,2006-01-01,
A1,DIFF,R_GE60_LT60,RO,2007-01-01,0.11
A1,DIFF,R_GE60_LT60,RO,2008-01-01,0.27
A1,DIFF,R_GE60_LT60,RO,2009-01-01,0.21
A1,DIFF,R_GE60_LT60,RO,2010-01-01,0.34
A1,DIFF,R_GE60_LT60,RO,2011-01-01,0.22
A1,DIFF,R_GE60_LT60,RO,2012-01-01,0.19
A1,DIFF,R_GE60_LT60,RO,2013-01-01,0.17
A1,DIFF,R_GE60_LT60,RO,2014-01-01,0.14
A1,DIFF,R_GE60_LT60,RO,2015-01-01,0.14
A1,DIFF,R_GE60_LT60,RO,2016-01-01,0.21
A1,DIFF,R_GE60_LT60,RO,2017-01-01,0.11
A1,DIFF,R_GE60_LT60,RS,2006-01-01,
A1,DIFF,R_GE60_LT60,RS,2007-01-01,
A1,DIFF,R_GE60_LT60,RS,2008-01-01,
A1,DIFF,R_GE60_LT60,RS,2009-01-01,
A1,DIFF,R_GE60_LT60,RS,2010-01-01,
A1,DIFF,R_GE60_LT60,RS,2011-01-01,
A1,DIFF,R_GE60_LT60,RS,2012-01-01,
A1,DIFF,R_GE60_LT60,RS,2013-01-01,0.57
A1,DIFF,R_GE60_LT60,RS,2014-01-01,0.2
A1,DIFF,R_GE60_LT60,RS,2015-01-01,0.79
A1,DIFF,R_GE60_LT60,RS,2016-01-01,0.71
A1,DIFF,R_GE60_LT60,RS,2017-01-01,
A1,DIFF,R_GE60_LT60,SE,2006-01-01,0.14
A1,DIFF,R_GE60_LT60,SE,2007-01-01,0.03
A1,DIFF,R_GE60_LT60,SE,2008-01-01,0.03
A1,DIFF,R_GE60_LT60,SE,2009-01-01,0.02
A1,DIFF,R_GE60_LT60,SE,2010-01-01,-0.1
A1,DIFF,R_GE60_LT60,SE,2011-01-01,-0.01
A1,DIFF,R_GE60_LT60,SE,2012-01-01,-0.03
A1,DIFF,R_GE60_LT60,SE,2013-01-01,0.02
A1,DIFF,R_GE60_LT60,SE,2014-01-01,0.08
A1,DIFF,R_GE60_LT60,SE,2015-01-01,-0.02
A1,DIFF,R_GE60_LT60,SE,2016-01-01,-0.03
A1,DIFF,R_GE60_LT60,SE,2017-01-01,0.13
A1,DIFF,R_GE60_LT60,SI,2006-01-01,0.24
A1,DIFF,R_GE60_LT60,SI,2007-01-01,0.33
A1,DIFF,R_GE60_LT60,SI,2008-01-01,0.4
A1,DIFF,R_GE60_LT60,SI,2009-01-01,0.21
A1,DIFF,R_GE60_LT60,SI,2010-01-01,0.24
A1,DIFF,R_GE60_LT60,SI,2011-01-01,0.22
A1,DIFF,R_GE60_LT60,SI,2012-01-01,0.16
A1,DIFF,R_GE60_LT60,SI,2013-01-01,0.13
A1,DIFF,R_GE60_LT60,SI,2014-01-01,0.08
A1,DIFF,R_GE60_LT60,SI,2015-01-01,0.05
A1,DIFF,R_GE60_LT60,SI,2016-01-01,0.11
A1,DIFF,R_GE60_LT60,SI,2017-01-01,0.1
A1,DIFF,R_GE60_LT60,SK,2006-01-01,0.0
A1,DIFF,R_GE60_LT60,SK,2007-01-01,-0.08
A1,DIFF,R_GE60_LT60,SK,2008-01-01,-0.08
A1,DIFF,R_GE60_LT60,SK,2009-01-01,-0.01
A1,DIFF,R_GE60_LT60,SK,2010-01-01,0.01
A1,DIFF,R_GE60_LT60,SK,2011-01-01,0.01
A1,DIFF,R_GE60_LT60,SK,2012-01-01,-0.04
A1,DIFF,R_GE60_LT60,SK,2013-01-01,-0.02
A1,DIFF,R_GE60_LT60,SK,2014-01-01,0.02
A1,DIFF,R_GE60_LT60,SK,2015-01-01,0.09
A1,DIFF,R_GE60_LT60,SK,2016-01-01,0.11
A1,DIFF,R_GE60_LT60,SK,2017-01-01,0.2
