nabs07,unit,geotime,date,value
NABS08,EUR_HAB,SE,2014-01-01,5
NABS08,EUR_HAB,SE,2015-01-01,4
NABS08,EUR_HAB,SE,2016-01-01,5
NABS08,EUR_HAB,SE,2017-01-01,4
NABS08,EUR_HAB,SE,2018-01-01,
NABS08,EUR_HAB,SI,2004-01-01,1
NABS08,EUR_HAB,SI,2005-01-01,2
NABS08,EUR_HAB,SI,2006-01-01,2
NABS08,EUR_HAB,SI,2007-01-01,3
NABS08,EUR_HAB,SI,2008-01-01,3
NABS08,EUR_HAB,SI,2009-01-01,4
NABS08,EUR_HAB,SI,2010-01-01,4
NABS08,EUR_HAB,SI,2011-01-01,4
NABS08,EUR_HAB,SI,2012-01-01,3
NABS08,EUR_HAB,SI,2013-01-01,3
NABS08,EUR_HAB,SI,2014-01-01,3
NABS08,EUR_HAB,SI,2015-01-01,2
NABS08,EUR_HAB,SI,2016-01-01,3
NABS08,EUR_HAB,SI,2017-01-01,4
NABS08,EUR_HAB,SI,2018-01-01,
NABS08,EUR_HAB,SK,2004-01-01,1
NABS08,EUR_HAB,SK,2005-01-01,2
NABS08,EUR_HAB,SK,2006-01-01,2
NABS08,EUR_HAB,SK,2007-01-01,1
NABS08,EUR_HAB,SK,2008-01-01,2
NABS08,EUR_HAB,SK,2009-01-01,2
NABS08,EUR_HAB,SK,2010-01-01,2
NABS08,EUR_HAB,SK,2011-01-01,3
NABS08,EUR_HAB,SK,2012-01-01,1
NABS08,EUR_HAB,SK,2013-01-01,2
NABS08,EUR_HAB,SK,2014-01-01,1
NABS08,EUR_HAB,SK,2015-01-01,1
NABS08,EUR_HAB,SK,2016-01-01,1
NABS08,EUR_HAB,SK,2017-01-01,1
NABS08,EUR_HAB,SK,2018-01-01,
NABS08,EUR_HAB,TR,2004-01-01,
NABS08,EUR_HAB,TR,2005-01-01,
NABS08,EUR_HAB,TR,2006-01-01,
NABS08,EUR_HAB,TR,2007-01-01,
NABS08,EUR_HAB,TR,2008-01-01,0
NABS08,EUR_HAB,TR,2009-01-01,0
NABS08,EUR_HAB,TR,2010-01-01,0
NABS08,EUR_HAB,TR,2011-01-01,0
NABS08,EUR_HAB,TR,2012-01-01,0
NABS08,EUR_HAB,TR,2013-01-01,0
NABS08,EUR_HAB,TR,2014-01-01,0
NABS08,EUR_HAB,TR,2015-01-01,1
NABS08,EUR_HAB,TR,2016-01-01,0
NABS08,EUR_HAB,TR,2017-01-01,0
NABS08,EUR_HAB,TR,2018-01-01,
NABS08,EUR_HAB,UK,2004-01-01,6
NABS08,EUR_HAB,UK,2005-01-01,6
NABS08,EUR_HAB,UK,2006-01-01,6
NABS08,EUR_HAB,UK,2007-01-01,6
