sex,unit,age,geotime,date,value
T,PC,TOTAL,NL,2011-01-01,2.5
T,PC,TOTAL,NL,2012-01-01,2.3
T,PC,TOTAL,NL,2013-01-01,2.5
T,PC,TOTAL,NL,2014-01-01,3.2
T,PC,TOTAL,NL,2015-01-01,2.6
T,PC,TOTAL,NL,2016-01-01,2.6
T,PC,TOTAL,NL,2017-01-01,2.6
T,PC,TOTAL,PL,2003-01-01,
T,PC,TOTAL,PL,2004-01-01,
T,PC,TOTAL,PL,2005-01-01,33.8
T,PC,TOTAL,PL,2006-01-01,27.6
T,PC,TOTAL,PL,2007-01-01,22.3
T,PC,TOTAL,PL,2008-01-01,17.7
T,PC,TOTAL,PL,2009-01-01,15.0
T,PC,TOTAL,PL,2010-01-01,14.2
T,PC,TOTAL,PL,2011-01-01,13.0
T,PC,TOTAL,PL,2012-01-01,13.5
T,PC,TOTAL,PL,2013-01-01,11.9
T,PC,TOTAL,PL,2014-01-01,10.4
T,PC,TOTAL,PL,2015-01-01,8.1
T,PC,TOTAL,PL,2016-01-01,6.7
T,PC,TOTAL,PL,2017-01-01,5.9
T,PC,TOTAL,PT,2003-01-01,
T,PC,TOTAL,PT,2004-01-01,9.9
T,PC,TOTAL,PT,2005-01-01,9.3
T,PC,TOTAL,PT,2006-01-01,9.1
T,PC,TOTAL,PT,2007-01-01,9.6
T,PC,TOTAL,PT,2008-01-01,9.7
T,PC,TOTAL,PT,2009-01-01,9.1
T,PC,TOTAL,PT,2010-01-01,9.0
T,PC,TOTAL,PT,2011-01-01,8.3
T,PC,TOTAL,PT,2012-01-01,8.6
T,PC,TOTAL,PT,2013-01-01,10.9
T,PC,TOTAL,PT,2014-01-01,10.6
T,PC,TOTAL,PT,2015-01-01,9.6
T,PC,TOTAL,PT,2016-01-01,8.4
T,PC,TOTAL,PT,2017-01-01,6.9
T,PC,TOTAL,RO,2003-01-01,
T,PC,TOTAL,RO,2004-01-01,
T,PC,TOTAL,RO,2005-01-01,
T,PC,TOTAL,RO,2006-01-01,
T,PC,TOTAL,RO,2007-01-01,38.0
T,PC,TOTAL,RO,2008-01-01,32.7
T,PC,TOTAL,RO,2009-01-01,32.1
T,PC,TOTAL,RO,2010-01-01,30.5
T,PC,TOTAL,RO,2011-01-01,29.5
T,PC,TOTAL,RO,2012-01-01,31.1
T,PC,TOTAL,RO,2013-01-01,29.8
T,PC,TOTAL,RO,2014-01-01,25.9
T,PC,TOTAL,RO,2015-01-01,22.7
T,PC,TOTAL,RO,2016-01-01,23.8
T,PC,TOTAL,RO,2017-01-01,19.7
T,PC,TOTAL,SE,2003-01-01,
T,PC,TOTAL,SE,2004-01-01,3.0
T,PC,TOTAL,SE,2005-01-01,2.3
T,PC,TOTAL,SE,2006-01-01,2.1
T,PC,TOTAL,SE,2007-01-01,2.2
T,PC,TOTAL,SE,2008-01-01,1.8
T,PC,TOTAL,SE,2009-01-01,2.0
T,PC,TOTAL,SE,2010-01-01,1.9
T,PC,TOTAL,SE,2011-01-01,1.7
T,PC,TOTAL,SE,2012-01-01,1.8
T,PC,TOTAL,SE,2013-01-01,1.9
T,PC,TOTAL,SE,2014-01-01,1.0
T,PC,TOTAL,SE,2015-01-01,1.1
T,PC,TOTAL,SE,2016-01-01,0.8
T,PC,TOTAL,SE,2017-01-01,1.1
T,PC,TOTAL,SI,2003-01-01,
T,PC,TOTAL,SI,2004-01-01,
T,PC,TOTAL,SI,2005-01-01,5.1
T,PC,TOTAL,SI,2006-01-01,5.1
T,PC,TOTAL,SI,2007-01-01,5.1
T,PC,TOTAL,SI,2008-01-01,6.7
T,PC,TOTAL,SI,2009-01-01,6.1
T,PC,TOTAL,SI,2010-01-01,5.9
T,PC,TOTAL,SI,2011-01-01,6.1
T,PC,TOTAL,SI,2012-01-01,6.6
T,PC,TOTAL,SI,2013-01-01,6.7
T,PC,TOTAL,SI,2014-01-01,6.6
T,PC,TOTAL,SI,2015-01-01,5.8
T,PC,TOTAL,SI,2016-01-01,5.4
T,PC,TOTAL,SI,2017-01-01,4.6
T,PC,TOTAL,SK,2003-01-01,
T,PC,TOTAL,SK,2004-01-01,
T,PC,TOTAL,SK,2005-01-01,22.1
T,PC,TOTAL,SK,2006-01-01,18.2
T,PC,TOTAL,SK,2007-01-01,13.7
T,PC,TOTAL,SK,2008-01-01,11.8
T,PC,TOTAL,SK,2009-01-01,11.1
T,PC,TOTAL,SK,2010-01-01,11.4
T,PC,TOTAL,SK,2011-01-01,10.6
T,PC,TOTAL,SK,2012-01-01,10.5
T,PC,TOTAL,SK,2013-01-01,10.2
T,PC,TOTAL,SK,2014-01-01,9.9
T,PC,TOTAL,SK,2015-01-01,9.0
T,PC,TOTAL,SK,2016-01-01,8.2
T,PC,TOTAL,SK,2017-01-01,7.0
T,PC,TOTAL,UK,2003-01-01,
T,PC,TOTAL,UK,2004-01-01,
T,PC,TOTAL,UK,2005-01-01,5.3
T,PC,TOTAL,UK,2006-01-01,4.5
T,PC,TOTAL,UK,2007-01-01,4.2
T,PC,TOTAL,UK,2008-01-01,4.5
T,PC,TOTAL,UK,2009-01-01,3.3
T,PC,TOTAL,UK,2010-01-01,4.8
T,PC,TOTAL,UK,2011-01-01,5.1
T,PC,TOTAL,UK,2012-01-01,7.8
T,PC,TOTAL,UK,2013-01-01,8.3
T,PC,TOTAL,UK,2014-01-01,7.4
T,PC,TOTAL,UK,2015-01-01,6.1
T,PC,TOTAL,UK,2016-01-01,5.2
T,PC,TOTAL,UK,2017-01-01,4.9
T,PPCH_3Y,TOTAL,AT,2003-01-01,
T,PPCH_3Y,TOTAL,AT,2004-01-01,
T,PPCH_3Y,TOTAL,AT,2005-01-01,
T,PPCH_3Y,TOTAL,AT,2006-01-01,0.3
T,PPCH_3Y,TOTAL,AT,2007-01-01,-0.5
T,PPCH_3Y,TOTAL,AT,2008-01-01,2.4
T,PPCH_3Y,TOTAL,AT,2009-01-01,1.0
T,PPCH_3Y,TOTAL,AT,2010-01-01,1.0
T,PPCH_3Y,TOTAL,AT,2011-01-01,-1.9
T,PPCH_3Y,TOTAL,AT,2012-01-01,-0.6
T,PPCH_3Y,TOTAL,AT,2013-01-01,-0.1
T,PPCH_3Y,TOTAL,AT,2014-01-01,0.0
T,PPCH_3Y,TOTAL,AT,2015-01-01,-0.4
T,PPCH_3Y,TOTAL,AT,2016-01-01,-1.2
T,PPCH_3Y,TOTAL,AT,2017-01-01,-0.3
T,PPCH_3Y,TOTAL,BE,2003-01-01,
T,PPCH_3Y,TOTAL,BE,2004-01-01,
T,PPCH_3Y,TOTAL,BE,2005-01-01,
T,PPCH_3Y,TOTAL,BE,2006-01-01,1.9
T,PPCH_3Y,TOTAL,BE,2007-01-01,1.0
T,PPCH_3Y,TOTAL,BE,2008-01-01,-0.9
T,PPCH_3Y,TOTAL,BE,2009-01-01,-1.2
T,PPCH_3Y,TOTAL,BE,2010-01-01,0.2
T,PPCH_3Y,TOTAL,BE,2011-01-01,0.1
T,PPCH_3Y,TOTAL,BE,2012-01-01,1.1
T,PPCH_3Y,TOTAL,BE,2013-01-01,-0.8
T,PPCH_3Y,TOTAL,BE,2014-01-01,0.2
T,PPCH_3Y,TOTAL,BE,2015-01-01,-0.5
T,PPCH_3Y,TOTAL,BE,2016-01-01,0.4
T,PPCH_3Y,TOTAL,BE,2017-01-01,-0.8
T,PPCH_3Y,TOTAL,BG,2003-01-01,
T,PPCH_3Y,TOTAL,BG,2004-01-01,
T,PPCH_3Y,TOTAL,BG,2005-01-01,
T,PPCH_3Y,TOTAL,BG,2006-01-01,
T,PPCH_3Y,TOTAL,BG,2007-01-01,
T,PPCH_3Y,TOTAL,BG,2008-01-01,
T,PPCH_3Y,TOTAL,BG,2009-01-01,-15.8
T,PPCH_3Y,TOTAL,BG,2010-01-01,-11.9
T,PPCH_3Y,TOTAL,BG,2011-01-01,2.4
T,PPCH_3Y,TOTAL,BG,2012-01-01,2.2
T,PPCH_3Y,TOTAL,BG,2013-01-01,-2.7
