age,unit,indic_em,sex,geotime,date,value
Y20-64,PC_POP,EMP_LFS,F,IT,2016-01-01,51
Y20-64,PC_POP,EMP_LFS,F,IT,2017-01-01,52
Y20-64,PC_POP,EMP_LFS,F,LT,2005-01-01,66
Y20-64,PC_POP,EMP_LFS,F,LT,2006-01-01,68
Y20-64,PC_POP,EMP_LFS,F,LT,2007-01-01,69
Y20-64,PC_POP,EMP_LFS,F,LT,2008-01-01,68
Y20-64,PC_POP,EMP_LFS,F,LT,2009-01-01,67
Y20-64,PC_POP,EMP_LFS,F,LT,2010-01-01,65
Y20-64,PC_POP,EMP_LFS,F,LT,2011-01-01,66
Y20-64,PC_POP,EMP_LFS,F,LT,2012-01-01,67
Y20-64,PC_POP,EMP_LFS,F,LT,2013-01-01,68
Y20-64,PC_POP,EMP_LFS,F,LT,2014-01-01,70
Y20-64,PC_POP,EMP_LFS,F,LT,2015-01-01,72
Y20-64,PC_POP,EMP_LFS,F,LT,2016-01-01,74
Y20-64,PC_POP,EMP_LFS,F,LT,2017-01-01,75
Y20-64,PC_POP,EMP_LFS,F,LU,2005-01-01,58
Y20-64,PC_POP,EMP_LFS,F,LU,2006-01-01,59
Y20-64,PC_POP,EMP_LFS,F,LU,2007-01-01,61
Y20-64,PC_POP,EMP_LFS,F,LU,2008-01-01,60
Y20-64,PC_POP,EMP_LFS,F,LU,2009-01-01,61
Y20-64,PC_POP,EMP_LFS,F,LU,2010-01-01,62
Y20-64,PC_POP,EMP_LFS,F,LU,2011-01-01,61
Y20-64,PC_POP,EMP_LFS,F,LU,2012-01-01,64
Y20-64,PC_POP,EMP_LFS,F,LU,2013-01-01,63
Y20-64,PC_POP,EMP_LFS,F,LU,2014-01-01,65
Y20-64,PC_POP,EMP_LFS,F,LU,2015-01-01,65
Y20-64,PC_POP,EMP_LFS,F,LU,2016-01-01,65
Y20-64,PC_POP,EMP_LFS,F,LU,2017-01-01,67
Y20-64,PC_POP,EMP_LFS,F,LV,2005-01-01,64
Y20-64,PC_POP,EMP_LFS,F,LV,2006-01-01,68
Y20-64,PC_POP,EMP_LFS,F,LV,2007-01-01,70
Y20-64,PC_POP,EMP_LFS,F,LV,2008-01-01,71
Y20-64,PC_POP,EMP_LFS,F,LV,2009-01-01,66
Y20-64,PC_POP,EMP_LFS,F,LV,2010-01-01,64
Y20-64,PC_POP,EMP_LFS,F,LV,2011-01-01,65
Y20-64,PC_POP,EMP_LFS,F,LV,2012-01-01,66
