indic_nrg,unit,product,geotime,date,value
B_101550,PC,0000,IT,2015-01-01,77
B_101550,PC,0000,IT,2016-01-01,77
B_101550,PC,0000,LT,2000-01-01,59
B_101550,PC,0000,LT,2001-01-01,46
B_101550,PC,0000,LT,2002-01-01,41
B_101550,PC,0000,LT,2003-01-01,43
B_101550,PC,0000,LT,2004-01-01,46
B_101550,PC,0000,LT,2005-01-01,56
B_101550,PC,0000,LT,2006-01-01,62
B_101550,PC,0000,LT,2007-01-01,61
B_101550,PC,0000,LT,2008-01-01,57
B_101550,PC,0000,LT,2009-01-01,49
B_101550,PC,0000,LT,2010-01-01,81
B_101550,PC,0000,LT,2011-01-01,81
B_101550,PC,0000,LT,2012-01-01,80
B_101550,PC,0000,LT,2013-01-01,78
B_101550,PC,0000,LT,2014-01-01,78
B_101550,PC,0000,LT,2015-01-01,78
B_101550,PC,0000,LT,2016-01-01,77
B_101550,PC,0000,LU,2000-01-01,99
B_101550,PC,0000,LU,2001-01-01,97
B_101550,PC,0000,LU,2002-01-01,98
B_101550,PC,0000,LU,2003-01-01,98
B_101550,PC,0000,LU,2004-01-01,97
B_101550,PC,0000,LU,2005-01-01,97
B_101550,PC,0000,LU,2006-01-01,98
B_101550,PC,0000,LU,2007-01-01,96
B_101550,PC,0000,LU,2008-01-01,97
B_101550,PC,0000,LU,2009-01-01,97
B_101550,PC,0000,LU,2010-01-01,97
B_101550,PC,0000,LU,2011-01-01,97
B_101550,PC,0000,LU,2012-01-01,97
B_101550,PC,0000,LU,2013-01-01,97
B_101550,PC,0000,LU,2014-01-01,96
B_101550,PC,0000,LU,2015-01-01,95
B_101550,PC,0000,LU,2016-01-01,96
B_101550,PC,0000,LV,2000-01-01,61
B_101550,PC,0000,LV,2001-01-01,59
B_101550,PC,0000,LV,2002-01-01,58
B_101550,PC,0000,LV,2003-01-01,63
B_101550,PC,0000,LV,2004-01-01,69
B_101550,PC,0000,LV,2005-01-01,63
B_101550,PC,0000,LV,2006-01-01,66
B_101550,PC,0000,LV,2007-01-01,62
B_101550,PC,0000,LV,2008-01-01,58
B_101550,PC,0000,LV,2009-01-01,60
B_101550,PC,0000,LV,2010-01-01,45
B_101550,PC,0000,LV,2011-01-01,59
B_101550,PC,0000,LV,2012-01-01,56
B_101550,PC,0000,LV,2013-01-01,55
B_101550,PC,0000,LV,2014-01-01,40
B_101550,PC,0000,LV,2015-01-01,51
B_101550,PC,0000,LV,2016-01-01,47
B_101550,PC,0000,ME,2000-01-01,
B_101550,PC,0000,ME,2001-01-01,
B_101550,PC,0000,ME,2002-01-01,
B_101550,PC,0000,ME,2003-01-01,
B_101550,PC,0000,ME,2004-01-01,
B_101550,PC,0000,ME,2005-01-01,42
B_101550,PC,0000,ME,2006-01-01,44
B_101550,PC,0000,ME,2007-01-01,54
B_101550,PC,0000,ME,2008-01-01,45
B_101550,PC,0000,ME,2009-01-01,42
B_101550,PC,0000,ME,2010-01-01,26
B_101550,PC,0000,ME,2011-01-01,36
B_101550,PC,0000,ME,2012-01-01,34
B_101550,PC,0000,ME,2013-01-01,23
B_101550,PC,0000,ME,2014-01-01,29
B_101550,PC,0000,ME,2015-01-01,29
B_101550,PC,0000,ME,2016-01-01,34
B_101550,PC,0000,MK,2000-01-01,39
B_101550,PC,0000,MK,2001-01-01,38
B_101550,PC,0000,MK,2002-01-01,45
B_101550,PC,0000,MK,2003-01-01,38
B_101550,PC,0000,MK,2004-01-01,41
B_101550,PC,0000,MK,2005-01-01,41
