unit,indic_he,geo\time,date,value
YR,F_65_DFLE,IT,2015-01-01,7.5 
YR,F_65_DFLE,IT,2016-01-01,10.1 b
YR,F_65_DFLE,LT,2005-01-01,4.3 d
YR,F_65_DFLE,LT,2006-01-01,5.3 bd
YR,F_65_DFLE,LT,2007-01-01,5.6 
YR,F_65_DFLE,LT,2008-01-01,6.6 
YR,F_65_DFLE,LT,2009-01-01,6.8 
YR,F_65_DFLE,LT,2010-01-01,6.7 
YR,F_65_DFLE,LT,2011-01-01,6.7 
YR,F_65_DFLE,LT,2012-01-01,6.1 
YR,F_65_DFLE,LT,2013-01-01,6.3 
YR,F_65_DFLE,LT,2014-01-01,6.1 
YR,F_65_DFLE,LT,2015-01-01,5.5 
YR,F_65_DFLE,LT,2016-01-01,5.6 
YR,F_65_DFLE,LU,2005-01-01,9.3 
YR,F_65_DFLE,LU,2006-01-01,9.4 
YR,F_65_DFLE,LU,2007-01-01,10.7 
YR,F_65_DFLE,LU,2008-01-01,11.6 
YR,F_65_DFLE,LU,2009-01-01,11.5 
YR,F_65_DFLE,LU,2010-01-01,12.4 
YR,F_65_DFLE,LU,2011-01-01,11.8 
YR,F_65_DFLE,LU,2012-01-01,11.9 
YR,F_65_DFLE,LU,2013-01-01,10.6 
YR,F_65_DFLE,LU,2014-01-01,10.8 
YR,F_65_DFLE,LU,2015-01-01,8.7 
YR,F_65_DFLE,LU,2016-01-01,8.0 b
YR,F_65_DFLE,LV,2005-01-01,5.5 d
YR,F_65_DFLE,LV,2006-01-01,4.4 bd
YR,F_65_DFLE,LV,2007-01-01,4.6 
YR,F_65_DFLE,LV,2008-01-01,4.9 
YR,F_65_DFLE,LV,2009-01-01,5.7 
YR,F_65_DFLE,LV,2010-01-01,5.5 
YR,F_65_DFLE,LV,2011-01-01,5.0 
YR,F_65_DFLE,LV,2012-01-01,6.4 
YR,F_65_DFLE,LV,2013-01-01,4.2 b
YR,F_65_DFLE,LV,2014-01-01,4.6 
YR,F_65_DFLE,LV,2015-01-01,4.0 
YR,F_65_DFLE,LV,2016-01-01,4.5 
YR,F_65_DFLE,MT,2005-01-01,11.1 d
YR,F_65_DFLE,MT,2006-01-01,9.9 
YR,F_65_DFLE,MT,2007-01-01,11.5 
YR,F_65_DFLE,MT,2008-01-01,11.6 
YR,F_65_DFLE,MT,2009-01-01,11.7 
YR,F_65_DFLE,MT,2010-01-01,11.7 
YR,F_65_DFLE,MT,2011-01-01,11.0 
YR,F_65_DFLE,MT,2012-01-01,12.3 
YR,F_65_DFLE,MT,2013-01-01,12.7 
YR,F_65_DFLE,MT,2014-01-01,13.7 
YR,F_65_DFLE,MT,2015-01-01,14.0 
YR,F_65_DFLE,MT,2016-01-01,12.9 
YR,F_65_DFLE,NL,2005-01-01,11.1 d
YR,F_65_DFLE,NL,2006-01-01,11.4 
YR,F_65_DFLE,NL,2007-01-01,12.2 
YR,F_65_DFLE,NL,2008-01-01,9.7 b
YR,F_65_DFLE,NL,2009-01-01,10.4 
YR,F_65_DFLE,NL,2010-01-01,9.5 
YR,F_65_DFLE,NL,2011-01-01,9.9 
YR,F_65_DFLE,NL,2012-01-01,10.1 
YR,F_65_DFLE,NL,2013-01-01,9.2 
YR,F_65_DFLE,NL,2014-01-01,10.2 
YR,F_65_DFLE,NL,2015-01-01,9.4 
YR,F_65_DFLE,NL,2016-01-01,9.9 b
YR,F_65_DFLE,NO,2005-01-01,12.3 d
YR,F_65_DFLE,NO,2006-01-01,: 
YR,F_65_DFLE,NO,2007-01-01,13.1 
YR,F_65_DFLE,NO,2008-01-01,14.9 b
YR,F_65_DFLE,NO,2009-01-01,14.0 
YR,F_65_DFLE,NO,2010-01-01,15.7 
YR,F_65_DFLE,NO,2011-01-01,: 
YR,F_65_DFLE,NO,2012-01-01,16.0 
YR,F_65_DFLE,NO,2013-01-01,14.8 
YR,F_65_DFLE,NO,2014-01-01,15.9 
YR,F_65_DFLE,NO,2015-01-01,15.3 
YR,F_65_DFLE,NO,2016-01-01,15.2 
YR,F_65_DFLE,PL,2005-01-01,10.2 d
YR,F_65_DFLE,PL,2006-01-01,8.2 bd
YR,F_65_DFLE,PL,2007-01-01,7.1 
YR,F_65_DFLE,PL,2008-01-01,7.7 
YR,F_65_DFLE,PL,2009-01-01,7.7 
YR,F_65_DFLE,PL,2010-01-01,7.5 
YR,F_65_DFLE,PL,2011-01-01,8.3 
YR,F_65_DFLE,PL,2012-01-01,7.8 
YR,F_65_DFLE,PL,2013-01-01,7.8 
YR,F_65_DFLE,PL,2014-01-01,8.1 
YR,F_65_DFLE,PL,2015-01-01,8.4 
YR,F_65_DFLE,PL,2016-01-01,8.9 
YR,F_65_DFLE,PT,2005-01-01,5.2 bd
YR,F_65_DFLE,PT,2006-01-01,6 
YR,F_65_DFLE,PT,2007-01-01,5.4 
YR,F_65_DFLE,PT,2008-01-01,5.6 
YR,F_65_DFLE,PT,2009-01-01,5.5 
YR,F_65_DFLE,PT,2010-01-01,5.8 
YR,F_65_DFLE,PT,2011-01-01,6.3 
YR,F_65_DFLE,PT,2012-01-01,9.0 b
YR,F_65_DFLE,PT,2013-01-01,9.3 
YR,F_65_DFLE,PT,2014-01-01,5.6 b
YR,F_65_DFLE,PT,2015-01-01,5.4 
YR,F_65_DFLE,PT,2016-01-01,6.4 
YR,F_65_DFLE,RO,2005-01-01,: 
YR,F_65_DFLE,RO,2006-01-01,: 
YR,F_65_DFLE,RO,2007-01-01,7.8 
YR,F_65_DFLE,RO,2008-01-01,8.0 
YR,F_65_DFLE,RO,2009-01-01,7.1 
