indic_bt,nace_r2,s_adj,unit,geotime,date,value
PRIN,MIG_NRG,NSA,I2015_NSA,NL,2017-11-01,99.0 
PRIN,MIG_NRG,NSA,I2015_NSA,NL,2017-12-01,99.4 
PRIN,MIG_NRG,NSA,I2015_NSA,NL,2018-01-01,97.6 
PRIN,MIG_NRG,NSA,I2015_NSA,NL,2018-02-01,95.6 
PRIN,MIG_NRG,NSA,I2015_NSA,NL,2018-03-01,97.3 
PRIN,MIG_NRG,NSA,I2015_NSA,NL,2018-04-01,99.1 p
PRIN,MIG_NRG,NSA,I2015_NSA,NL,2018-05-01,105.2 p
PRIN,MIG_NRG,NSA,I2015_NSA,NL,2018-06-01,105.5 p
PRIN,MIG_NRG,NSA,I2015_NSA,NL,2018-07-01,106.2 p
PRIN,MIG_NRG,NSA,I2015_NSA,NL,2018-08-01,107.2 p
PRIN,MIG_NRG,NSA,I2015_NSA,NL,2018-09-01,
PRIN,MIG_NRG,NSA,I2015_NSA,NO,2017-10-01,117.1 
PRIN,MIG_NRG,NSA,I2015_NSA,NO,2017-11-01,126.3 
PRIN,MIG_NRG,NSA,I2015_NSA,NO,2017-12-01,131.9 
PRIN,MIG_NRG,NSA,I2015_NSA,NO,2018-01-01,133.7 
PRIN,MIG_NRG,NSA,I2015_NSA,NO,2018-02-01,137.5 
PRIN,MIG_NRG,NSA,I2015_NSA,NO,2018-03-01,140.5 
PRIN,MIG_NRG,NSA,I2015_NSA,NO,2018-04-01,139.0 
PRIN,MIG_NRG,NSA,I2015_NSA,NO,2018-05-01,141.5 
PRIN,MIG_NRG,NSA,I2015_NSA,NO,2018-06-01,156.9 
PRIN,MIG_NRG,NSA,I2015_NSA,NO,2018-07-01,162.6 
PRIN,MIG_NRG,NSA,I2015_NSA,NO,2018-08-01,162.3 
PRIN,MIG_NRG,NSA,I2015_NSA,NO,2018-09-01,165.0 
PRIN,MIG_NRG,NSA,I2015_NSA,PL,2017-10-01,105.7 
PRIN,MIG_NRG,NSA,I2015_NSA,PL,2017-11-01,106.9 
PRIN,MIG_NRG,NSA,I2015_NSA,PL,2017-12-01,106.9 
PRIN,MIG_NRG,NSA,I2015_NSA,PL,2018-01-01,107.2 
PRIN,MIG_NRG,NSA,I2015_NSA,PL,2018-02-01,106.1 
PRIN,MIG_NRG,NSA,I2015_NSA,PL,2018-03-01,107.3 
PRIN,MIG_NRG,NSA,I2015_NSA,PL,2018-04-01,109.1 
PRIN,MIG_NRG,NSA,I2015_NSA,PL,2018-05-01,113.5 
PRIN,MIG_NRG,NSA,I2015_NSA,PL,2018-06-01,113.8 
PRIN,MIG_NRG,NSA,I2015_NSA,PL,2018-07-01,113.8 
PRIN,MIG_NRG,NSA,I2015_NSA,PL,2018-08-01,114.6 
PRIN,MIG_NRG,NSA,I2015_NSA,PL,2018-09-01,
PRIN,MIG_NRG,NSA,I2015_NSA,PT,2017-10-01,103.3 
PRIN,MIG_NRG,NSA,I2015_NSA,PT,2017-11-01,103.4 
PRIN,MIG_NRG,NSA,I2015_NSA,PT,2017-12-01,102.4 
PRIN,MIG_NRG,NSA,I2015_NSA,PT,2018-01-01,107.2 
PRIN,MIG_NRG,NSA,I2015_NSA,PT,2018-02-01,105.9 
PRIN,MIG_NRG,NSA,I2015_NSA,PT,2018-03-01,102.8 
PRIN,MIG_NRG,NSA,I2015_NSA,PT,2018-04-01,104.1 
PRIN,MIG_NRG,NSA,I2015_NSA,PT,2018-05-01,111.2 
PRIN,MIG_NRG,NSA,I2015_NSA,PT,2018-06-01,113.1 
PRIN,MIG_NRG,NSA,I2015_NSA,PT,2018-07-01,113.9 
PRIN,MIG_NRG,NSA,I2015_NSA,PT,2018-08-01,114.5 
PRIN,MIG_NRG,NSA,I2015_NSA,PT,2018-09-01,116.1 
PRIN,MIG_NRG,NSA,I2015_NSA,RO,2017-10-01,96.6 
PRIN,MIG_NRG,NSA,I2015_NSA,RO,2017-11-01,98.6 
PRIN,MIG_NRG,NSA,I2015_NSA,RO,2017-12-01,97.3 
PRIN,MIG_NRG,NSA,I2015_NSA,RO,2018-01-01,99.9 
PRIN,MIG_NRG,NSA,I2015_NSA,RO,2018-02-01,99.5 
PRIN,MIG_NRG,NSA,I2015_NSA,RO,2018-03-01,99.7 
PRIN,MIG_NRG,NSA,I2015_NSA,RO,2018-04-01,100.4 
PRIN,MIG_NRG,NSA,I2015_NSA,RO,2018-05-01,103.1 
PRIN,MIG_NRG,NSA,I2015_NSA,RO,2018-06-01,104.0 
PRIN,MIG_NRG,NSA,I2015_NSA,RO,2018-07-01,102.4 
PRIN,MIG_NRG,NSA,I2015_NSA,RO,2018-08-01,105.3 p
PRIN,MIG_NRG,NSA,I2015_NSA,RO,2018-09-01,
