age,sex,hhtyp,indic_il,workint,geotime,date,value
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA19,2017-01-01,53.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EE,2006-01-01,77.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EE,2007-01-01,79.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EE,2008-01-01,82.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EE,2009-01-01,73.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EE,2010-01-01,67.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EE,2011-01-01,70.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EE,2012-01-01,74.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EE,2013-01-01,75.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EE,2014-01-01,71.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EE,2015-01-01,77.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EE,2016-01-01,76.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EE,2017-01-01,72.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EL,2006-01-01,33.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EL,2007-01-01,32.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EL,2008-01-01,35.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EL,2009-01-01,31.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EL,2010-01-01,33.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EL,2011-01-01,40.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EL,2012-01-01,43.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EL,2013-01-01,43.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EL,2014-01-01,44.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EL,2015-01-01,42.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EL,2016-01-01,40.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EL,2017-01-01,41.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,ES,2006-01-01,47.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,ES,2007-01-01,43.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,ES,2008-01-01,41.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,ES,2009-01-01,39.6
