age,indic_il,sex,wstatus,geotime,date,value
Y_GE18,LI_R_MD60,T,EMP,LT,2014-01-01,8.3
Y_GE18,LI_R_MD60,T,EMP,LT,2015-01-01,9.9
Y_GE18,LI_R_MD60,T,EMP,LT,2016-01-01,8.5
Y_GE18,LI_R_MD60,T,EMP,LT,2017-01-01,8.5
Y_GE18,LI_R_MD60,T,EMP,LU,2006-01-01,10.3
Y_GE18,LI_R_MD60,T,EMP,LU,2007-01-01,9.3
Y_GE18,LI_R_MD60,T,EMP,LU,2008-01-01,9.4
Y_GE18,LI_R_MD60,T,EMP,LU,2009-01-01,10.0
Y_GE18,LI_R_MD60,T,EMP,LU,2010-01-01,10.6
Y_GE18,LI_R_MD60,T,EMP,LU,2011-01-01,9.9
Y_GE18,LI_R_MD60,T,EMP,LU,2012-01-01,10.2
Y_GE18,LI_R_MD60,T,EMP,LU,2013-01-01,11.2
Y_GE18,LI_R_MD60,T,EMP,LU,2014-01-01,11.1
Y_GE18,LI_R_MD60,T,EMP,LU,2015-01-01,11.6
Y_GE18,LI_R_MD60,T,EMP,LU,2016-01-01,12.0
Y_GE18,LI_R_MD60,T,EMP,LU,2017-01-01,13.7
Y_GE18,LI_R_MD60,T,EMP,LV,2006-01-01,11.1
Y_GE18,LI_R_MD60,T,EMP,LV,2007-01-01,9.2
Y_GE18,LI_R_MD60,T,EMP,LV,2008-01-01,10.5
Y_GE18,LI_R_MD60,T,EMP,LV,2009-01-01,10.8
Y_GE18,LI_R_MD60,T,EMP,LV,2010-01-01,9.4
Y_GE18,LI_R_MD60,T,EMP,LV,2011-01-01,9.3
Y_GE18,LI_R_MD60,T,EMP,LV,2012-01-01,8.6
Y_GE18,LI_R_MD60,T,EMP,LV,2013-01-01,8.9
Y_GE18,LI_R_MD60,T,EMP,LV,2014-01-01,8.1
Y_GE18,LI_R_MD60,T,EMP,LV,2015-01-01,9.2
Y_GE18,LI_R_MD60,T,EMP,LV,2016-01-01,8.3
Y_GE18,LI_R_MD60,T,EMP,LV,2017-01-01,8.8
Y_GE18,LI_R_MD60,T,EMP,MK,2006-01-01,
Y_GE18,LI_R_MD60,T,EMP,MK,2007-01-01,
Y_GE18,LI_R_MD60,T,EMP,MK,2008-01-01,
Y_GE18,LI_R_MD60,T,EMP,MK,2009-01-01,
Y_GE18,LI_R_MD60,T,EMP,MK,2010-01-01,
Y_GE18,LI_R_MD60,T,EMP,MK,2011-01-01,
Y_GE18,LI_R_MD60,T,EMP,MK,2012-01-01,11.1
Y_GE18,LI_R_MD60,T,EMP,MK,2013-01-01,11.1
Y_GE18,LI_R_MD60,T,EMP,MK,2014-01-01,9.8
Y_GE18,LI_R_MD60,T,EMP,MK,2015-01-01,8.9
Y_GE18,LI_R_MD60,T,EMP,MK,2016-01-01,9.0
Y_GE18,LI_R_MD60,T,EMP,MK,2017-01-01,
Y_GE18,LI_R_MD60,T,EMP,MT,2006-01-01,4.1
Y_GE18,LI_R_MD60,T,EMP,MT,2007-01-01,4.6
Y_GE18,LI_R_MD60,T,EMP,MT,2008-01-01,5.1
Y_GE18,LI_R_MD60,T,EMP,MT,2009-01-01,5.4
Y_GE18,LI_R_MD60,T,EMP,MT,2010-01-01,5.9
Y_GE18,LI_R_MD60,T,EMP,MT,2011-01-01,6.1
Y_GE18,LI_R_MD60,T,EMP,MT,2012-01-01,5.2
Y_GE18,LI_R_MD60,T,EMP,MT,2013-01-01,5.9
Y_GE18,LI_R_MD60,T,EMP,MT,2014-01-01,5.7
Y_GE18,LI_R_MD60,T,EMP,MT,2015-01-01,5.4
Y_GE18,LI_R_MD60,T,EMP,MT,2016-01-01,5.8
Y_GE18,LI_R_MD60,T,EMP,MT,2017-01-01,5.9
Y_GE18,LI_R_MD60,T,EMP,NL,2006-01-01,4.4
Y_GE18,LI_R_MD60,T,EMP,NL,2007-01-01,4.6
Y_GE18,LI_R_MD60,T,EMP,NL,2008-01-01,4.8
Y_GE18,LI_R_MD60,T,EMP,NL,2009-01-01,5.0
Y_GE18,LI_R_MD60,T,EMP,NL,2010-01-01,5.1
Y_GE18,LI_R_MD60,T,EMP,NL,2011-01-01,5.4
Y_GE18,LI_R_MD60,T,EMP,NL,2012-01-01,4.6
Y_GE18,LI_R_MD60,T,EMP,NL,2013-01-01,4.5
Y_GE18,LI_R_MD60,T,EMP,NL,2014-01-01,5.3
Y_GE18,LI_R_MD60,T,EMP,NL,2015-01-01,5.0
Y_GE18,LI_R_MD60,T,EMP,NL,2016-01-01,5.6
Y_GE18,LI_R_MD60,T,EMP,NL,2017-01-01,6.1
Y_GE18,LI_R_MD60,T,EMP,NO,2006-01-01,6.1
Y_GE18,LI_R_MD60,T,EMP,NO,2007-01-01,5.8
Y_GE18,LI_R_MD60,T,EMP,NO,2008-01-01,5.4
Y_GE18,LI_R_MD60,T,EMP,NO,2009-01-01,5.6
Y_GE18,LI_R_MD60,T,EMP,NO,2010-01-01,5.2
Y_GE18,LI_R_MD60,T,EMP,NO,2011-01-01,5.6
Y_GE18,LI_R_MD60,T,EMP,NO,2012-01-01,5.0
Y_GE18,LI_R_MD60,T,EMP,NO,2013-01-01,5.6
Y_GE18,LI_R_MD60,T,EMP,NO,2014-01-01,5.0
Y_GE18,LI_R_MD60,T,EMP,NO,2015-01-01,5.5
Y_GE18,LI_R_MD60,T,EMP,NO,2016-01-01,5.7
Y_GE18,LI_R_MD60,T,EMP,NO,2017-01-01,7.5
Y_GE18,LI_R_MD60,T,EMP,PL,2006-01-01,12.8
Y_GE18,LI_R_MD60,T,EMP,PL,2007-01-01,11.7
Y_GE18,LI_R_MD60,T,EMP,PL,2008-01-01,11.5
Y_GE18,LI_R_MD60,T,EMP,PL,2009-01-01,11.0
Y_GE18,LI_R_MD60,T,EMP,PL,2010-01-01,11.4
Y_GE18,LI_R_MD60,T,EMP,PL,2011-01-01,11.1
Y_GE18,LI_R_MD60,T,EMP,PL,2012-01-01,10.4
Y_GE18,LI_R_MD60,T,EMP,PL,2013-01-01,10.7
Y_GE18,LI_R_MD60,T,EMP,PL,2014-01-01,10.6
Y_GE18,LI_R_MD60,T,EMP,PL,2015-01-01,11.2
Y_GE18,LI_R_MD60,T,EMP,PL,2016-01-01,10.8
Y_GE18,LI_R_MD60,T,EMP,PL,2017-01-01,9.9
Y_GE18,LI_R_MD60,T,EMP,PT,2006-01-01,11.2
Y_GE18,LI_R_MD60,T,EMP,PT,2007-01-01,9.7
Y_GE18,LI_R_MD60,T,EMP,PT,2008-01-01,11.8
Y_GE18,LI_R_MD60,T,EMP,PT,2009-01-01,10.3
Y_GE18,LI_R_MD60,T,EMP,PT,2010-01-01,9.7
Y_GE18,LI_R_MD60,T,EMP,PT,2011-01-01,10.3
Y_GE18,LI_R_MD60,T,EMP,PT,2012-01-01,9.9
Y_GE18,LI_R_MD60,T,EMP,PT,2013-01-01,10.5
Y_GE18,LI_R_MD60,T,EMP,PT,2014-01-01,10.7
Y_GE18,LI_R_MD60,T,EMP,PT,2015-01-01,10.9
Y_GE18,LI_R_MD60,T,EMP,PT,2016-01-01,10.9
Y_GE18,LI_R_MD60,T,EMP,PT,2017-01-01,10.8
Y_GE18,LI_R_MD60,T,EMP,RO,2006-01-01,
Y_GE18,LI_R_MD60,T,EMP,RO,2007-01-01,17.4
Y_GE18,LI_R_MD60,T,EMP,RO,2008-01-01,17.7
Y_GE18,LI_R_MD60,T,EMP,RO,2009-01-01,17.4
Y_GE18,LI_R_MD60,T,EMP,RO,2010-01-01,17.9
Y_GE18,LI_R_MD60,T,EMP,RO,2011-01-01,19.1
Y_GE18,LI_R_MD60,T,EMP,RO,2012-01-01,19.0
Y_GE18,LI_R_MD60,T,EMP,RO,2013-01-01,18.4
Y_GE18,LI_R_MD60,T,EMP,RO,2014-01-01,19.8
Y_GE18,LI_R_MD60,T,EMP,RO,2015-01-01,18.8
Y_GE18,LI_R_MD60,T,EMP,RO,2016-01-01,18.9
Y_GE18,LI_R_MD60,T,EMP,RO,2017-01-01,17.4
Y_GE18,LI_R_MD60,T,EMP,RS,2006-01-01,
Y_GE18,LI_R_MD60,T,EMP,RS,2007-01-01,
