unit,vehicle,geotime,date,value
PC,BUS_TOT,HR,2000-01-01,13
PC,BUS_TOT,HR,2001-01-01,13
PC,BUS_TOT,HR,2002-01-01,13
PC,BUS_TOT,HR,2003-01-01,13
PC,BUS_TOT,HR,2004-01-01,12
PC,BUS_TOT,HR,2005-01-01,11
PC,BUS_TOT,HR,2006-01-01,11
PC,BUS_TOT,HR,2007-01-01,12
PC,BUS_TOT,HR,2008-01-01,12
PC,BUS_TOT,HR,2009-01-01,10
PC,BUS_TOT,HR,2010-01-01,10
PC,BUS_TOT,HR,2011-01-01,10
PC,BUS_TOT,HR,2012-01-01,10
PC,BUS_TOT,HR,2013-01-01,11
PC,BUS_TOT,HR,2014-01-01,11
PC,BUS_TOT,HR,2015-01-01,11
PC,BUS_TOT,HR,2016-01-01,12
PC,BUS_TOT,HU,2000-01-01,25
PC,BUS_TOT,HU,2001-01-01,24
PC,BUS_TOT,HU,2002-01-01,25
PC,BUS_TOT,HU,2003-01-01,24
PC,BUS_TOT,HU,2004-01-01,23
PC,BUS_TOT,HU,2005-01-01,23
PC,BUS_TOT,HU,2006-01-01,22
PC,BUS_TOT,HU,2007-01-01,21
PC,BUS_TOT,HU,2008-01-01,22
PC,BUS_TOT,HU,2009-01-01,20
PC,BUS_TOT,HU,2010-01-01,21
PC,BUS_TOT,HU,2011-01-01,21
PC,BUS_TOT,HU,2012-01-01,22
PC,BUS_TOT,HU,2013-01-01,22
PC,BUS_TOT,HU,2014-01-01,22
PC,BUS_TOT,HU,2015-01-01,22
PC,BUS_TOT,HU,2016-01-01,21
PC,BUS_TOT,IE,2000-01-01,16
PC,BUS_TOT,IE,2001-01-01,16
PC,BUS_TOT,IE,2002-01-01,15
PC,BUS_TOT,IE,2003-01-01,15
PC,BUS_TOT,IE,2004-01-01,15
PC,BUS_TOT,IE,2005-01-01,14
PC,BUS_TOT,IE,2006-01-01,14
PC,BUS_TOT,IE,2007-01-01,14
PC,BUS_TOT,IE,2008-01-01,14
PC,BUS_TOT,IE,2009-01-01,15
PC,BUS_TOT,IE,2010-01-01,14
PC,BUS_TOT,IE,2011-01-01,19
PC,BUS_TOT,IE,2012-01-01,14
PC,BUS_TOT,IE,2013-01-01,14
PC,BUS_TOT,IE,2014-01-01,17
PC,BUS_TOT,IE,2015-01-01,16
PC,BUS_TOT,IE,2016-01-01,17
PC,BUS_TOT,IS,2000-01-01,11
PC,BUS_TOT,IS,2001-01-01,11
PC,BUS_TOT,IS,2002-01-01,11
PC,BUS_TOT,IS,2003-01-01,11
PC,BUS_TOT,IS,2004-01-01,11
PC,BUS_TOT,IS,2005-01-01,11
PC,BUS_TOT,IS,2006-01-01,11
PC,BUS_TOT,IS,2007-01-01,11
PC,BUS_TOT,IS,2008-01-01,11
PC,BUS_TOT,IS,2009-01-01,11
PC,BUS_TOT,IS,2010-01-01,11
PC,BUS_TOT,IS,2011-01-01,11
PC,BUS_TOT,IS,2012-01-01,11
PC,BUS_TOT,IS,2013-01-01,11
PC,BUS_TOT,IS,2014-01-01,11
PC,BUS_TOT,IS,2015-01-01,11
PC,BUS_TOT,IS,2016-01-01,11
PC,BUS_TOT,IT,2000-01-01,10
PC,BUS_TOT,IT,2001-01-01,11
PC,BUS_TOT,IT,2002-01-01,11
PC,BUS_TOT,IT,2003-01-01,11
PC,BUS_TOT,IT,2004-01-01,11
PC,BUS_TOT,IT,2005-01-01,12
PC,BUS_TOT,IT,2006-01-01,12
PC,BUS_TOT,IT,2007-01-01,12
PC,BUS_TOT,IT,2008-01-01,12
PC,BUS_TOT,IT,2009-01-01,11
PC,BUS_TOT,IT,2010-01-01,12
PC,BUS_TOT,IT,2011-01-01,13
PC,BUS_TOT,IT,2012-01-01,14
PC,BUS_TOT,IT,2013-01-01,14
PC,BUS_TOT,IT,2014-01-01,13
PC,BUS_TOT,IT,2015-01-01,12
PC,BUS_TOT,IT,2016-01-01,12
PC,BUS_TOT,LT,2000-01-01,14
PC,BUS_TOT,LT,2001-01-01,14
PC,BUS_TOT,LT,2002-01-01,15
PC,BUS_TOT,LT,2003-01-01,13
PC,BUS_TOT,LT,2004-01-01,11
PC,BUS_TOT,LT,2005-01-01,9
PC,BUS_TOT,LT,2006-01-01,8
PC,BUS_TOT,LT,2007-01-01,8
PC,BUS_TOT,LT,2008-01-01,8
PC,BUS_TOT,LT,2009-01-01,7
PC,BUS_TOT,LT,2010-01-01,7
PC,BUS_TOT,LT,2011-01-01,8
PC,BUS_TOT,LT,2012-01-01,7
PC,BUS_TOT,LT,2013-01-01,7
PC,BUS_TOT,LT,2014-01-01,10
PC,BUS_TOT,LT,2015-01-01,9
PC,BUS_TOT,LT,2016-01-01,9
PC,BUS_TOT,LU,2000-01-01,9
PC,BUS_TOT,LU,2001-01-01,9
PC,BUS_TOT,LU,2002-01-01,10
PC,BUS_TOT,LU,2003-01-01,10
PC,BUS_TOT,LU,2004-01-01,10
PC,BUS_TOT,LU,2005-01-01,10
PC,BUS_TOT,LU,2006-01-01,10
PC,BUS_TOT,LU,2007-01-01,11
PC,BUS_TOT,LU,2008-01-01,11
PC,BUS_TOT,LU,2009-01-01,11
PC,BUS_TOT,LU,2010-01-01,12
PC,BUS_TOT,LU,2011-01-01,12
PC,BUS_TOT,LU,2012-01-01,12
PC,BUS_TOT,LU,2013-01-01,12
PC,BUS_TOT,LU,2014-01-01,12
PC,BUS_TOT,LU,2015-01-01,12
PC,BUS_TOT,LU,2016-01-01,12
PC,BUS_TOT,LV,2000-01-01,16
PC,BUS_TOT,LV,2001-01-01,15
PC,BUS_TOT,LV,2002-01-01,15
PC,BUS_TOT,LV,2003-01-01,16
PC,BUS_TOT,LV,2004-01-01,17
PC,BUS_TOT,LV,2005-01-01,18
PC,BUS_TOT,LV,2006-01-01,15
PC,BUS_TOT,LV,2007-01-01,15
PC,BUS_TOT,LV,2008-01-01,16
PC,BUS_TOT,LV,2009-01-01,15
PC,BUS_TOT,LV,2010-01-01,17
PC,BUS_TOT,LV,2011-01-01,18
PC,BUS_TOT,LV,2012-01-01,18
PC,BUS_TOT,LV,2013-01-01,18
PC,BUS_TOT,LV,2014-01-01,17
