sector,s_adj,na_item,unit,geo\time,date,value
S14_S15,NSA,SRG_S14_S15,PC,NO,2017-07-01,11.44 
S14_S15,NSA,SRG_S14_S15,PC,NO,2017-10-01,10.46 
S14_S15,NSA,SRG_S14_S15,PC,NO,2018-01-01,13.16 
S14_S15,NSA,SRG_S14_S15,PC,NO,2018-04-01,16.51 
S14_S15,NSA,SRG_S14_S15,PC,PL,2015-07-01,1.18
S14_S15,NSA,SRG_S14_S15,PC,PL,2015-10-01,11.07
S14_S15,NSA,SRG_S14_S15,PC,PL,2016-01-01,-6.25 
S14_S15,NSA,SRG_S14_S15,PC,PL,2016-04-01,5.41 
S14_S15,NSA,SRG_S14_S15,PC,PL,2016-07-01,2.99 
S14_S15,NSA,SRG_S14_S15,PC,PL,2016-10-01,13.04 
S14_S15,NSA,SRG_S14_S15,PC,PL,2017-01-01,-10.09 p
S14_S15,NSA,SRG_S14_S15,PC,PL,2017-04-01,1.47 p
S14_S15,NSA,SRG_S14_S15,PC,PL,2017-07-01,1.20 p
S14_S15,NSA,SRG_S14_S15,PC,PL,2017-10-01,11.85 p
S14_S15,NSA,SRG_S14_S15,PC,PL,2018-01-01,-9.40 p
S14_S15,NSA,SRG_S14_S15,PC,PL,2018-04-01,: 
S14_S15,NSA,SRG_S14_S15,PC,PT,2015-07-01,2.24
S14_S15,NSA,SRG_S14_S15,PC,PT,2015-10-01,8.4
S14_S15,NSA,SRG_S14_S15,PC,PT,2016-01-01,0.75 
S14_S15,NSA,SRG_S14_S15,PC,PT,2016-04-01,7.60 
S14_S15,NSA,SRG_S14_S15,PC,PT,2016-07-01,3.58 
S14_S15,NSA,SRG_S14_S15,PC,PT,2016-10-01,7.46 
S14_S15,NSA,SRG_S14_S15,PC,PT,2017-01-01,-1.89 e
S14_S15,NSA,SRG_S14_S15,PC,PT,2017-04-01,8.95 e
S14_S15,NSA,SRG_S14_S15,PC,PT,2017-07-01,0.44 e
S14_S15,NSA,SRG_S14_S15,PC,PT,2017-10-01,9.93 e
S14_S15,NSA,SRG_S14_S15,PC,PT,2018-01-01,-2.02 e
S14_S15,NSA,SRG_S14_S15,PC,PT,2018-04-01,7.92 e
S14_S15,NSA,SRG_S14_S15,PC,SE,2015-07-01,12.72
S14_S15,NSA,SRG_S14_S15,PC,SE,2015-10-01,8.4
S14_S15,NSA,SRG_S14_S15,PC,SE,2016-01-01,13.97 
S14_S15,NSA,SRG_S14_S15,PC,SE,2016-04-01,33.07 
S14_S15,NSA,SRG_S14_S15,PC,SE,2016-07-01,12.43 
S14_S15,NSA,SRG_S14_S15,PC,SE,2016-10-01,9.43 
S14_S15,NSA,SRG_S14_S15,PC,SE,2017-01-01,13.54 
S14_S15,NSA,SRG_S14_S15,PC,SE,2017-04-01,32.18 
S14_S15,NSA,SRG_S14_S15,PC,SE,2017-07-01,12.07 
S14_S15,NSA,SRG_S14_S15,PC,SE,2017-10-01,7.74 
S14_S15,NSA,SRG_S14_S15,PC,SE,2018-01-01,15.38 
S14_S15,NSA,SRG_S14_S15,PC,SE,2018-04-01,31.42 
S14_S15,NSA,SRG_S14_S15,PC,SI,2015-07-01,11.35
S14_S15,NSA,SRG_S14_S15,PC,SI,2015-10-01,8.71
S14_S15,NSA,SRG_S14_S15,PC,SI,2016-01-01,19.20 
S14_S15,NSA,SRG_S14_S15,PC,SI,2016-04-01,14.14 
S14_S15,NSA,SRG_S14_S15,PC,SI,2016-07-01,11.83 
S14_S15,NSA,SRG_S14_S15,PC,SI,2016-10-01,7.14 
S14_S15,NSA,SRG_S14_S15,PC,SI,2017-01-01,18.07 
S14_S15,NSA,SRG_S14_S15,PC,SI,2017-04-01,16.68 
S14_S15,NSA,SRG_S14_S15,PC,SI,2017-07-01,12.18 
S14_S15,NSA,SRG_S14_S15,PC,SI,2017-10-01,9.20 
S14_S15,NSA,SRG_S14_S15,PC,SI,2018-01-01,18.35 
S14_S15,NSA,SRG_S14_S15,PC,SI,2018-04-01,17.36 
S14_S15,NSA,SRG_S14_S15,PC,UK,2015-07-01,7.82
S14_S15,NSA,SRG_S14_S15,PC,UK,2015-10-01,8.49
S14_S15,NSA,SRG_S14_S15,PC,UK,2016-01-01,7.96 
S14_S15,NSA,SRG_S14_S15,PC,UK,2016-04-01,10.96 
S14_S15,NSA,SRG_S14_S15,PC,UK,2016-07-01,4.40 
S14_S15,NSA,SRG_S14_S15,PC,UK,2016-10-01,3.60 
S14_S15,NSA,SRG_S14_S15,PC,UK,2017-01-01,3.10 
S14_S15,NSA,SRG_S14_S15,PC,UK,2017-04-01,8.56 
S14_S15,NSA,SRG_S14_S15,PC,UK,2017-07-01,2.93 
S14_S15,NSA,SRG_S14_S15,PC,UK,2017-10-01,3.20 
S14_S15,NSA,SRG_S14_S15,PC,UK,2018-01-01,3.48 
S14_S15,NSA,SRG_S14_S15,PC,UK,2018-04-01,7.76 
S14_S15,SCA,SRG_S14_S15,PC,AT,2015-07-01,13.34
S14_S15,SCA,SRG_S14_S15,PC,AT,2015-10-01,10.97
S14_S15,SCA,SRG_S14_S15,PC,AT,2016-01-01,13.65 
S14_S15,SCA,SRG_S14_S15,PC,AT,2016-04-01,13.16 
S14_S15,SCA,SRG_S14_S15,PC,AT,2016-07-01,12.11 
