unit,incgrp,hhtyp,n_item,geotime,date,value
PC,TOTAL,TOTAL,0,FR,2015-01-01,82
PC,TOTAL,TOTAL,0,FR,2016-01-01,80
PC,TOTAL,TOTAL,0,FR,2017-01-01,83
PC,TOTAL,TOTAL,0,HR,2006-01-01,
PC,TOTAL,TOTAL,0,HR,2007-01-01,
PC,TOTAL,TOTAL,0,HR,2008-01-01,
PC,TOTAL,TOTAL,0,HR,2009-01-01,
PC,TOTAL,TOTAL,0,HR,2010-01-01,76
PC,TOTAL,TOTAL,0,HR,2011-01-01,81
PC,TOTAL,TOTAL,0,HR,2012-01-01,82
PC,TOTAL,TOTAL,0,HR,2013-01-01,83
PC,TOTAL,TOTAL,0,HR,2014-01-01,84
PC,TOTAL,TOTAL,0,HR,2015-01-01,85
PC,TOTAL,TOTAL,0,HR,2016-01-01,85
PC,TOTAL,TOTAL,0,HR,2017-01-01,
PC,TOTAL,TOTAL,0,HU,2006-01-01,69
PC,TOTAL,TOTAL,0,HU,2007-01-01,73
PC,TOTAL,TOTAL,0,HU,2008-01-01,63
PC,TOTAL,TOTAL,0,HU,2009-01-01,78
PC,TOTAL,TOTAL,0,HU,2010-01-01,69
PC,TOTAL,TOTAL,0,HU,2011-01-01,73
PC,TOTAL,TOTAL,0,HU,2012-01-01,71
PC,TOTAL,TOTAL,0,HU,2013-01-01,69
PC,TOTAL,TOTAL,0,HU,2014-01-01,69
PC,TOTAL,TOTAL,0,HU,2015-01-01,71
PC,TOTAL,TOTAL,0,HU,2016-01-01,69
PC,TOTAL,TOTAL,0,HU,2017-01-01,72
PC,TOTAL,TOTAL,0,IE,2006-01-01,82
PC,TOTAL,TOTAL,0,IE,2007-01-01,80
PC,TOTAL,TOTAL,0,IE,2008-01-01,84
PC,TOTAL,TOTAL,0,IE,2009-01-01,83
PC,TOTAL,TOTAL,0,IE,2010-01-01,84
PC,TOTAL,TOTAL,0,IE,2011-01-01,80
PC,TOTAL,TOTAL,0,IE,2012-01-01,84
PC,TOTAL,TOTAL,0,IE,2013-01-01,79
PC,TOTAL,TOTAL,0,IE,2014-01-01,82
PC,TOTAL,TOTAL,0,IE,2015-01-01,83
PC,TOTAL,TOTAL,0,IE,2016-01-01,83
PC,TOTAL,TOTAL,0,IE,2017-01-01,
PC,TOTAL,TOTAL,0,IS,2006-01-01,85
PC,TOTAL,TOTAL,0,IS,2007-01-01,87
PC,TOTAL,TOTAL,0,IS,2008-01-01,78
PC,TOTAL,TOTAL,0,IS,2009-01-01,81
PC,TOTAL,TOTAL,0,IS,2010-01-01,82
PC,TOTAL,TOTAL,0,IS,2011-01-01,82
PC,TOTAL,TOTAL,0,IS,2012-01-01,79
PC,TOTAL,TOTAL,0,IS,2013-01-01,79
PC,TOTAL,TOTAL,0,IS,2014-01-01,82
PC,TOTAL,TOTAL,0,IS,2015-01-01,78
PC,TOTAL,TOTAL,0,IS,2016-01-01,80
PC,TOTAL,TOTAL,0,IS,2017-01-01,
