stk_flow,geo\time,date,value
LOSS_CUM_EUR_HAB,LU,2002-01-01,: 
LOSS_CUM_EUR_HAB,LU,2003-01-01,: 
LOSS_CUM_EUR_HAB,LU,2004-01-01,: 
LOSS_CUM_EUR_HAB,LU,2005-01-01,: 
LOSS_CUM_EUR_HAB,LU,2006-01-01,: 
LOSS_CUM_EUR_HAB,LU,2007-01-01,: 
LOSS_CUM_EUR_HAB,LU,2008-01-01,: 
LOSS_CUM_EUR_HAB,LU,2009-01-01,: 
LOSS_CUM_EUR_HAB,LU,2010-01-01,: 
LOSS_CUM_EUR_HAB,LU,2011-01-01,: 
LOSS_CUM_EUR_HAB,LU,2012-01-01,: 
LOSS_CUM_EUR_HAB,LU,2013-01-01,: 
LOSS_CUM_EUR_HAB,LU,2014-01-01,: 
LOSS_CUM_EUR_HAB,LU,2015-01-01,: 
LOSS_CUM_EUR_HAB,LU,2016-01-01,1605
LOSS_CUM_EUR_HAB,LV,1980-01-01,: 
LOSS_CUM_EUR_HAB,LV,1981-01-01,: 
LOSS_CUM_EUR_HAB,LV,1982-01-01,: 
LOSS_CUM_EUR_HAB,LV,1983-01-01,: 
LOSS_CUM_EUR_HAB,LV,1984-01-01,: 
LOSS_CUM_EUR_HAB,LV,1985-01-01,: 
LOSS_CUM_EUR_HAB,LV,1986-01-01,: 
LOSS_CUM_EUR_HAB,LV,1987-01-01,: 
LOSS_CUM_EUR_HAB,LV,1988-01-01,: 
LOSS_CUM_EUR_HAB,LV,1989-01-01,: 
LOSS_CUM_EUR_HAB,LV,1990-01-01,: 
LOSS_CUM_EUR_HAB,LV,1991-01-01,: 
LOSS_CUM_EUR_HAB,LV,1992-01-01,: 
LOSS_CUM_EUR_HAB,LV,1993-01-01,: 
LOSS_CUM_EUR_HAB,LV,1994-01-01,: 
LOSS_CUM_EUR_HAB,LV,1995-01-01,: 
LOSS_CUM_EUR_HAB,LV,1996-01-01,: 
LOSS_CUM_EUR_HAB,LV,1997-01-01,: 
LOSS_CUM_EUR_HAB,LV,1998-01-01,: 
LOSS_CUM_EUR_HAB,LV,1999-01-01,: 
LOSS_CUM_EUR_HAB,LV,2000-01-01,: 
LOSS_CUM_EUR_HAB,LV,2001-01-01,: 
LOSS_CUM_EUR_HAB,LV,2002-01-01,: 
LOSS_CUM_EUR_HAB,LV,2003-01-01,: 
LOSS_CUM_EUR_HAB,LV,2004-01-01,: 
LOSS_CUM_EUR_HAB,LV,2005-01-01,: 
LOSS_CUM_EUR_HAB,LV,2006-01-01,: 
LOSS_CUM_EUR_HAB,LV,2007-01-01,: 
LOSS_CUM_EUR_HAB,LV,2008-01-01,: 
LOSS_CUM_EUR_HAB,LV,2009-01-01,: 
LOSS_CUM_EUR_HAB,LV,2010-01-01,: 
LOSS_CUM_EUR_HAB,LV,2011-01-01,: 
LOSS_CUM_EUR_HAB,LV,2012-01-01,: 
LOSS_CUM_EUR_HAB,LV,2013-01-01,: 
LOSS_CUM_EUR_HAB,LV,2014-01-01,: 
LOSS_CUM_EUR_HAB,LV,2015-01-01,: 
LOSS_CUM_EUR_HAB,LV,2016-01-01,150
LOSS_CUM_EUR_HAB,MT,1980-01-01,: 
LOSS_CUM_EUR_HAB,MT,1981-01-01,: 
LOSS_CUM_EUR_HAB,MT,1982-01-01,: 
LOSS_CUM_EUR_HAB,MT,1983-01-01,: 
LOSS_CUM_EUR_HAB,MT,1984-01-01,: 
LOSS_CUM_EUR_HAB,MT,1985-01-01,: 
LOSS_CUM_EUR_HAB,MT,1986-01-01,: 
LOSS_CUM_EUR_HAB,MT,1987-01-01,: 
LOSS_CUM_EUR_HAB,MT,1988-01-01,: 
LOSS_CUM_EUR_HAB,MT,1989-01-01,: 
LOSS_CUM_EUR_HAB,MT,1990-01-01,: 
LOSS_CUM_EUR_HAB,MT,1991-01-01,: 
LOSS_CUM_EUR_HAB,MT,1992-01-01,: 
LOSS_CUM_EUR_HAB,MT,1993-01-01,: 
LOSS_CUM_EUR_HAB,MT,1994-01-01,: 
LOSS_CUM_EUR_HAB,MT,1995-01-01,: 
LOSS_CUM_EUR_HAB,MT,1996-01-01,: 
LOSS_CUM_EUR_HAB,MT,1997-01-01,: 
LOSS_CUM_EUR_HAB,MT,1998-01-01,: 
LOSS_CUM_EUR_HAB,MT,1999-01-01,: 
LOSS_CUM_EUR_HAB,MT,2000-01-01,: 
LOSS_CUM_EUR_HAB,MT,2001-01-01,: 
LOSS_CUM_EUR_HAB,MT,2002-01-01,: 
LOSS_CUM_EUR_HAB,MT,2003-01-01,: 
LOSS_CUM_EUR_HAB,MT,2004-01-01,: 
LOSS_CUM_EUR_HAB,MT,2005-01-01,: 
LOSS_CUM_EUR_HAB,MT,2006-01-01,: 
LOSS_CUM_EUR_HAB,MT,2007-01-01,: 
LOSS_CUM_EUR_HAB,MT,2008-01-01,: 
LOSS_CUM_EUR_HAB,MT,2009-01-01,: 
LOSS_CUM_EUR_HAB,MT,2010-01-01,: 
LOSS_CUM_EUR_HAB,MT,2011-01-01,: 
LOSS_CUM_EUR_HAB,MT,2012-01-01,: 
LOSS_CUM_EUR_HAB,MT,2013-01-01,: 
LOSS_CUM_EUR_HAB,MT,2014-01-01,: 
LOSS_CUM_EUR_HAB,MT,2015-01-01,: 
LOSS_CUM_EUR_HAB,MT,2016-01-01,160
LOSS_CUM_EUR_HAB,NL,1980-01-01,: 
LOSS_CUM_EUR_HAB,NL,1981-01-01,: 
LOSS_CUM_EUR_HAB,NL,1982-01-01,: 
LOSS_CUM_EUR_HAB,NL,1983-01-01,: 
LOSS_CUM_EUR_HAB,NL,1984-01-01,: 
LOSS_CUM_EUR_HAB,NL,1985-01-01,: 
LOSS_CUM_EUR_HAB,NL,1986-01-01,: 
LOSS_CUM_EUR_HAB,NL,1987-01-01,: 
LOSS_CUM_EUR_HAB,NL,1988-01-01,: 
LOSS_CUM_EUR_HAB,NL,1989-01-01,: 
LOSS_CUM_EUR_HAB,NL,1990-01-01,: 
LOSS_CUM_EUR_HAB,NL,1991-01-01,: 
LOSS_CUM_EUR_HAB,NL,1992-01-01,: 
LOSS_CUM_EUR_HAB,NL,1993-01-01,: 
LOSS_CUM_EUR_HAB,NL,1994-01-01,: 
LOSS_CUM_EUR_HAB,NL,1995-01-01,: 
LOSS_CUM_EUR_HAB,NL,1996-01-01,: 
LOSS_CUM_EUR_HAB,NL,1997-01-01,: 
LOSS_CUM_EUR_HAB,NL,1998-01-01,: 
LOSS_CUM_EUR_HAB,NL,1999-01-01,: 
LOSS_CUM_EUR_HAB,NL,2000-01-01,: 
LOSS_CUM_EUR_HAB,NL,2001-01-01,: 
LOSS_CUM_EUR_HAB,NL,2002-01-01,: 
LOSS_CUM_EUR_HAB,NL,2003-01-01,: 
LOSS_CUM_EUR_HAB,NL,2004-01-01,: 
LOSS_CUM_EUR_HAB,NL,2005-01-01,: 
LOSS_CUM_EUR_HAB,NL,2006-01-01,: 
LOSS_CUM_EUR_HAB,NL,2007-01-01,: 
LOSS_CUM_EUR_HAB,NL,2008-01-01,: 
LOSS_CUM_EUR_HAB,NL,2009-01-01,: 
LOSS_CUM_EUR_HAB,NL,2010-01-01,: 
LOSS_CUM_EUR_HAB,NL,2011-01-01,: 
LOSS_CUM_EUR_HAB,NL,2012-01-01,: 
LOSS_CUM_EUR_HAB,NL,2013-01-01,: 
LOSS_CUM_EUR_HAB,NL,2014-01-01,: 
LOSS_CUM_EUR_HAB,NL,2015-01-01,: 
LOSS_CUM_EUR_HAB,NL,2016-01-01,509
LOSS_CUM_EUR_HAB,NO,1980-01-01,: 
LOSS_CUM_EUR_HAB,NO,1981-01-01,: 
LOSS_CUM_EUR_HAB,NO,1982-01-01,: 
LOSS_CUM_EUR_HAB,NO,1983-01-01,: 
LOSS_CUM_EUR_HAB,NO,1984-01-01,: 
LOSS_CUM_EUR_HAB,NO,1985-01-01,: 
LOSS_CUM_EUR_HAB,NO,1986-01-01,: 
LOSS_CUM_EUR_HAB,NO,1987-01-01,: 
LOSS_CUM_EUR_HAB,NO,1988-01-01,: 
LOSS_CUM_EUR_HAB,NO,1989-01-01,: 
LOSS_CUM_EUR_HAB,NO,1990-01-01,: 
LOSS_CUM_EUR_HAB,NO,1991-01-01,: 
LOSS_CUM_EUR_HAB,NO,1992-01-01,: 
LOSS_CUM_EUR_HAB,NO,1993-01-01,: 
LOSS_CUM_EUR_HAB,NO,1994-01-01,: 
LOSS_CUM_EUR_HAB,NO,1995-01-01,: 
LOSS_CUM_EUR_HAB,NO,1996-01-01,: 
LOSS_CUM_EUR_HAB,NO,1997-01-01,: 
LOSS_CUM_EUR_HAB,NO,1998-01-01,: 
LOSS_CUM_EUR_HAB,NO,1999-01-01,: 
LOSS_CUM_EUR_HAB,NO,2000-01-01,: 
LOSS_CUM_EUR_HAB,NO,2001-01-01,: 
LOSS_CUM_EUR_HAB,NO,2002-01-01,: 
LOSS_CUM_EUR_HAB,NO,2003-01-01,: 
LOSS_CUM_EUR_HAB,NO,2004-01-01,: 
LOSS_CUM_EUR_HAB,NO,2005-01-01,: 
LOSS_CUM_EUR_HAB,NO,2006-01-01,: 
LOSS_CUM_EUR_HAB,NO,2007-01-01,: 
LOSS_CUM_EUR_HAB,NO,2008-01-01,: 
LOSS_CUM_EUR_HAB,NO,2009-01-01,: 
LOSS_CUM_EUR_HAB,NO,2010-01-01,: 
LOSS_CUM_EUR_HAB,NO,2011-01-01,: 
LOSS_CUM_EUR_HAB,NO,2012-01-01,: 
LOSS_CUM_EUR_HAB,NO,2013-01-01,: 
LOSS_CUM_EUR_HAB,NO,2014-01-01,: 
LOSS_CUM_EUR_HAB,NO,2015-01-01,: 
LOSS_CUM_EUR_HAB,NO,2016-01-01,746
LOSS_CUM_EUR_HAB,PL,1980-01-01,: 
LOSS_CUM_EUR_HAB,PL,1981-01-01,: 
LOSS_CUM_EUR_HAB,PL,1982-01-01,: 
LOSS_CUM_EUR_HAB,PL,1983-01-01,: 
LOSS_CUM_EUR_HAB,PL,1984-01-01,: 
LOSS_CUM_EUR_HAB,PL,1985-01-01,: 
LOSS_CUM_EUR_HAB,PL,1986-01-01,: 
LOSS_CUM_EUR_HAB,PL,1987-01-01,: 
LOSS_CUM_EUR_HAB,PL,1988-01-01,: 
LOSS_CUM_EUR_HAB,PL,1989-01-01,: 
LOSS_CUM_EUR_HAB,PL,1990-01-01,: 
LOSS_CUM_EUR_HAB,PL,1991-01-01,: 
LOSS_CUM_EUR_HAB,PL,1992-01-01,: 
LOSS_CUM_EUR_HAB,PL,1993-01-01,: 
LOSS_CUM_EUR_HAB,PL,1994-01-01,: 
LOSS_CUM_EUR_HAB,PL,1995-01-01,: 
LOSS_CUM_EUR_HAB,PL,1996-01-01,: 
LOSS_CUM_EUR_HAB,PL,1997-01-01,: 
LOSS_CUM_EUR_HAB,PL,1998-01-01,: 
LOSS_CUM_EUR_HAB,PL,1999-01-01,: 
LOSS_CUM_EUR_HAB,PL,2000-01-01,: 
LOSS_CUM_EUR_HAB,PL,2001-01-01,: 
LOSS_CUM_EUR_HAB,PL,2002-01-01,: 
LOSS_CUM_EUR_HAB,PL,2003-01-01,: 
LOSS_CUM_EUR_HAB,PL,2004-01-01,: 
LOSS_CUM_EUR_HAB,PL,2005-01-01,: 
LOSS_CUM_EUR_HAB,PL,2006-01-01,: 
LOSS_CUM_EUR_HAB,PL,2007-01-01,: 
LOSS_CUM_EUR_HAB,PL,2008-01-01,: 
LOSS_CUM_EUR_HAB,PL,2009-01-01,: 
LOSS_CUM_EUR_HAB,PL,2010-01-01,: 
LOSS_CUM_EUR_HAB,PL,2011-01-01,: 
LOSS_CUM_EUR_HAB,PL,2012-01-01,: 
LOSS_CUM_EUR_HAB,PL,2013-01-01,: 
LOSS_CUM_EUR_HAB,PL,2014-01-01,: 
LOSS_CUM_EUR_HAB,PL,2015-01-01,: 
LOSS_CUM_EUR_HAB,PL,2016-01-01,362
LOSS_CUM_EUR_HAB,PT,1980-01-01,: 
LOSS_CUM_EUR_HAB,PT,1981-01-01,: 
LOSS_CUM_EUR_HAB,PT,1982-01-01,: 
LOSS_CUM_EUR_HAB,PT,1983-01-01,: 
LOSS_CUM_EUR_HAB,PT,1984-01-01,: 
LOSS_CUM_EUR_HAB,PT,1985-01-01,: 
LOSS_CUM_EUR_HAB,PT,1986-01-01,: 
LOSS_CUM_EUR_HAB,PT,1987-01-01,: 
LOSS_CUM_EUR_HAB,PT,1988-01-01,: 
LOSS_CUM_EUR_HAB,PT,1989-01-01,: 
LOSS_CUM_EUR_HAB,PT,1990-01-01,: 
LOSS_CUM_EUR_HAB,PT,1991-01-01,: 
LOSS_CUM_EUR_HAB,PT,1992-01-01,: 
LOSS_CUM_EUR_HAB,PT,1993-01-01,: 
LOSS_CUM_EUR_HAB,PT,1994-01-01,: 
LOSS_CUM_EUR_HAB,PT,1995-01-01,: 
LOSS_CUM_EUR_HAB,PT,1996-01-01,: 
LOSS_CUM_EUR_HAB,PT,1997-01-01,: 
LOSS_CUM_EUR_HAB,PT,1998-01-01,: 
LOSS_CUM_EUR_HAB,PT,1999-01-01,: 
LOSS_CUM_EUR_HAB,PT,2000-01-01,: 
LOSS_CUM_EUR_HAB,PT,2001-01-01,: 
LOSS_CUM_EUR_HAB,PT,2002-01-01,: 
LOSS_CUM_EUR_HAB,PT,2003-01-01,: 
LOSS_CUM_EUR_HAB,PT,2004-01-01,: 
LOSS_CUM_EUR_HAB,PT,2005-01-01,: 
LOSS_CUM_EUR_HAB,PT,2006-01-01,: 
LOSS_CUM_EUR_HAB,PT,2007-01-01,: 
LOSS_CUM_EUR_HAB,PT,2008-01-01,: 
LOSS_CUM_EUR_HAB,PT,2009-01-01,: 
