indic_il,sex,age,geotime,date,value
LI_GAP_MD60,T,TOTAL,EU27,2006-01-01,23.3
LI_GAP_MD60,T,TOTAL,EU27,2007-01-01,23.4
LI_GAP_MD60,T,TOTAL,EU27,2008-01-01,21.9
LI_GAP_MD60,T,TOTAL,EU27,2009-01-01,22.2
LI_GAP_MD60,T,TOTAL,EU27,2010-01-01,22.8
LI_GAP_MD60,T,TOTAL,EU27,2011-01-01,22.9
LI_GAP_MD60,T,TOTAL,EU27,2012-01-01,23.3
LI_GAP_MD60,T,TOTAL,EU27,2013-01-01,23.8
LI_GAP_MD60,T,TOTAL,EU27,2014-01-01,24.5
LI_GAP_MD60,T,TOTAL,EU27,2015-01-01,24.8
LI_GAP_MD60,T,TOTAL,EU27,2016-01-01,25.0
LI_GAP_MD60,T,TOTAL,EU27,2017-01-01,24.7
LI_GAP_MD60,T,TOTAL,EU28,2000-01-01,
LI_GAP_MD60,T,TOTAL,EU28,2001-01-01,
LI_GAP_MD60,T,TOTAL,EU28,2002-01-01,
LI_GAP_MD60,T,TOTAL,EU28,2003-01-01,
LI_GAP_MD60,T,TOTAL,EU28,2004-01-01,
LI_GAP_MD60,T,TOTAL,EU28,2005-01-01,
LI_GAP_MD60,T,TOTAL,EU28,2006-01-01,
LI_GAP_MD60,T,TOTAL,EU28,2007-01-01,
LI_GAP_MD60,T,TOTAL,EU28,2008-01-01,
LI_GAP_MD60,T,TOTAL,EU28,2009-01-01,
LI_GAP_MD60,T,TOTAL,EU28,2010-01-01,22.9
LI_GAP_MD60,T,TOTAL,EU28,2011-01-01,23.0
LI_GAP_MD60,T,TOTAL,EU28,2012-01-01,23.4
LI_GAP_MD60,T,TOTAL,EU28,2013-01-01,23.8
LI_GAP_MD60,T,TOTAL,EU28,2014-01-01,24.6
LI_GAP_MD60,T,TOTAL,EU28,2015-01-01,24.8
LI_GAP_MD60,T,TOTAL,EU28,2016-01-01,25.0
LI_GAP_MD60,T,TOTAL,EU28,2017-01-01,24.7
LI_GAP_MD60,T,TOTAL,FI,2000-01-01,15.0
LI_GAP_MD60,T,TOTAL,FI,2001-01-01,12.0
LI_GAP_MD60,T,TOTAL,FI,2002-01-01,14.0
LI_GAP_MD60,T,TOTAL,FI,2003-01-01,
LI_GAP_MD60,T,TOTAL,FI,2004-01-01,14.3
LI_GAP_MD60,T,TOTAL,FI,2005-01-01,13.8
LI_GAP_MD60,T,TOTAL,FI,2006-01-01,14.5
LI_GAP_MD60,T,TOTAL,FI,2007-01-01,14.1
LI_GAP_MD60,T,TOTAL,FI,2008-01-01,15.7
LI_GAP_MD60,T,TOTAL,FI,2009-01-01,15.1
LI_GAP_MD60,T,TOTAL,FI,2010-01-01,13.8
LI_GAP_MD60,T,TOTAL,FI,2011-01-01,13.5
LI_GAP_MD60,T,TOTAL,FI,2012-01-01,15.0
LI_GAP_MD60,T,TOTAL,FI,2013-01-01,15.0
LI_GAP_MD60,T,TOTAL,FI,2014-01-01,13.9
LI_GAP_MD60,T,TOTAL,FI,2015-01-01,13.2
LI_GAP_MD60,T,TOTAL,FI,2016-01-01,13.9
LI_GAP_MD60,T,TOTAL,FI,2017-01-01,13.7
LI_GAP_MD60,T,TOTAL,FR,2000-01-01,18.0
LI_GAP_MD60,T,TOTAL,FR,2001-01-01,17.0
LI_GAP_MD60,T,TOTAL,FR,2002-01-01,16.0
LI_GAP_MD60,T,TOTAL,FR,2003-01-01,
LI_GAP_MD60,T,TOTAL,FR,2004-01-01,18.6
LI_GAP_MD60,T,TOTAL,FR,2005-01-01,16.5
LI_GAP_MD60,T,TOTAL,FR,2006-01-01,18.5
LI_GAP_MD60,T,TOTAL,FR,2007-01-01,17.9
LI_GAP_MD60,T,TOTAL,FR,2008-01-01,14.5
LI_GAP_MD60,T,TOTAL,FR,2009-01-01,18.2
LI_GAP_MD60,T,TOTAL,FR,2010-01-01,19.5
LI_GAP_MD60,T,TOTAL,FR,2011-01-01,17.1
LI_GAP_MD60,T,TOTAL,FR,2012-01-01,16.2
LI_GAP_MD60,T,TOTAL,FR,2013-01-01,16.8
LI_GAP_MD60,T,TOTAL,FR,2014-01-01,16.6
LI_GAP_MD60,T,TOTAL,FR,2015-01-01,15.7
LI_GAP_MD60,T,TOTAL,FR,2016-01-01,16.6
LI_GAP_MD60,T,TOTAL,FR,2017-01-01,16.9
LI_GAP_MD60,T,TOTAL,HR,2000-01-01,
LI_GAP_MD60,T,TOTAL,HR,2001-01-01,
LI_GAP_MD60,T,TOTAL,HR,2002-01-01,
LI_GAP_MD60,T,TOTAL,HR,2003-01-01,
LI_GAP_MD60,T,TOTAL,HR,2004-01-01,
LI_GAP_MD60,T,TOTAL,HR,2005-01-01,
LI_GAP_MD60,T,TOTAL,HR,2006-01-01,
LI_GAP_MD60,T,TOTAL,HR,2007-01-01,
LI_GAP_MD60,T,TOTAL,HR,2008-01-01,
LI_GAP_MD60,T,TOTAL,HR,2009-01-01,
LI_GAP_MD60,T,TOTAL,HR,2010-01-01,27.6
LI_GAP_MD60,T,TOTAL,HR,2011-01-01,27.9
LI_GAP_MD60,T,TOTAL,HR,2012-01-01,31.0
LI_GAP_MD60,T,TOTAL,HR,2013-01-01,28.1
LI_GAP_MD60,T,TOTAL,HR,2014-01-01,27.9
LI_GAP_MD60,T,TOTAL,HR,2015-01-01,26.4
LI_GAP_MD60,T,TOTAL,HR,2016-01-01,28.2
LI_GAP_MD60,T,TOTAL,HR,2017-01-01,
LI_GAP_MD60,T,TOTAL,HU,2000-01-01,33.0
LI_GAP_MD60,T,TOTAL,HU,2001-01-01,18.0
LI_GAP_MD60,T,TOTAL,HU,2002-01-01,17.0
LI_GAP_MD60,T,TOTAL,HU,2003-01-01,
LI_GAP_MD60,T,TOTAL,HU,2004-01-01,
LI_GAP_MD60,T,TOTAL,HU,2005-01-01,18.4
LI_GAP_MD60,T,TOTAL,HU,2006-01-01,24.1
LI_GAP_MD60,T,TOTAL,HU,2007-01-01,19.8
LI_GAP_MD60,T,TOTAL,HU,2008-01-01,17.3
LI_GAP_MD60,T,TOTAL,HU,2009-01-01,16.3
LI_GAP_MD60,T,TOTAL,HU,2010-01-01,16.5
LI_GAP_MD60,T,TOTAL,HU,2011-01-01,18.2
LI_GAP_MD60,T,TOTAL,HU,2012-01-01,20.9
LI_GAP_MD60,T,TOTAL,HU,2013-01-01,21.0
LI_GAP_MD60,T,TOTAL,HU,2014-01-01,22.3
LI_GAP_MD60,T,TOTAL,HU,2015-01-01,21.8
LI_GAP_MD60,T,TOTAL,HU,2016-01-01,18.8
LI_GAP_MD60,T,TOTAL,HU,2017-01-01,16.7
LI_GAP_MD60,T,TOTAL,IE,2000-01-01,23.0
LI_GAP_MD60,T,TOTAL,IE,2001-01-01,24.0
LI_GAP_MD60,T,TOTAL,IE,2002-01-01,
LI_GAP_MD60,T,TOTAL,IE,2003-01-01,21.4
LI_GAP_MD60,T,TOTAL,IE,2004-01-01,19.2
LI_GAP_MD60,T,TOTAL,IE,2005-01-01,20.2
LI_GAP_MD60,T,TOTAL,IE,2006-01-01,16.6
LI_GAP_MD60,T,TOTAL,IE,2007-01-01,17.6
LI_GAP_MD60,T,TOTAL,IE,2008-01-01,17.7
LI_GAP_MD60,T,TOTAL,IE,2009-01-01,16.2
LI_GAP_MD60,T,TOTAL,IE,2010-01-01,15.5
LI_GAP_MD60,T,TOTAL,IE,2011-01-01,17.5
LI_GAP_MD60,T,TOTAL,IE,2012-01-01,20.0
LI_GAP_MD60,T,TOTAL,IE,2013-01-01,17.5
LI_GAP_MD60,T,TOTAL,IE,2014-01-01,18.9
LI_GAP_MD60,T,TOTAL,IE,2015-01-01,18.5
LI_GAP_MD60,T,TOTAL,IE,2016-01-01,18.1
LI_GAP_MD60,T,TOTAL,IE,2017-01-01,
LI_GAP_MD60,T,TOTAL,IS,2000-01-01,
LI_GAP_MD60,T,TOTAL,IS,2001-01-01,
LI_GAP_MD60,T,TOTAL,IS,2002-01-01,
LI_GAP_MD60,T,TOTAL,IS,2003-01-01,
LI_GAP_MD60,T,TOTAL,IS,2004-01-01,18.4
LI_GAP_MD60,T,TOTAL,IS,2005-01-01,19.1
LI_GAP_MD60,T,TOTAL,IS,2006-01-01,19.4
LI_GAP_MD60,T,TOTAL,IS,2007-01-01,16.1
LI_GAP_MD60,T,TOTAL,IS,2008-01-01,14.9
LI_GAP_MD60,T,TOTAL,IS,2009-01-01,16.4
LI_GAP_MD60,T,TOTAL,IS,2010-01-01,19.0
LI_GAP_MD60,T,TOTAL,IS,2011-01-01,20.5
LI_GAP_MD60,T,TOTAL,IS,2012-01-01,23.5
