indic_is,ind_type,unit,geotime,date,value
I_DSK_BAB,IND_TOTAL,PC_IND,PL,2015-01-01,40.0
I_DSK_BAB,IND_TOTAL,PC_IND,PL,2016-01-01,44.0
I_DSK_BAB,IND_TOTAL,PC_IND,PL,2017-01-01,46.0
I_DSK_BAB,IND_TOTAL,PC_IND,PT,2015-01-01,48.0
I_DSK_BAB,IND_TOTAL,PC_IND,PT,2016-01-01,48.0
I_DSK_BAB,IND_TOTAL,PC_IND,PT,2017-01-01,50.0
I_DSK_BAB,IND_TOTAL,PC_IND,RO,2015-01-01,26.0
I_DSK_BAB,IND_TOTAL,PC_IND,RO,2016-01-01,28.0
I_DSK_BAB,IND_TOTAL,PC_IND,RO,2017-01-01,29.0
I_DSK_BAB,IND_TOTAL,PC_IND,RS,2015-01-01,32.0
I_DSK_BAB,IND_TOTAL,PC_IND,RS,2016-01-01,
I_DSK_BAB,IND_TOTAL,PC_IND,RS,2017-01-01,39.0
I_DSK_BAB,IND_TOTAL,PC_IND,SE,2015-01-01,72.0
I_DSK_BAB,IND_TOTAL,PC_IND,SE,2016-01-01,69.0
I_DSK_BAB,IND_TOTAL,PC_IND,SE,2017-01-01,77.0
I_DSK_BAB,IND_TOTAL,PC_IND,SI,2015-01-01,51.0
I_DSK_BAB,IND_TOTAL,PC_IND,SI,2016-01-01,53.0
I_DSK_BAB,IND_TOTAL,PC_IND,SI,2017-01-01,54.0
I_DSK_BAB,IND_TOTAL,PC_IND,SK,2015-01-01,53.0
I_DSK_BAB,IND_TOTAL,PC_IND,SK,2016-01-01,55.0
I_DSK_BAB,IND_TOTAL,PC_IND,SK,2017-01-01,59.0
I_DSK_BAB,IND_TOTAL,PC_IND,TR,2015-01-01,23.0
I_DSK_BAB,IND_TOTAL,PC_IND,TR,2016-01-01,28.0
I_DSK_BAB,IND_TOTAL,PC_IND,TR,2017-01-01,34.0
I_DSK_BAB,IND_TOTAL,PC_IND,UK,2015-01-01,67.0
I_DSK_BAB,IND_TOTAL,PC_IND,UK,2016-01-01,69.0
I_DSK_BAB,IND_TOTAL,PC_IND,UK,2017-01-01,71.0
I_DSK_BAB,M_Y16_74,PC_IND,AT,2015-01-01,71.0
I_DSK_BAB,M_Y16_74,PC_IND,AT,2016-01-01,70.0
I_DSK_BAB,M_Y16_74,PC_IND,AT,2017-01-01,73.0
I_DSK_BAB,M_Y16_74,PC_IND,BE,2015-01-01,62.0
I_DSK_BAB,M_Y16_74,PC_IND,BE,2016-01-01,64.0
I_DSK_BAB,M_Y16_74,PC_IND,BE,2017-01-01,62.0
I_DSK_BAB,M_Y16_74,PC_IND,BG,2015-01-01,31.0
I_DSK_BAB,M_Y16_74,PC_IND,BG,2016-01-01,25.0
I_DSK_BAB,M_Y16_74,PC_IND,BG,2017-01-01,29.0
I_DSK_BAB,M_Y16_74,PC_IND,CH,2015-01-01,
I_DSK_BAB,M_Y16_74,PC_IND,CH,2016-01-01,
I_DSK_BAB,M_Y16_74,PC_IND,CH,2017-01-01,77.0
I_DSK_BAB,M_Y16_74,PC_IND,CY,2015-01-01,45.0
I_DSK_BAB,M_Y16_74,PC_IND,CY,2016-01-01,41.0
I_DSK_BAB,M_Y16_74,PC_IND,CY,2017-01-01,50.0
I_DSK_BAB,M_Y16_74,PC_IND,CZ,2015-01-01,59.0
I_DSK_BAB,M_Y16_74,PC_IND,CZ,2016-01-01,55.0
I_DSK_BAB,M_Y16_74,PC_IND,CZ,2017-01-01,63.0
I_DSK_BAB,M_Y16_74,PC_IND,DE,2015-01-01,70.0
I_DSK_BAB,M_Y16_74,PC_IND,DE,2016-01-01,71.0
I_DSK_BAB,M_Y16_74,PC_IND,DE,2017-01-01,71.0
I_DSK_BAB,M_Y16_74,PC_IND,DK,2015-01-01,77.0
I_DSK_BAB,M_Y16_74,PC_IND,DK,2016-01-01,79.0
I_DSK_BAB,M_Y16_74,PC_IND,DK,2017-01-01,75.0
I_DSK_BAB,M_Y16_74,PC_IND,EA,2015-01-01,60.0
I_DSK_BAB,M_Y16_74,PC_IND,EA,2016-01-01,60.0
I_DSK_BAB,M_Y16_74,PC_IND,EA,2017-01-01,60.0
I_DSK_BAB,M_Y16_74,PC_IND,EE,2015-01-01,65.0
I_DSK_BAB,M_Y16_74,PC_IND,EE,2016-01-01,61.0
I_DSK_BAB,M_Y16_74,PC_IND,EE,2017-01-01,61.0
I_DSK_BAB,M_Y16_74,PC_IND,EL,2015-01-01,48.0
I_DSK_BAB,M_Y16_74,PC_IND,EL,2016-01-01,47.0
I_DSK_BAB,M_Y16_74,PC_IND,EL,2017-01-01,49.0
I_DSK_BAB,M_Y16_74,PC_IND,ES,2015-01-01,57.0
I_DSK_BAB,M_Y16_74,PC_IND,ES,2016-01-01,57.0
I_DSK_BAB,M_Y16_74,PC_IND,ES,2017-01-01,57.0
I_DSK_BAB,M_Y16_74,PC_IND,EU27,2015-01-01,58.0
I_DSK_BAB,M_Y16_74,PC_IND,EU27,2016-01-01,58.0
I_DSK_BAB,M_Y16_74,PC_IND,EU27,2017-01-01,60.0
I_DSK_BAB,M_Y16_74,PC_IND,EU28,2015-01-01,58.0
I_DSK_BAB,M_Y16_74,PC_IND,EU28,2016-01-01,58.0
I_DSK_BAB,M_Y16_74,PC_IND,EU28,2017-01-01,60.0
I_DSK_BAB,M_Y16_74,PC_IND,FI,2015-01-01,74.0
I_DSK_BAB,M_Y16_74,PC_IND,FI,2016-01-01,72.0
I_DSK_BAB,M_Y16_74,PC_IND,FI,2017-01-01,74.0
I_DSK_BAB,M_Y16_74,PC_IND,FR,2015-01-01,58.0
I_DSK_BAB,M_Y16_74,PC_IND,FR,2016-01-01,56.0
I_DSK_BAB,M_Y16_74,PC_IND,FR,2017-01-01,57.0
I_DSK_BAB,M_Y16_74,PC_IND,HR,2015-01-01,56.0
I_DSK_BAB,M_Y16_74,PC_IND,HR,2016-01-01,59.0
I_DSK_BAB,M_Y16_74,PC_IND,HR,2017-01-01,48.0
I_DSK_BAB,M_Y16_74,PC_IND,HU,2015-01-01,52.0
I_DSK_BAB,M_Y16_74,PC_IND,HU,2016-01-01,54.0
I_DSK_BAB,M_Y16_74,PC_IND,HU,2017-01-01,52.0
I_DSK_BAB,M_Y16_74,PC_IND,IE,2015-01-01,45.0
I_DSK_BAB,M_Y16_74,PC_IND,IE,2016-01-01,46.0
I_DSK_BAB,M_Y16_74,PC_IND,IE,2017-01-01,47.0
I_DSK_BAB,M_Y16_74,PC_IND,IS,2015-01-01,
I_DSK_BAB,M_Y16_74,PC_IND,IS,2016-01-01,
I_DSK_BAB,M_Y16_74,PC_IND,IS,2017-01-01,85.0
I_DSK_BAB,M_Y16_74,PC_IND,IT,2015-01-01,48.0
I_DSK_BAB,M_Y16_74,PC_IND,IT,2016-01-01,47.0
I_DSK_BAB,M_Y16_74,PC_IND,IT,2017-01-01,
I_DSK_BAB,M_Y16_74,PC_IND,LT,2015-01-01,51.0
I_DSK_BAB,M_Y16_74,PC_IND,LT,2016-01-01,52.0
I_DSK_BAB,M_Y16_74,PC_IND,LT,2017-01-01,54.0
I_DSK_BAB,M_Y16_74,PC_IND,LU,2015-01-01,90.0
I_DSK_BAB,M_Y16_74,PC_IND,LU,2016-01-01,91.0
I_DSK_BAB,M_Y16_74,PC_IND,LU,2017-01-01,88.0
I_DSK_BAB,M_Y16_74,PC_IND,LV,2015-01-01,48.0
I_DSK_BAB,M_Y16_74,PC_IND,LV,2016-01-01,48.0
I_DSK_BAB,M_Y16_74,PC_IND,LV,2017-01-01,46.0
I_DSK_BAB,M_Y16_74,PC_IND,ME,2015-01-01,
I_DSK_BAB,M_Y16_74,PC_IND,ME,2016-01-01,
I_DSK_BAB,M_Y16_74,PC_IND,ME,2017-01-01,54.0
I_DSK_BAB,M_Y16_74,PC_IND,MK,2015-01-01,38.0
I_DSK_BAB,M_Y16_74,PC_IND,MK,2016-01-01,33.0
I_DSK_BAB,M_Y16_74,PC_IND,MK,2017-01-01,34.0
I_DSK_BAB,M_Y16_74,PC_IND,MT,2015-01-01,55.0
I_DSK_BAB,M_Y16_74,PC_IND,MT,2016-01-01,49.0
I_DSK_BAB,M_Y16_74,PC_IND,MT,2017-01-01,56.0
I_DSK_BAB,M_Y16_74,PC_IND,NL,2015-01-01,75.0
