currency,partner,sector10,sectpart,stk_flow,bop_item,geotime,date,value
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EA19,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EA19,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EA19,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EA19,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EA19,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EA19,2016-10-01,707634
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EA19,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EA19,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EA19,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EA19,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EA19,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EA19,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EE,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EE,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EE,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EE,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EE,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EE,2016-10-01,334
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EE,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EE,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EE,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EE,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EE,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EE,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EL,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EL,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EL,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EL,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EL,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EL,2016-10-01,6539
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EL,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EL,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EL,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EL,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EL,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,EL,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,ES,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,ES,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,ES,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,ES,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,ES,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,ES,2016-10-01,59902
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,ES,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,ES,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,ES,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,ES,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,ES,2018-01-01,
