na_item,nace_r2,unit,geotime,date,value
B1G,K,MIO_EUR_NSA,IE,2017-04-01,4817
B1G,K,MIO_EUR_NSA,IE,2017-07-01,5395
B1G,K,MIO_EUR_NSA,IE,2017-10-01,5772
B1G,K,MIO_EUR_NSA,IE,2018-01-01,5165
B1G,K,MIO_EUR_NSA,IE,2018-04-01,5214
B1G,K,MIO_EUR_NSA,IT,2015-07-01,19598
B1G,K,MIO_EUR_NSA,IT,2015-10-01,21056
B1G,K,MIO_EUR_NSA,IT,2016-01-01,21024
B1G,K,MIO_EUR_NSA,IT,2016-04-01,20732
B1G,K,MIO_EUR_NSA,IT,2016-07-01,19082
B1G,K,MIO_EUR_NSA,IT,2016-10-01,19936
B1G,K,MIO_EUR_NSA,IT,2017-01-01,20530
B1G,K,MIO_EUR_NSA,IT,2017-04-01,20466
B1G,K,MIO_EUR_NSA,IT,2017-07-01,18367
B1G,K,MIO_EUR_NSA,IT,2017-10-01,20016
B1G,K,MIO_EUR_NSA,IT,2018-01-01,19498
B1G,K,MIO_EUR_NSA,IT,2018-04-01,19962
B1G,K,MIO_EUR_NSA,LT,2015-07-01,174
B1G,K,MIO_EUR_NSA,LT,2015-10-01,172
B1G,K,MIO_EUR_NSA,LT,2016-01-01,187
B1G,K,MIO_EUR_NSA,LT,2016-04-01,204
B1G,K,MIO_EUR_NSA,LT,2016-07-01,186
B1G,K,MIO_EUR_NSA,LT,2016-10-01,186
B1G,K,MIO_EUR_NSA,LT,2017-01-01,183
B1G,K,MIO_EUR_NSA,LT,2017-04-01,199
B1G,K,MIO_EUR_NSA,LT,2017-07-01,197
B1G,K,MIO_EUR_NSA,LT,2017-10-01,193
B1G,K,MIO_EUR_NSA,LT,2018-01-01,203
B1G,K,MIO_EUR_NSA,LT,2018-04-01,224
B1G,K,MIO_EUR_NSA,LU,2015-07-01,3217
B1G,K,MIO_EUR_NSA,LU,2015-10-01,3331
B1G,K,MIO_EUR_NSA,LU,2016-01-01,3273
B1G,K,MIO_EUR_NSA,LU,2016-04-01,3271
B1G,K,MIO_EUR_NSA,LU,2016-07-01,3448
B1G,K,MIO_EUR_NSA,LU,2016-10-01,3399
B1G,K,MIO_EUR_NSA,LU,2017-01-01,3408
B1G,K,MIO_EUR_NSA,LU,2017-04-01,3521
B1G,K,MIO_EUR_NSA,LU,2017-07-01,3556
B1G,K,MIO_EUR_NSA,LU,2017-10-01,3599
B1G,K,MIO_EUR_NSA,LU,2018-01-01,3621
B1G,K,MIO_EUR_NSA,LU,2018-04-01,3533
B1G,K,MIO_EUR_NSA,LV,2015-07-01,247
B1G,K,MIO_EUR_NSA,LV,2015-10-01,262
B1G,K,MIO_EUR_NSA,LV,2016-01-01,253
B1G,K,MIO_EUR_NSA,LV,2016-04-01,242
B1G,K,MIO_EUR_NSA,LV,2016-07-01,255
B1G,K,MIO_EUR_NSA,LV,2016-10-01,293
B1G,K,MIO_EUR_NSA,LV,2017-01-01,229
B1G,K,MIO_EUR_NSA,LV,2017-04-01,221
B1G,K,MIO_EUR_NSA,LV,2017-07-01,231
B1G,K,MIO_EUR_NSA,LV,2017-10-01,235
B1G,K,MIO_EUR_NSA,LV,2018-01-01,184
B1G,K,MIO_EUR_NSA,LV,2018-04-01,245
B1G,K,MIO_EUR_NSA,ME,2015-07-01,
B1G,K,MIO_EUR_NSA,ME,2015-10-01,
B1G,K,MIO_EUR_NSA,ME,2016-01-01,
B1G,K,MIO_EUR_NSA,ME,2016-04-01,
B1G,K,MIO_EUR_NSA,ME,2016-07-01,
B1G,K,MIO_EUR_NSA,ME,2016-10-01,
B1G,K,MIO_EUR_NSA,ME,2017-01-01,
B1G,K,MIO_EUR_NSA,ME,2017-04-01,
B1G,K,MIO_EUR_NSA,ME,2017-07-01,
B1G,K,MIO_EUR_NSA,ME,2017-10-01,
B1G,K,MIO_EUR_NSA,ME,2018-01-01,
B1G,K,MIO_EUR_NSA,ME,2018-04-01,
B1G,K,MIO_EUR_NSA,MK,2015-07-01,70
B1G,K,MIO_EUR_NSA,MK,2015-10-01,72
B1G,K,MIO_EUR_NSA,MK,2016-01-01,69
