s_adj,bop_item,sector10,sectpart,stk_flow,partner,currency,geo\time,date,value
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MT,2018-04-01,0.5 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MT,2018-05-01,0.1 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MT,2018-06-01,0.2 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MT,2018-07-01,2.6 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MT,2018-08-01,0.1 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,NL,2017-09-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,NL,2017-10-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,NL,2017-11-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,NL,2017-12-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,NL,2018-01-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,NL,2018-02-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,NL,2018-03-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,NL,2018-04-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,NL,2018-05-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,NL,2018-06-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,NL,2018-07-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,NL,2018-08-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,PL,2017-09-01,234.5 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,PL,2017-10-01,575.7 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,PL,2017-11-01,153.3 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,PL,2017-12-01,2634.2 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,PL,2018-01-01,908.4 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,PL,2018-02-01,244.4 
