nace_r2,unit,indic_bt,geo\time,date,value
F,I2015_SCA,EMPL,FR,2016-04-01,98.7 s
F,I2015_SCA,EMPL,FR,2016-07-01,98.7 s
F,I2015_SCA,EMPL,FR,2016-10-01,98.1 s
F,I2015_SCA,EMPL,FR,2017-01-01,98.4 s
F,I2015_SCA,EMPL,FR,2017-04-01,98.8 s
F,I2015_SCA,EMPL,FR,2017-07-01,99.0 s
F,I2015_SCA,EMPL,FR,2017-10-01,100.0 s
F,I2015_SCA,EMPL,FR,2018-01-01,100.3 s
F,I2015_SCA,EMPL,FR,2018-04-01,100.8 s
F,I2015_SCA,EMPL,HR,2015-07-01,100.2 s
F,I2015_SCA,EMPL,HR,2015-10-01,100.1 s
F,I2015_SCA,EMPL,HR,2016-01-01,99.0 s
F,I2015_SCA,EMPL,HR,2016-04-01,98.8 s
F,I2015_SCA,EMPL,HR,2016-07-01,99.0 s
F,I2015_SCA,EMPL,HR,2016-10-01,99.0 s
F,I2015_SCA,EMPL,HR,2017-01-01,101.1 s
F,I2015_SCA,EMPL,HR,2017-04-01,102.4 s
F,I2015_SCA,EMPL,HR,2017-07-01,102.4 s
F,I2015_SCA,EMPL,HR,2017-10-01,103.0 s
F,I2015_SCA,EMPL,HR,2018-01-01,102.5 ps
F,I2015_SCA,EMPL,HR,2018-04-01,: 
F,I2015_SCA,EMPL,HU,2015-07-01,100.3 ps
F,I2015_SCA,EMPL,HU,2015-10-01,100.0 ps
F,I2015_SCA,EMPL,HU,2016-01-01,103.0 ps
F,I2015_SCA,EMPL,HU,2016-04-01,103.3 ps
F,I2015_SCA,EMPL,HU,2016-07-01,103.6 ps
F,I2015_SCA,EMPL,HU,2016-10-01,104.4 ps
F,I2015_SCA,EMPL,HU,2017-01-01,105.9 ps
F,I2015_SCA,EMPL,HU,2017-04-01,107.0 ps
F,I2015_SCA,EMPL,HU,2017-07-01,107.4 ps
F,I2015_SCA,EMPL,HU,2017-10-01,109.3 ps
F,I2015_SCA,EMPL,HU,2018-01-01,114.3 ps
F,I2015_SCA,EMPL,HU,2018-04-01,115.2 ps
F,I2015_SCA,EMPL,IE,2015-07-01,100.7 s
F,I2015_SCA,EMPL,IE,2015-10-01,101.5 s
F,I2015_SCA,EMPL,IE,2016-01-01,108.4 s
F,I2015_SCA,EMPL,IE,2016-04-01,116.9 s
F,I2015_SCA,EMPL,IE,2016-07-01,113.7 s
F,I2015_SCA,EMPL,IE,2016-10-01,117.8 s
F,I2015_SCA,EMPL,IE,2017-01-01,126.6 s
F,I2015_SCA,EMPL,IE,2017-04-01,125.0 s
F,I2015_SCA,EMPL,IE,2017-07-01,118.1 s
F,I2015_SCA,EMPL,IE,2017-10-01,125.0 s
F,I2015_SCA,EMPL,IE,2018-01-01,131.7 s
F,I2015_SCA,EMPL,IE,2018-04-01,145.5 ps
F,I2015_SCA,EMPL,IS,2015-07-01,101.1 s
F,I2015_SCA,EMPL,IS,2015-10-01,104.0 s
F,I2015_SCA,EMPL,IS,2016-01-01,108.8 s
F,I2015_SCA,EMPL,IS,2016-04-01,114.2 s
F,I2015_SCA,EMPL,IS,2016-07-01,119.7 s
F,I2015_SCA,EMPL,IS,2016-10-01,124.6 s
F,I2015_SCA,EMPL,IS,2017-01-01,129.4 s
F,I2015_SCA,EMPL,IS,2017-04-01,134.5 s
F,I2015_SCA,EMPL,IS,2017-07-01,140.3 s
F,I2015_SCA,EMPL,IS,2017-10-01,144.3 s
F,I2015_SCA,EMPL,IS,2018-01-01,147.5 s
F,I2015_SCA,EMPL,IS,2018-04-01,149.0 s
F,I2015_SCA,EMPL,IT,2015-07-01,: c
F,I2015_SCA,EMPL,IT,2015-10-01,: c
F,I2015_SCA,EMPL,IT,2016-01-01,: c
F,I2015_SCA,EMPL,IT,2016-04-01,: c
F,I2015_SCA,EMPL,IT,2016-07-01,: c
F,I2015_SCA,EMPL,IT,2016-10-01,: c
F,I2015_SCA,EMPL,IT,2017-01-01,: c
F,I2015_SCA,EMPL,IT,2017-04-01,: c
F,I2015_SCA,EMPL,IT,2017-07-01,: c
F,I2015_SCA,EMPL,IT,2017-10-01,: c
F,I2015_SCA,EMPL,IT,2018-01-01,: c
F,I2015_SCA,EMPL,IT,2018-04-01,: 
F,I2015_SCA,EMPL,LT,2015-07-01,99.9 s
F,I2015_SCA,EMPL,LT,2015-10-01,98.4 s
F,I2015_SCA,EMPL,LT,2016-01-01,96.3 s
F,I2015_SCA,EMPL,LT,2016-04-01,95.1 s
F,I2015_SCA,EMPL,LT,2016-07-01,94.7 s
F,I2015_SCA,EMPL,LT,2016-10-01,95.0 s
F,I2015_SCA,EMPL,LT,2017-01-01,95.9 s
F,I2015_SCA,EMPL,LT,2017-04-01,96.6 s
F,I2015_SCA,EMPL,LT,2017-07-01,97.0 s
F,I2015_SCA,EMPL,LT,2017-10-01,98.2 s
F,I2015_SCA,EMPL,LT,2018-01-01,99.7 s
F,I2015_SCA,EMPL,LT,2018-04-01,100.2 s
F,I2015_SCA,EMPL,LU,2015-07-01,100.1 s
F,I2015_SCA,EMPL,LU,2015-10-01,100.2 s
F,I2015_SCA,EMPL,LU,2016-01-01,100.9 s
F,I2015_SCA,EMPL,LU,2016-04-01,101.0 s
F,I2015_SCA,EMPL,LU,2016-07-01,101.6 s
F,I2015_SCA,EMPL,LU,2016-10-01,102.7 s
F,I2015_SCA,EMPL,LU,2017-01-01,103.6 s
F,I2015_SCA,EMPL,LU,2017-04-01,104.5 s
F,I2015_SCA,EMPL,LU,2017-07-01,105.4 s
F,I2015_SCA,EMPL,LU,2017-10-01,105.6 ps
F,I2015_SCA,EMPL,LU,2018-01-01,106.4 ps
F,I2015_SCA,EMPL,LU,2018-04-01,106.8 ps
F,I2015_SCA,EMPL,LV,2015-07-01,98.7 s
F,I2015_SCA,EMPL,LV,2015-10-01,96.5 s
F,I2015_SCA,EMPL,LV,2016-01-01,93.2 s
F,I2015_SCA,EMPL,LV,2016-04-01,92.5 s
F,I2015_SCA,EMPL,LV,2016-07-01,92.3 s
F,I2015_SCA,EMPL,LV,2016-10-01,93.5 s
F,I2015_SCA,EMPL,LV,2017-01-01,92.8 s
F,I2015_SCA,EMPL,LV,2017-04-01,96.1 s
F,I2015_SCA,EMPL,LV,2017-07-01,98.3 s
F,I2015_SCA,EMPL,LV,2017-10-01,100.1 s
F,I2015_SCA,EMPL,LV,2018-01-01,102.8 ps
F,I2015_SCA,EMPL,LV,2018-04-01,102.4 ps
F,I2015_SCA,EMPL,ME,2015-07-01,99.9 s
F,I2015_SCA,EMPL,ME,2015-10-01,102.9 s
F,I2015_SCA,EMPL,ME,2016-01-01,102.4 s
F,I2015_SCA,EMPL,ME,2016-04-01,106.1 s
F,I2015_SCA,EMPL,ME,2016-07-01,112.5 s
F,I2015_SCA,EMPL,ME,2016-10-01,114.4 s
F,I2015_SCA,EMPL,ME,2017-01-01,115.4 s
F,I2015_SCA,EMPL,ME,2017-04-01,115.7 s
F,I2015_SCA,EMPL,ME,2017-07-01,114.6 s
F,I2015_SCA,EMPL,ME,2017-10-01,115.7 s
F,I2015_SCA,EMPL,ME,2018-01-01,120.9 s
F,I2015_SCA,EMPL,ME,2018-04-01,123.5 s
F,I2015_SCA,EMPL,MK,2015-07-01,102.1 
F,I2015_SCA,EMPL,MK,2015-10-01,104.1 
F,I2015_SCA,EMPL,MK,2016-01-01,105.8 
F,I2015_SCA,EMPL,MK,2016-04-01,107.5 
F,I2015_SCA,EMPL,MK,2016-07-01,106.8 
