indic_il,sex,geo\time,date,value
R_GE65_LT65,T,IE,2011-01-01,0.86 
R_GE65_LT65,T,IE,2012-01-01,0.86 
R_GE65_LT65,T,IE,2013-01-01,0.91
R_GE65_LT65,T,IE,2014-01-01,0.89 
R_GE65_LT65,T,IE,2015-01-01,0.87
R_GE65_LT65,T,IE,2016-01-01,0.86 
R_GE65_LT65,T,IE,2017-01-01,: 
R_GE65_LT65,T,IS,2006-01-01,0.81 
R_GE65_LT65,T,IS,2007-01-01,0.79 
R_GE65_LT65,T,IS,2008-01-01,0.81 
R_GE65_LT65,T,IS,2009-01-01,0.91 
R_GE65_LT65,T,IS,2010-01-01,0.96 
R_GE65_LT65,T,IS,2011-01-01,0.90 
R_GE65_LT65,T,IS,2012-01-01,0.90 
R_GE65_LT65,T,IS,2013-01-01,0.87
R_GE65_LT65,T,IS,2014-01-01,0.90 
R_GE65_LT65,T,IS,2015-01-01,0.92
R_GE65_LT65,T,IS,2016-01-01,0.92 p
R_GE65_LT65,T,IS,2017-01-01,: 
R_GE65_LT65,T,IT,2006-01-01,0.87 
R_GE65_LT65,T,IT,2007-01-01,0.86 
R_GE65_LT65,T,IT,2008-01-01,0.88 
R_GE65_LT65,T,IT,2009-01-01,0.89 
R_GE65_LT65,T,IT,2010-01-01,0.92 
R_GE65_LT65,T,IT,2011-01-01,0.92 
R_GE65_LT65,T,IT,2012-01-01,0.96 
R_GE65_LT65,T,IT,2013-01-01,0.97
R_GE65_LT65,T,IT,2014-01-01,0.99 
R_GE65_LT65,T,IT,2015-01-01,0.99
R_GE65_LT65,T,IT,2016-01-01,1.01 
R_GE65_LT65,T,IT,2017-01-01,1.02 
R_GE65_LT65,T,LT,2006-01-01,0.74 
R_GE65_LT65,T,LT,2007-01-01,0.69 
R_GE65_LT65,T,LT,2008-01-01,0.70 
R_GE65_LT65,T,LT,2009-01-01,0.73 
R_GE65_LT65,T,LT,2010-01-01,0.93 
R_GE65_LT65,T,LT,2011-01-01,0.90 
R_GE65_LT65,T,LT,2012-01-01,0.78 
R_GE65_LT65,T,LT,2013-01-01,0.81
R_GE65_LT65,T,LT,2014-01-01,0.77 
R_GE65_LT65,T,LT,2015-01-01,0.73
R_GE65_LT65,T,LT,2016-01-01,0.71 
R_GE65_LT65,T,LT,2017-01-01,0.69 
R_GE65_LT65,T,LU,2006-01-01,0.96 
R_GE65_LT65,T,LU,2007-01-01,0.96 
R_GE65_LT65,T,LU,2008-01-01,0.97 
R_GE65_LT65,T,LU,2009-01-01,1.01 
R_GE65_LT65,T,LU,2010-01-01,1.05 
R_GE65_LT65,T,LU,2011-01-01,1.05 
R_GE65_LT65,T,LU,2012-01-01,1.10 
R_GE65_LT65,T,LU,2013-01-01,1.13
R_GE65_LT65,T,LU,2014-01-01,1.11 
R_GE65_LT65,T,LU,2015-01-01,1.08
R_GE65_LT65,T,LU,2016-01-01,1.22 b
R_GE65_LT65,T,LU,2017-01-01,1.15 
R_GE65_LT65,T,LV,2006-01-01,0.67 
R_GE65_LT65,T,LV,2007-01-01,0.64 
R_GE65_LT65,T,LV,2008-01-01,0.53 
R_GE65_LT65,T,LV,2009-01-01,0.57 
R_GE65_LT65,T,LV,2010-01-01,0.78 
R_GE65_LT65,T,LV,2011-01-01,0.86 
R_GE65_LT65,T,LV,2012-01-01,0.80 
R_GE65_LT65,T,LV,2013-01-01,0.77
R_GE65_LT65,T,LV,2014-01-01,0.71 
R_GE65_LT65,T,LV,2015-01-01,0.65
R_GE65_LT65,T,LV,2016-01-01,0.63 
R_GE65_LT65,T,LV,2017-01-01,0.61 
R_GE65_LT65,T,MK,2006-01-01,: 
R_GE65_LT65,T,MK,2007-01-01,: 
R_GE65_LT65,T,MK,2008-01-01,: 
R_GE65_LT65,T,MK,2009-01-01,: 
R_GE65_LT65,T,MK,2010-01-01,: 
R_GE65_LT65,T,MK,2011-01-01,: 
R_GE65_LT65,T,MK,2012-01-01,1.01 
R_GE65_LT65,T,MK,2013-01-01,1.08
R_GE65_LT65,T,MK,2014-01-01,1.10 
R_GE65_LT65,T,MK,2015-01-01,1.12
R_GE65_LT65,T,MK,2016-01-01,1.13 
R_GE65_LT65,T,MK,2017-01-01,: 
R_GE65_LT65,T,MT,2006-01-01,0.80 
R_GE65_LT65,T,MT,2007-01-01,0.78 
R_GE65_LT65,T,MT,2008-01-01,0.73 
R_GE65_LT65,T,MT,2009-01-01,0.77 
R_GE65_LT65,T,MT,2010-01-01,0.81 
R_GE65_LT65,T,MT,2011-01-01,0.79 
