unit,indic_il,sex,age,geotime,date,value
PC,LI_R_MD60,T,Y_GE60,RO,2011-01-01,13
PC,LI_R_MD60,T,Y_GE60,RO,2012-01-01,13
PC,LI_R_MD60,T,Y_GE60,RO,2013-01-01,
PC,LI_R_MD60,T,Y_GE60,RO,2014-01-01,
PC,LI_R_MD60,T,Y_GE60,RO,2015-01-01,
PC,LI_R_MD60,T,Y_GE60,RO,2016-01-01,18
PC,LI_R_MD60,T,Y_GE60,RO,2017-01-01,19
PC,LI_R_MD60,T,Y_GE60,RS,2006-01-01,
PC,LI_R_MD60,T,Y_GE60,RS,2007-01-01,
PC,LI_R_MD60,T,Y_GE60,RS,2008-01-01,
PC,LI_R_MD60,T,Y_GE60,RS,2009-01-01,
PC,LI_R_MD60,T,Y_GE60,RS,2010-01-01,
PC,LI_R_MD60,T,Y_GE60,RS,2011-01-01,
PC,LI_R_MD60,T,Y_GE60,RS,2012-01-01,
PC,LI_R_MD60,T,Y_GE60,RS,2013-01-01,
PC,LI_R_MD60,T,Y_GE60,RS,2014-01-01,
PC,LI_R_MD60,T,Y_GE60,RS,2015-01-01,
PC,LI_R_MD60,T,Y_GE60,RS,2016-01-01,19
PC,LI_R_MD60,T,Y_GE60,RS,2017-01-01,
PC,LI_R_MD60,T,Y_GE60,SE,2006-01-01,9
PC,LI_R_MD60,T,Y_GE60,SE,2007-01-01,8
PC,LI_R_MD60,T,Y_GE60,SE,2008-01-01,12
PC,LI_R_MD60,T,Y_GE60,SE,2009-01-01,13
PC,LI_R_MD60,T,Y_GE60,SE,2010-01-01,12
PC,LI_R_MD60,T,Y_GE60,SE,2011-01-01,13
PC,LI_R_MD60,T,Y_GE60,SE,2012-01-01,13
PC,LI_R_MD60,T,Y_GE60,SE,2013-01-01,
PC,LI_R_MD60,T,Y_GE60,SE,2014-01-01,
PC,LI_R_MD60,T,Y_GE60,SE,2015-01-01,
PC,LI_R_MD60,T,Y_GE60,SE,2016-01-01,15
PC,LI_R_MD60,T,Y_GE60,SE,2017-01-01,14
PC,LI_R_MD60,T,Y_GE60,SI,2006-01-01,18
