s_adj,unit,nace_r2,lcstruct,geotime,date,value
SCA,I12,B-E,D1_D4_MD5,IE,2017-01-01,104
SCA,I12,B-E,D1_D4_MD5,IE,2017-04-01,103
SCA,I12,B-E,D1_D4_MD5,IE,2017-07-01,104
SCA,I12,B-E,D1_D4_MD5,IE,2017-10-01,105
SCA,I12,B-E,D1_D4_MD5,IE,2018-01-01,106
SCA,I12,B-E,D1_D4_MD5,IE,2018-04-01,106
SCA,I12,B-E,D1_D4_MD5,IT,2015-07-01,102
SCA,I12,B-E,D1_D4_MD5,IT,2015-10-01,102
SCA,I12,B-E,D1_D4_MD5,IT,2016-01-01,101
SCA,I12,B-E,D1_D4_MD5,IT,2016-04-01,101
SCA,I12,B-E,D1_D4_MD5,IT,2016-07-01,101
SCA,I12,B-E,D1_D4_MD5,IT,2016-10-01,102
SCA,I12,B-E,D1_D4_MD5,IT,2017-01-01,102
SCA,I12,B-E,D1_D4_MD5,IT,2017-04-01,101
SCA,I12,B-E,D1_D4_MD5,IT,2017-07-01,102
SCA,I12,B-E,D1_D4_MD5,IT,2017-10-01,101
SCA,I12,B-E,D1_D4_MD5,IT,2018-01-01,102
SCA,I12,B-E,D1_D4_MD5,IT,2018-04-01,103
SCA,I12,B-E,D1_D4_MD5,LT,2015-07-01,118
SCA,I12,B-E,D1_D4_MD5,LT,2015-10-01,120
SCA,I12,B-E,D1_D4_MD5,LT,2016-01-01,123
SCA,I12,B-E,D1_D4_MD5,LT,2016-04-01,126
SCA,I12,B-E,D1_D4_MD5,LT,2016-07-01,129
SCA,I12,B-E,D1_D4_MD5,LT,2016-10-01,133
SCA,I12,B-E,D1_D4_MD5,LT,2017-01-01,135
SCA,I12,B-E,D1_D4_MD5,LT,2017-04-01,138
SCA,I12,B-E,D1_D4_MD5,LT,2017-07-01,140
SCA,I12,B-E,D1_D4_MD5,LT,2017-10-01,143
SCA,I12,B-E,D1_D4_MD5,LT,2018-01-01,145
SCA,I12,B-E,D1_D4_MD5,LT,2018-04-01,149
SCA,I12,B-E,D1_D4_MD5,LU,2015-07-01,103
SCA,I12,B-E,D1_D4_MD5,LU,2015-10-01,102
SCA,I12,B-E,D1_D4_MD5,LU,2016-01-01,103
SCA,I12,B-E,D1_D4_MD5,LU,2016-04-01,102
SCA,I12,B-E,D1_D4_MD5,LU,2016-07-01,103
SCA,I12,B-E,D1_D4_MD5,LU,2016-10-01,104
SCA,I12,B-E,D1_D4_MD5,LU,2017-01-01,105
SCA,I12,B-E,D1_D4_MD5,LU,2017-04-01,106
SCA,I12,B-E,D1_D4_MD5,LU,2017-07-01,106
SCA,I12,B-E,D1_D4_MD5,LU,2017-10-01,106
SCA,I12,B-E,D1_D4_MD5,LU,2018-01-01,106
SCA,I12,B-E,D1_D4_MD5,LU,2018-04-01,106
SCA,I12,B-E,D1_D4_MD5,LV,2015-07-01,120
SCA,I12,B-E,D1_D4_MD5,LV,2015-10-01,123
SCA,I12,B-E,D1_D4_MD5,LV,2016-01-01,124
SCA,I12,B-E,D1_D4_MD5,LV,2016-04-01,127
SCA,I12,B-E,D1_D4_MD5,LV,2016-07-01,130
SCA,I12,B-E,D1_D4_MD5,LV,2016-10-01,134
SCA,I12,B-E,D1_D4_MD5,LV,2017-01-01,133
SCA,I12,B-E,D1_D4_MD5,LV,2017-04-01,137
SCA,I12,B-E,D1_D4_MD5,LV,2017-07-01,138
SCA,I12,B-E,D1_D4_MD5,LV,2017-10-01,146
SCA,I12,B-E,D1_D4_MD5,LV,2018-01-01,150
SCA,I12,B-E,D1_D4_MD5,LV,2018-04-01,153
SCA,I12,B-E,D1_D4_MD5,MT,2015-07-01,114
SCA,I12,B-E,D1_D4_MD5,MT,2015-10-01,115
SCA,I12,B-E,D1_D4_MD5,MT,2016-01-01,109
SCA,I12,B-E,D1_D4_MD5,MT,2016-04-01,105
SCA,I12,B-E,D1_D4_MD5,MT,2016-07-01,112
SCA,I12,B-E,D1_D4_MD5,MT,2016-10-01,119
SCA,I12,B-E,D1_D4_MD5,MT,2017-01-01,114
SCA,I12,B-E,D1_D4_MD5,MT,2017-04-01,115
SCA,I12,B-E,D1_D4_MD5,MT,2017-07-01,116
SCA,I12,B-E,D1_D4_MD5,MT,2017-10-01,113
SCA,I12,B-E,D1_D4_MD5,MT,2018-01-01,110
SCA,I12,B-E,D1_D4_MD5,MT,2018-04-01,115
SCA,I12,B-E,D1_D4_MD5,NL,2015-07-01,104
SCA,I12,B-E,D1_D4_MD5,NL,2015-10-01,104
SCA,I12,B-E,D1_D4_MD5,NL,2016-01-01,105
SCA,I12,B-E,D1_D4_MD5,NL,2016-04-01,105
SCA,I12,B-E,D1_D4_MD5,NL,2016-07-01,106
SCA,I12,B-E,D1_D4_MD5,NL,2016-10-01,106
SCA,I12,B-E,D1_D4_MD5,NL,2017-01-01,106
SCA,I12,B-E,D1_D4_MD5,NL,2017-04-01,107
SCA,I12,B-E,D1_D4_MD5,NL,2017-07-01,108
SCA,I12,B-E,D1_D4_MD5,NL,2017-10-01,109
SCA,I12,B-E,D1_D4_MD5,NL,2018-01-01,109
SCA,I12,B-E,D1_D4_MD5,NL,2018-04-01,
SCA,I12,B-E,D1_D4_MD5,NO,2015-07-01,108
SCA,I12,B-E,D1_D4_MD5,NO,2015-10-01,109
SCA,I12,B-E,D1_D4_MD5,NO,2016-01-01,110
SCA,I12,B-E,D1_D4_MD5,NO,2016-04-01,110
SCA,I12,B-E,D1_D4_MD5,NO,2016-07-01,109
SCA,I12,B-E,D1_D4_MD5,NO,2016-10-01,110
SCA,I12,B-E,D1_D4_MD5,NO,2017-01-01,111
SCA,I12,B-E,D1_D4_MD5,NO,2017-04-01,111
SCA,I12,B-E,D1_D4_MD5,NO,2017-07-01,111
SCA,I12,B-E,D1_D4_MD5,NO,2017-10-01,113
SCA,I12,B-E,D1_D4_MD5,NO,2018-01-01,115
SCA,I12,B-E,D1_D4_MD5,NO,2018-04-01,114
SCA,I12,B-E,D1_D4_MD5,PL,2015-07-01,111
SCA,I12,B-E,D1_D4_MD5,PL,2015-10-01,111
SCA,I12,B-E,D1_D4_MD5,PL,2016-01-01,113
SCA,I12,B-E,D1_D4_MD5,PL,2016-04-01,111
SCA,I12,B-E,D1_D4_MD5,PL,2016-07-01,117
SCA,I12,B-E,D1_D4_MD5,PL,2016-10-01,116
SCA,I12,B-E,D1_D4_MD5,PL,2017-01-01,118
SCA,I12,B-E,D1_D4_MD5,PL,2017-04-01,122
SCA,I12,B-E,D1_D4_MD5,PL,2017-07-01,122
SCA,I12,B-E,D1_D4_MD5,PL,2017-10-01,124
SCA,I12,B-E,D1_D4_MD5,PL,2018-01-01,128
SCA,I12,B-E,D1_D4_MD5,PL,2018-04-01,130
SCA,I12,B-E,D1_D4_MD5,PT,2015-07-01,102
SCA,I12,B-E,D1_D4_MD5,PT,2015-10-01,102
SCA,I12,B-E,D1_D4_MD5,PT,2016-01-01,101
SCA,I12,B-E,D1_D4_MD5,PT,2016-04-01,102
SCA,I12,B-E,D1_D4_MD5,PT,2016-07-01,103
SCA,I12,B-E,D1_D4_MD5,PT,2016-10-01,103
SCA,I12,B-E,D1_D4_MD5,PT,2017-01-01,105
SCA,I12,B-E,D1_D4_MD5,PT,2017-04-01,104
SCA,I12,B-E,D1_D4_MD5,PT,2017-07-01,105
SCA,I12,B-E,D1_D4_MD5,PT,2017-10-01,105
SCA,I12,B-E,D1_D4_MD5,PT,2018-01-01,105
SCA,I12,B-E,D1_D4_MD5,PT,2018-04-01,107
SCA,I12,B-E,D1_D4_MD5,RO,2015-07-01,117
SCA,I12,B-E,D1_D4_MD5,RO,2015-10-01,121
SCA,I12,B-E,D1_D4_MD5,RO,2016-01-01,121
SCA,I12,B-E,D1_D4_MD5,RO,2016-04-01,126
SCA,I12,B-E,D1_D4_MD5,RO,2016-07-01,128
SCA,I12,B-E,D1_D4_MD5,RO,2016-10-01,132
SCA,I12,B-E,D1_D4_MD5,RO,2017-01-01,138
SCA,I12,B-E,D1_D4_MD5,RO,2017-04-01,144
SCA,I12,B-E,D1_D4_MD5,RO,2017-07-01,144
SCA,I12,B-E,D1_D4_MD5,RO,2017-10-01,149
SCA,I12,B-E,D1_D4_MD5,RO,2018-01-01,152
SCA,I12,B-E,D1_D4_MD5,RO,2018-04-01,157
SCA,I12,B-E,D1_D4_MD5,SE,2015-07-01,107
SCA,I12,B-E,D1_D4_MD5,SE,2015-10-01,109
SCA,I12,B-E,D1_D4_MD5,SE,2016-01-01,110
SCA,I12,B-E,D1_D4_MD5,SE,2016-04-01,109
SCA,I12,B-E,D1_D4_MD5,SE,2016-07-01,111
SCA,I12,B-E,D1_D4_MD5,SE,2016-10-01,111
SCA,I12,B-E,D1_D4_MD5,SE,2017-01-01,111
SCA,I12,B-E,D1_D4_MD5,SE,2017-04-01,112
SCA,I12,B-E,D1_D4_MD5,SE,2017-07-01,112
SCA,I12,B-E,D1_D4_MD5,SE,2017-10-01,112
SCA,I12,B-E,D1_D4_MD5,SE,2018-01-01,114
SCA,I12,B-E,D1_D4_MD5,SE,2018-04-01,115
SCA,I12,B-E,D1_D4_MD5,SI,2015-07-01,104
SCA,I12,B-E,D1_D4_MD5,SI,2015-10-01,103
SCA,I12,B-E,D1_D4_MD5,SI,2016-01-01,106
SCA,I12,B-E,D1_D4_MD5,SI,2016-04-01,106
SCA,I12,B-E,D1_D4_MD5,SI,2016-07-01,107
SCA,I12,B-E,D1_D4_MD5,SI,2016-10-01,111
SCA,I12,B-E,D1_D4_MD5,SI,2017-01-01,109
SCA,I12,B-E,D1_D4_MD5,SI,2017-04-01,115
SCA,I12,B-E,D1_D4_MD5,SI,2017-07-01,115
SCA,I12,B-E,D1_D4_MD5,SI,2017-10-01,117
SCA,I12,B-E,D1_D4_MD5,SI,2018-01-01,117
SCA,I12,B-E,D1_D4_MD5,SI,2018-04-01,118
SCA,I12,B-E,D1_D4_MD5,SK,2015-07-01,112
SCA,I12,B-E,D1_D4_MD5,SK,2015-10-01,115
SCA,I12,B-E,D1_D4_MD5,SK,2016-01-01,116
SCA,I12,B-E,D1_D4_MD5,SK,2016-04-01,115
SCA,I12,B-E,D1_D4_MD5,SK,2016-07-01,119
SCA,I12,B-E,D1_D4_MD5,SK,2016-10-01,121
SCA,I12,B-E,D1_D4_MD5,SK,2017-01-01,122
SCA,I12,B-E,D1_D4_MD5,SK,2017-04-01,125
SCA,I12,B-E,D1_D4_MD5,SK,2017-07-01,127
SCA,I12,B-E,D1_D4_MD5,SK,2017-10-01,129
SCA,I12,B-E,D1_D4_MD5,SK,2018-01-01,133
SCA,I12,B-E,D1_D4_MD5,SK,2018-04-01,135
SCA,I12,B-E,D1_D4_MD5,TR,2015-07-01,148
SCA,I12,B-E,D1_D4_MD5,TR,2015-10-01,153
SCA,I12,B-E,D1_D4_MD5,TR,2016-01-01,167
SCA,I12,B-E,D1_D4_MD5,TR,2016-04-01,172
