unit,deg_urb,geotime,date,value
PC,DEG1,SE,2015-01-01,18.5 
PC,DEG1,SE,2016-01-01,18.5 
PC,DEG1,SE,2017-01-01,16.9 
PC,DEG1,SI,2006-01-01,10.3 
PC,DEG1,SI,2007-01-01,11.7 
PC,DEG1,SI,2008-01-01,11.3 
PC,DEG1,SI,2009-01-01,11.9 
PC,DEG1,SI,2010-01-01,12.8 
PC,DEG1,SI,2011-01-01,13.3 
PC,DEG1,SI,2012-01-01,13.6 b
PC,DEG1,SI,2013-01-01,14.9 
PC,DEG1,SI,2014-01-01,14.8 
PC,DEG1,SI,2015-01-01,13.4 
PC,DEG1,SI,2016-01-01,13.8 
PC,DEG1,SI,2017-01-01,13.4 
PC,DEG1,SK,2006-01-01,20.0 
PC,DEG1,SK,2007-01-01,22.6 
PC,DEG1,SK,2008-01-01,13.4 
PC,DEG1,SK,2009-01-01,16.2 
PC,DEG1,SK,2010-01-01,14.9 
PC,DEG1,SK,2011-01-01,15.4 
PC,DEG1,SK,2012-01-01,14.8 b
PC,DEG1,SK,2013-01-01,16.0 
PC,DEG1,SK,2014-01-01,15.6 
PC,DEG1,SK,2015-01-01,18.0 
PC,DEG1,SK,2016-01-01,16.3 
PC,DEG1,SK,2017-01-01,17.0 
PC,DEG1,UK,2006-01-01,21.8 
PC,DEG1,UK,2007-01-01,22.0 
PC,DEG1,UK,2008-01-01,21.8 
PC,DEG1,UK,2009-01-01,22.1 
PC,DEG1,UK,2010-01-01,21.8 
PC,DEG1,UK,2011-01-01,21.3 
PC,DEG1,UK,2012-01-01,11.5 b
PC,DEG1,UK,2013-01-01,13.0 
PC,DEG1,UK,2014-01-01,17.8 
PC,DEG1,UK,2015-01-01,17.9 
PC,DEG1,UK,2016-01-01,17.0 
PC,DEG1,UK,2017-01-01,
PC,DEG2,AT,2006-01-01,12.4 
PC,DEG2,AT,2007-01-01,13.2 
PC,DEG2,AT,2008-01-01,13.8 b
PC,DEG2,AT,2009-01-01,13.1 
PC,DEG2,AT,2010-01-01,13.1 
PC,DEG2,AT,2011-01-01,13.5 
PC,DEG2,AT,2012-01-01,15.0 
PC,DEG2,AT,2013-01-01,14.6 
PC,DEG2,AT,2014-01-01,14.6 
PC,DEG2,AT,2015-01-01,14.8 
PC,DEG2,AT,2016-01-01,14.5 
PC,DEG2,AT,2017-01-01,13.4 
PC,DEG2,BE,2006-01-01,15.3 
PC,DEG2,BE,2007-01-01,14.8 
PC,DEG2,BE,2008-01-01,16.1 b
PC,DEG2,BE,2009-01-01,14.2 
PC,DEG2,BE,2010-01-01,14.9 
PC,DEG2,BE,2011-01-01,14.9 
PC,DEG2,BE,2012-01-01,15.8 b
PC,DEG2,BE,2013-01-01,14.8 
PC,DEG2,BE,2014-01-01,14.6 
PC,DEG2,BE,2015-01-01,14.3 
PC,DEG2,BE,2016-01-01,13.4 
PC,DEG2,BE,2017-01-01,13.7 
PC,DEG2,BG,2006-01-01,22.3 
PC,DEG2,BG,2007-01-01,25.0 
PC,DEG2,BG,2008-01-01,18.4 
PC,DEG2,BG,2009-01-01,15.1 
PC,DEG2,BG,2010-01-01,14.5 
PC,DEG2,BG,2011-01-01,17.7 
PC,DEG2,BG,2012-01-01,20.9 b
PC,DEG2,BG,2013-01-01,21.2 
PC,DEG2,BG,2014-01-01,18.8 
PC,DEG2,BG,2015-01-01,20.2 
PC,DEG2,BG,2016-01-01,22.8 b
PC,DEG2,BG,2017-01-01,22.0 
PC,DEG2,CH,2006-01-01,
PC,DEG2,CH,2007-01-01,: u
PC,DEG2,CH,2008-01-01,: u
PC,DEG2,CH,2009-01-01,21.1 
PC,DEG2,CH,2010-01-01,21.5 
PC,DEG2,CH,2011-01-01,21.1 
PC,DEG2,CH,2012-01-01,21.5 b
PC,DEG2,CH,2013-01-01,21.0 
PC,DEG2,CH,2014-01-01,20.8 b
PC,DEG2,CH,2015-01-01,20.8 
PC,DEG2,CH,2016-01-01,20.5 
PC,DEG2,CH,2017-01-01,
PC,DEG2,CY,2006-01-01,9.5 
PC,DEG2,CY,2007-01-01,8.2 
PC,DEG2,CY,2008-01-01,7.0 b
PC,DEG2,CY,2009-01-01,6.4 
PC,DEG2,CY,2010-01-01,6.7 
PC,DEG2,CY,2011-01-01,6.8 
PC,DEG2,CY,2012-01-01,7.8 b
PC,DEG2,CY,2013-01-01,9.0 
PC,DEG2,CY,2014-01-01,8.6 
PC,DEG2,CY,2015-01-01,10.0 
PC,DEG2,CY,2016-01-01,8.8 
PC,DEG2,CY,2017-01-01,8.0 
PC,DEG2,CZ,2006-01-01,20.3 
PC,DEG2,CZ,2007-01-01,20.3 
PC,DEG2,CZ,2008-01-01,20.1 
PC,DEG2,CZ,2009-01-01,19.1 
PC,DEG2,CZ,2010-01-01,19.0 
PC,DEG2,CZ,2011-01-01,18.0 
PC,DEG2,CZ,2012-01-01,19.9 b
PC,DEG2,CZ,2013-01-01,21.2 
PC,DEG2,CZ,2014-01-01,20.3 
PC,DEG2,CZ,2015-01-01,19.9 
PC,DEG2,CZ,2016-01-01,19.3 
PC,DEG2,CZ,2017-01-01,18.7 
PC,DEG2,DE,2006-01-01,
PC,DEG2,DE,2007-01-01,
PC,DEG2,DE,2008-01-01,
PC,DEG2,DE,2009-01-01,
PC,DEG2,DE,2010-01-01,21.3 
PC,DEG2,DE,2011-01-01,21.4 
PC,DEG2,DE,2012-01-01,21.8 b
PC,DEG2,DE,2013-01-01,21.6 
PC,DEG2,DE,2014-01-01,20.6 
PC,DEG2,DE,2015-01-01,20.7 
PC,DEG2,DE,2016-01-01,20.7 
PC,DEG2,DE,2017-01-01,19.8 
PC,DEG2,DK,2006-01-01,24.8 
PC,DEG2,DK,2007-01-01,23.7 
PC,DEG2,DK,2008-01-01,26.7 
PC,DEG2,DK,2009-01-01,29.7 
PC,DEG2,DK,2010-01-01,28.6 
PC,DEG2,DK,2011-01-01,25.8 
PC,DEG2,DK,2012-01-01,25.4 b
PC,DEG2,DK,2013-01-01,24.8 
PC,DEG2,DK,2014-01-01,23.2 
PC,DEG2,DK,2015-01-01,22.2 
PC,DEG2,DK,2016-01-01,20.8 
PC,DEG2,DK,2017-01-01,22.7 
PC,DEG2,EA18,2006-01-01,14.2 e
PC,DEG2,EA18,2007-01-01,13.4 e
