unit,material,indic_env,geotime,date,value
T_HAB,TOTAL,DMC,ES,2004-01-01,19
T_HAB,TOTAL,DMC,ES,2005-01-01,19
T_HAB,TOTAL,DMC,ES,2006-01-01,20
T_HAB,TOTAL,DMC,ES,2007-01-01,20
T_HAB,TOTAL,DMC,ES,2008-01-01,17
T_HAB,TOTAL,DMC,ES,2009-01-01,14
T_HAB,TOTAL,DMC,ES,2010-01-01,12
T_HAB,TOTAL,DMC,ES,2011-01-01,11
T_HAB,TOTAL,DMC,ES,2012-01-01,8
T_HAB,TOTAL,DMC,ES,2013-01-01,8
T_HAB,TOTAL,DMC,ES,2014-01-01,8
T_HAB,TOTAL,DMC,ES,2015-01-01,8
T_HAB,TOTAL,DMC,ES,2016-01-01,8
T_HAB,TOTAL,DMC,ES,2017-01-01,8
T_HAB,TOTAL,DMC,EU28,1990-01-01,
T_HAB,TOTAL,DMC,EU28,1991-01-01,
T_HAB,TOTAL,DMC,EU28,1992-01-01,
T_HAB,TOTAL,DMC,EU28,1993-01-01,
T_HAB,TOTAL,DMC,EU28,1994-01-01,
T_HAB,TOTAL,DMC,EU28,1995-01-01,
T_HAB,TOTAL,DMC,EU28,1996-01-01,
T_HAB,TOTAL,DMC,EU28,1997-01-01,
T_HAB,TOTAL,DMC,EU28,1998-01-01,
T_HAB,TOTAL,DMC,EU28,1999-01-01,
T_HAB,TOTAL,DMC,EU28,2000-01-01,15
T_HAB,TOTAL,DMC,EU28,2001-01-01,15
T_HAB,TOTAL,DMC,EU28,2002-01-01,15
T_HAB,TOTAL,DMC,EU28,2003-01-01,15
T_HAB,TOTAL,DMC,EU28,2004-01-01,15
T_HAB,TOTAL,DMC,EU28,2005-01-01,16
T_HAB,TOTAL,DMC,EU28,2006-01-01,16
T_HAB,TOTAL,DMC,EU28,2007-01-01,16
T_HAB,TOTAL,DMC,EU28,2008-01-01,16
T_HAB,TOTAL,DMC,EU28,2009-01-01,14
T_HAB,TOTAL,DMC,EU28,2010-01-01,14
T_HAB,TOTAL,DMC,EU28,2011-01-01,14
T_HAB,TOTAL,DMC,EU28,2012-01-01,13
T_HAB,TOTAL,DMC,EU28,2013-01-01,13
T_HAB,TOTAL,DMC,EU28,2014-01-01,13
T_HAB,TOTAL,DMC,EU28,2015-01-01,13
T_HAB,TOTAL,DMC,EU28,2016-01-01,13
T_HAB,TOTAL,DMC,EU28,2017-01-01,13
T_HAB,TOTAL,DMC,FI,1990-01-01,
T_HAB,TOTAL,DMC,FI,1991-01-01,
T_HAB,TOTAL,DMC,FI,1992-01-01,
T_HAB,TOTAL,DMC,FI,1993-01-01,
T_HAB,TOTAL,DMC,FI,1994-01-01,
T_HAB,TOTAL,DMC,FI,1995-01-01,
T_HAB,TOTAL,DMC,FI,1996-01-01,
T_HAB,TOTAL,DMC,FI,1997-01-01,
T_HAB,TOTAL,DMC,FI,1998-01-01,
T_HAB,TOTAL,DMC,FI,1999-01-01,
T_HAB,TOTAL,DMC,FI,2000-01-01,33
T_HAB,TOTAL,DMC,FI,2001-01-01,34
T_HAB,TOTAL,DMC,FI,2002-01-01,34
T_HAB,TOTAL,DMC,FI,2003-01-01,35
T_HAB,TOTAL,DMC,FI,2004-01-01,36
T_HAB,TOTAL,DMC,FI,2005-01-01,36
T_HAB,TOTAL,DMC,FI,2006-01-01,38
T_HAB,TOTAL,DMC,FI,2007-01-01,38
T_HAB,TOTAL,DMC,FI,2008-01-01,39
T_HAB,TOTAL,DMC,FI,2009-01-01,32
T_HAB,TOTAL,DMC,FI,2010-01-01,34
T_HAB,TOTAL,DMC,FI,2011-01-01,34
T_HAB,TOTAL,DMC,FI,2012-01-01,33
T_HAB,TOTAL,DMC,FI,2013-01-01,37
T_HAB,TOTAL,DMC,FI,2014-01-01,31
T_HAB,TOTAL,DMC,FI,2015-01-01,30
T_HAB,TOTAL,DMC,FI,2016-01-01,31
T_HAB,TOTAL,DMC,FI,2017-01-01,32
T_HAB,TOTAL,DMC,FR,1990-01-01,
T_HAB,TOTAL,DMC,FR,1991-01-01,
T_HAB,TOTAL,DMC,FR,1992-01-01,
T_HAB,TOTAL,DMC,FR,1993-01-01,
T_HAB,TOTAL,DMC,FR,1994-01-01,
T_HAB,TOTAL,DMC,FR,1995-01-01,
T_HAB,TOTAL,DMC,FR,1996-01-01,
T_HAB,TOTAL,DMC,FR,1997-01-01,
T_HAB,TOTAL,DMC,FR,1998-01-01,
T_HAB,TOTAL,DMC,FR,1999-01-01,
T_HAB,TOTAL,DMC,FR,2000-01-01,14
T_HAB,TOTAL,DMC,FR,2001-01-01,13
T_HAB,TOTAL,DMC,FR,2002-01-01,13
T_HAB,TOTAL,DMC,FR,2003-01-01,12
T_HAB,TOTAL,DMC,FR,2004-01-01,14
T_HAB,TOTAL,DMC,FR,2005-01-01,13
T_HAB,TOTAL,DMC,FR,2006-01-01,13
T_HAB,TOTAL,DMC,FR,2007-01-01,14
T_HAB,TOTAL,DMC,FR,2008-01-01,13
T_HAB,TOTAL,DMC,FR,2009-01-01,12
T_HAB,TOTAL,DMC,FR,2010-01-01,12
T_HAB,TOTAL,DMC,FR,2011-01-01,12
T_HAB,TOTAL,DMC,FR,2012-01-01,11
T_HAB,TOTAL,DMC,FR,2013-01-01,11
T_HAB,TOTAL,DMC,FR,2014-01-01,11
T_HAB,TOTAL,DMC,FR,2015-01-01,11
T_HAB,TOTAL,DMC,FR,2016-01-01,10
T_HAB,TOTAL,DMC,FR,2017-01-01,11
T_HAB,TOTAL,DMC,HR,1990-01-01,
