nutrient,indic_ag,geo,unittime,date,value
N,BAL_UAA,IT,KG,2010-01-01,59.0
N,BAL_UAA,IT,KG,2011-01-01,63.0
N,BAL_UAA,IT,KG,2012-01-01,80.0
N,BAL_UAA,IT,KG,2013-01-01,70.0
N,BAL_UAA,IT,KG,2014-01-01,66.0
N,BAL_UAA,IT,KG,2015-01-01,66.0
N,BAL_UAA,IT,KG,2016-01-01,
N,BAL_UAA,LT,KG,2000-01-01,31.0
N,BAL_UAA,LT,KG,2001-01-01,33.0
N,BAL_UAA,LT,KG,2002-01-01,36.0
N,BAL_UAA,LT,KG,2003-01-01,42.0
N,BAL_UAA,LT,KG,2004-01-01,40.0
N,BAL_UAA,LT,KG,2005-01-01,35.0
N,BAL_UAA,LT,KG,2006-01-01,50.0
N,BAL_UAA,LT,KG,2007-01-01,28.0
N,BAL_UAA,LT,KG,2008-01-01,34.0
N,BAL_UAA,LT,KG,2009-01-01,35.0
N,BAL_UAA,LT,KG,2010-01-01,44.0
N,BAL_UAA,LT,KG,2011-01-01,40.0
N,BAL_UAA,LT,KG,2012-01-01,29.0
N,BAL_UAA,LT,KG,2013-01-01,31.0
N,BAL_UAA,LT,KG,2014-01-01,25.0
N,BAL_UAA,LT,KG,2015-01-01,25.0
N,BAL_UAA,LT,KG,2016-01-01,
N,BAL_UAA,LU,KG,2000-01-01,157.0
N,BAL_UAA,LU,KG,2001-01-01,143.0
N,BAL_UAA,LU,KG,2002-01-01,152.0
N,BAL_UAA,LU,KG,2003-01-01,126.0
N,BAL_UAA,LU,KG,2004-01-01,145.0
N,BAL_UAA,LU,KG,2005-01-01,129.0
N,BAL_UAA,LU,KG,2006-01-01,129.0
N,BAL_UAA,LU,KG,2007-01-01,123.0
N,BAL_UAA,LU,KG,2008-01-01,122.0
N,BAL_UAA,LU,KG,2009-01-01,120.0
N,BAL_UAA,LU,KG,2010-01-01,127.0
N,BAL_UAA,LU,KG,2011-01-01,138.0
N,BAL_UAA,LU,KG,2012-01-01,125.0
N,BAL_UAA,LU,KG,2013-01-01,127.0
N,BAL_UAA,LU,KG,2014-01-01,129.0
