unit,age,sex,indic_il,geotime,date,value
PC,TOTAL,T,LI_R_MD40,LU,2010-01-01,2
PC,TOTAL,T,LI_R_MD40,LU,2011-01-01,2
PC,TOTAL,T,LI_R_MD40,LU,2012-01-01,2
PC,TOTAL,T,LI_R_MD40,LU,2013-01-01,
PC,TOTAL,T,LI_R_MD40,LU,2014-01-01,
PC,TOTAL,T,LI_R_MD40,LU,2015-01-01,
PC,TOTAL,T,LI_R_MD40,LU,2016-01-01,5
PC,TOTAL,T,LI_R_MD40,LU,2017-01-01,5
PC,TOTAL,T,LI_R_MD40,LV,2006-01-01,8
PC,TOTAL,T,LI_R_MD40,LV,2007-01-01,8
PC,TOTAL,T,LI_R_MD40,LV,2008-01-01,10
PC,TOTAL,T,LI_R_MD40,LV,2009-01-01,11
PC,TOTAL,T,LI_R_MD40,LV,2010-01-01,8
PC,TOTAL,T,LI_R_MD40,LV,2011-01-01,8
PC,TOTAL,T,LI_R_MD40,LV,2012-01-01,8
PC,TOTAL,T,LI_R_MD40,LV,2013-01-01,
PC,TOTAL,T,LI_R_MD40,LV,2014-01-01,
PC,TOTAL,T,LI_R_MD40,LV,2015-01-01,
PC,TOTAL,T,LI_R_MD40,LV,2016-01-01,8
PC,TOTAL,T,LI_R_MD40,LV,2017-01-01,8
PC,TOTAL,T,LI_R_MD40,MK,2006-01-01,
PC,TOTAL,T,LI_R_MD40,MK,2007-01-01,
PC,TOTAL,T,LI_R_MD40,MK,2008-01-01,
PC,TOTAL,T,LI_R_MD40,MK,2009-01-01,
PC,TOTAL,T,LI_R_MD40,MK,2010-01-01,15
PC,TOTAL,T,LI_R_MD40,MK,2011-01-01,16
PC,TOTAL,T,LI_R_MD40,MK,2012-01-01,15
PC,TOTAL,T,LI_R_MD40,MK,2013-01-01,
PC,TOTAL,T,LI_R_MD40,MK,2014-01-01,
PC,TOTAL,T,LI_R_MD40,MK,2015-01-01,
PC,TOTAL,T,LI_R_MD40,MK,2016-01-01,10
PC,TOTAL,T,LI_R_MD40,MK,2017-01-01,
PC,TOTAL,T,LI_R_MD40,MT,2006-01-01,4
PC,TOTAL,T,LI_R_MD40,MT,2007-01-01,3
PC,TOTAL,T,LI_R_MD40,MT,2008-01-01,4
PC,TOTAL,T,LI_R_MD40,MT,2009-01-01,2
PC,TOTAL,T,LI_R_MD40,MT,2010-01-01,3
PC,TOTAL,T,LI_R_MD40,MT,2011-01-01,3
PC,TOTAL,T,LI_R_MD40,MT,2012-01-01,2
PC,TOTAL,T,LI_R_MD40,MT,2013-01-01,
PC,TOTAL,T,LI_R_MD40,MT,2014-01-01,
PC,TOTAL,T,LI_R_MD40,MT,2015-01-01,
