worktime,geotime,date,value
FT,RS,2010-01-01,
FT,RS,2011-01-01,
FT,RS,2012-01-01,
FT,RS,2013-01-01,13.0
FT,RS,2014-01-01,13.8
FT,RS,2015-01-01,12.4
FT,RS,2016-01-01,11.4
FT,RS,2017-01-01,
FT,SE,2006-01-01,6.6
FT,SE,2007-01-01,5.8
FT,SE,2008-01-01,6.3
FT,SE,2009-01-01,6.4
FT,SE,2010-01-01,6.1
FT,SE,2011-01-01,5.6
FT,SE,2012-01-01,5.5
FT,SE,2013-01-01,5.7
FT,SE,2014-01-01,6.2
FT,SE,2015-01-01,6.7
FT,SE,2016-01-01,5.3
FT,SE,2017-01-01,5.6
FT,SI,2006-01-01,4.2
FT,SI,2007-01-01,4.0
FT,SI,2008-01-01,4.7
FT,SI,2009-01-01,4.3
FT,SI,2010-01-01,4.6
FT,SI,2011-01-01,5.4
FT,SI,2012-01-01,5.6
FT,SI,2013-01-01,5.8
FT,SI,2014-01-01,5.5
FT,SI,2015-01-01,5.9
FT,SI,2016-01-01,5.3
FT,SI,2017-01-01,5.8
FT,SK,2006-01-01,6.1
FT,SK,2007-01-01,4.5
FT,SK,2008-01-01,5.5
FT,SK,2009-01-01,4.8
FT,SK,2010-01-01,5.2
FT,SK,2011-01-01,5.8
FT,SK,2012-01-01,5.8
FT,SK,2013-01-01,5.3
FT,SK,2014-01-01,5.2
FT,SK,2015-01-01,5.4
FT,SK,2016-01-01,6.1
FT,SK,2017-01-01,6.0
FT,TR,2006-01-01,16.9
FT,TR,2007-01-01,16.3
FT,TR,2008-01-01,16.7
FT,TR,2009-01-01,17.1
FT,TR,2010-01-01,16.7
FT,TR,2011-01-01,14.8
FT,TR,2012-01-01,14.3
FT,TR,2013-01-01,14.2
FT,TR,2014-01-01,13.8
FT,TR,2015-01-01,13.2
FT,TR,2016-01-01,
FT,TR,2017-01-01,
FT,UK,2006-01-01,5.2
FT,UK,2007-01-01,5.8
FT,UK,2008-01-01,6.4
FT,UK,2009-01-01,4.9
FT,UK,2010-01-01,5.3
FT,UK,2011-01-01,5.5
FT,UK,2012-01-01,6.6
FT,UK,2013-01-01,6.2
FT,UK,2014-01-01,5.7
FT,UK,2015-01-01,5.6
FT,UK,2016-01-01,6.0
FT,UK,2017-01-01,
PT,AT,2006-01-01,9.6
PT,AT,2007-01-01,8.1
PT,AT,2008-01-01,10.7
PT,AT,2009-01-01,9.9
PT,AT,2010-01-01,9.0
PT,AT,2011-01-01,9.1
PT,AT,2012-01-01,10.5
PT,AT,2013-01-01,9.5
PT,AT,2014-01-01,9.6
PT,AT,2015-01-01,11.1
PT,AT,2016-01-01,9.4
PT,AT,2017-01-01,11.9
PT,BE,2006-01-01,3.7
PT,BE,2007-01-01,5.5
PT,BE,2008-01-01,7.8
