s_adj,age,sex,unit,geotime,date,value
SA,Y_LT25,F,THS_PER,SK,2017-12-01,15.0
SA,Y_LT25,F,THS_PER,SK,2018-01-01,14.0
SA,Y_LT25,F,THS_PER,SK,2018-02-01,13.0
SA,Y_LT25,F,THS_PER,SK,2018-03-01,12.0
SA,Y_LT25,F,THS_PER,SK,2018-04-01,12.0
SA,Y_LT25,F,THS_PER,SK,2018-05-01,13.0
SA,Y_LT25,F,THS_PER,SK,2018-06-01,12.0
SA,Y_LT25,F,THS_PER,SK,2018-07-01,12.0
SA,Y_LT25,F,THS_PER,SK,2018-08-01,12.0
SA,Y_LT25,F,THS_PER,SK,2018-09-01,
SA,Y_LT25,F,THS_PER,UK,2017-10-01,224.0
SA,Y_LT25,F,THS_PER,UK,2017-11-01,225.0
SA,Y_LT25,F,THS_PER,UK,2017-12-01,226.0
SA,Y_LT25,F,THS_PER,UK,2018-01-01,224.0
SA,Y_LT25,F,THS_PER,UK,2018-02-01,222.0
SA,Y_LT25,F,THS_PER,UK,2018-03-01,213.0
SA,Y_LT25,F,THS_PER,UK,2018-04-01,207.0
SA,Y_LT25,F,THS_PER,UK,2018-05-01,201.0
SA,Y_LT25,F,THS_PER,UK,2018-06-01,206.0
SA,Y_LT25,F,THS_PER,UK,2018-07-01,205.0
SA,Y_LT25,F,THS_PER,UK,2018-08-01,
SA,Y_LT25,F,THS_PER,UK,2018-09-01,
SA,Y_LT25,F,THS_PER,US,2017-10-01,794.0
SA,Y_LT25,F,THS_PER,US,2017-11-01,837.0
SA,Y_LT25,F,THS_PER,US,2017-12-01,807.0
SA,Y_LT25,F,THS_PER,US,2018-01-01,871.0
SA,Y_LT25,F,THS_PER,US,2018-02-01,824.0
SA,Y_LT25,F,THS_PER,US,2018-03-01,770.0
SA,Y_LT25,F,THS_PER,US,2018-04-01,712.0
SA,Y_LT25,F,THS_PER,US,2018-05-01,731.0
SA,Y_LT25,F,THS_PER,US,2018-06-01,793.0
SA,Y_LT25,F,THS_PER,US,2018-07-01,800.0
SA,Y_LT25,F,THS_PER,US,2018-08-01,742.0
SA,Y_LT25,F,THS_PER,US,2018-09-01,
SA,Y_LT25,M,THS_PER,AT,2017-10-01,27.0
SA,Y_LT25,M,THS_PER,AT,2017-11-01,32.0
SA,Y_LT25,M,THS_PER,AT,2017-12-01,30.0
SA,Y_LT25,M,THS_PER,AT,2018-01-01,28.0
