unit,bop_item,stk_flow,partner,geotime,date,value
PC_WRL,G,CRE,WRL_REST,EL,2016-01-01,0.17
PC_WRL,G,CRE,WRL_REST,EL,2017-01-01,0.18
PC_WRL,G,CRE,WRL_REST,ES,1995-01-01,1.8
PC_WRL,G,CRE,WRL_REST,ES,1996-01-01,1.87
PC_WRL,G,CRE,WRL_REST,ES,1997-01-01,1.92
PC_WRL,G,CRE,WRL_REST,ES,1998-01-01,2.07
PC_WRL,G,CRE,WRL_REST,ES,1999-01-01,2.03
PC_WRL,G,CRE,WRL_REST,ES,2000-01-01,1.85
PC_WRL,G,CRE,WRL_REST,ES,2001-01-01,1.94
PC_WRL,G,CRE,WRL_REST,ES,2002-01-01,1.99
PC_WRL,G,CRE,WRL_REST,ES,2003-01-01,2.11
PC_WRL,G,CRE,WRL_REST,ES,2004-01-01,2.05
PC_WRL,G,CRE,WRL_REST,ES,2005-01-01,1.86
PC_WRL,G,CRE,WRL_REST,ES,2006-01-01,1.76
PC_WRL,G,CRE,WRL_REST,ES,2007-01-01,1.91
PC_WRL,G,CRE,WRL_REST,ES,2008-01-01,1.81
PC_WRL,G,CRE,WRL_REST,ES,2009-01-01,1.87
PC_WRL,G,CRE,WRL_REST,ES,2010-01-01,1.7
PC_WRL,G,CRE,WRL_REST,ES,2011-01-01,1.68
PC_WRL,G,CRE,WRL_REST,ES,2012-01-01,1.59
PC_WRL,G,CRE,WRL_REST,ES,2013-01-01,1.69
PC_WRL,G,CRE,WRL_REST,ES,2014-01-01,1.71
PC_WRL,G,CRE,WRL_REST,ES,2015-01-01,1.71
PC_WRL,G,CRE,WRL_REST,ES,2016-01-01,1.81
PC_WRL,G,CRE,WRL_REST,ES,2017-01-01,1.8
PC_WRL,G,CRE,WRL_REST,FI,1995-01-01,0.75
PC_WRL,G,CRE,WRL_REST,FI,1996-01-01,0.73
PC_WRL,G,CRE,WRL_REST,FI,1997-01-01,0.72
PC_WRL,G,CRE,WRL_REST,FI,1998-01-01,0.78
PC_WRL,G,CRE,WRL_REST,FI,1999-01-01,0.72
PC_WRL,G,CRE,WRL_REST,FI,2000-01-01,0.71
PC_WRL,G,CRE,WRL_REST,FI,2001-01-01,0.69
PC_WRL,G,CRE,WRL_REST,FI,2002-01-01,0.69
PC_WRL,G,CRE,WRL_REST,FI,2003-01-01,0.69
PC_WRL,G,CRE,WRL_REST,FI,2004-01-01,0.66
PC_WRL,G,CRE,WRL_REST,FI,2005-01-01,0.62
PC_WRL,G,CRE,WRL_REST,FI,2006-01-01,0.68
PC_WRL,G,CRE,WRL_REST,FI,2007-01-01,0.72
PC_WRL,G,CRE,WRL_REST,FI,2008-01-01,0.67
PC_WRL,G,CRE,WRL_REST,FI,2009-01-01,0.59
PC_WRL,G,CRE,WRL_REST,FI,2010-01-01,0.5
PC_WRL,G,CRE,WRL_REST,FI,2011-01-01,0.46
