sex,wstatus,age,unit,geotime,date,value
T,POP,Y18-24,PC,EL,2014-01-01,9
T,POP,Y18-24,PC,EL,2015-01-01,7
T,POP,Y18-24,PC,EL,2016-01-01,6
T,POP,Y18-24,PC,EL,2017-01-01,6
T,POP,Y18-24,PC,ES,2005-01-01,31
T,POP,Y18-24,PC,ES,2006-01-01,30
T,POP,Y18-24,PC,ES,2007-01-01,30
T,POP,Y18-24,PC,ES,2008-01-01,31
T,POP,Y18-24,PC,ES,2009-01-01,30
T,POP,Y18-24,PC,ES,2010-01-01,28
T,POP,Y18-24,PC,ES,2011-01-01,26
T,POP,Y18-24,PC,ES,2012-01-01,
T,POP,Y18-24,PC,ES,2013-01-01,23
T,POP,Y18-24,PC,ES,2014-01-01,21
T,POP,Y18-24,PC,ES,2015-01-01,20
T,POP,Y18-24,PC,ES,2016-01-01,19
T,POP,Y18-24,PC,ES,2017-01-01,18
T,POP,Y18-24,PC,EU27,2005-01-01,15
T,POP,Y18-24,PC,EU27,2006-01-01,15
T,POP,Y18-24,PC,EU27,2007-01-01,15
T,POP,Y18-24,PC,EU27,2008-01-01,14
T,POP,Y18-24,PC,EU27,2009-01-01,14
T,POP,Y18-24,PC,EU27,2010-01-01,14
T,POP,Y18-24,PC,EU27,2011-01-01,13
T,POP,Y18-24,PC,EU27,2012-01-01,
T,POP,Y18-24,PC,EU27,2013-01-01,12
T,POP,Y18-24,PC,EU27,2014-01-01,11
T,POP,Y18-24,PC,EU27,2015-01-01,11
T,POP,Y18-24,PC,EU27,2016-01-01,10
T,POP,Y18-24,PC,EU27,2017-01-01,10
T,POP,Y18-24,PC,EU28,2005-01-01,15
T,POP,Y18-24,PC,EU28,2006-01-01,15
T,POP,Y18-24,PC,EU28,2007-01-01,14
T,POP,Y18-24,PC,EU28,2008-01-01,14
T,POP,Y18-24,PC,EU28,2009-01-01,14
T,POP,Y18-24,PC,EU28,2010-01-01,13
T,POP,Y18-24,PC,EU28,2011-01-01,13
T,POP,Y18-24,PC,EU28,2012-01-01,
T,POP,Y18-24,PC,EU28,2013-01-01,11
T,POP,Y18-24,PC,EU28,2014-01-01,11
T,POP,Y18-24,PC,EU28,2015-01-01,11
T,POP,Y18-24,PC,EU28,2016-01-01,10
T,POP,Y18-24,PC,EU28,2017-01-01,10
T,POP,Y18-24,PC,FI,2005-01-01,10
T,POP,Y18-24,PC,FI,2006-01-01,9
T,POP,Y18-24,PC,FI,2007-01-01,9
T,POP,Y18-24,PC,FI,2008-01-01,9
T,POP,Y18-24,PC,FI,2009-01-01,9
T,POP,Y18-24,PC,FI,2010-01-01,10
T,POP,Y18-24,PC,FI,2011-01-01,9
T,POP,Y18-24,PC,FI,2012-01-01,
T,POP,Y18-24,PC,FI,2013-01-01,9
T,POP,Y18-24,PC,FI,2014-01-01,9
T,POP,Y18-24,PC,FI,2015-01-01,9
T,POP,Y18-24,PC,FI,2016-01-01,7
T,POP,Y18-24,PC,FI,2017-01-01,8
T,POP,Y18-24,PC,FR,2005-01-01,12
T,POP,Y18-24,PC,FR,2006-01-01,12
T,POP,Y18-24,PC,FR,2007-01-01,12
T,POP,Y18-24,PC,FR,2008-01-01,11
T,POP,Y18-24,PC,FR,2009-01-01,12
T,POP,Y18-24,PC,FR,2010-01-01,12
T,POP,Y18-24,PC,FR,2011-01-01,12
T,POP,Y18-24,PC,FR,2012-01-01,
T,POP,Y18-24,PC,FR,2013-01-01,9
T,POP,Y18-24,PC,FR,2014-01-01,8
T,POP,Y18-24,PC,FR,2015-01-01,9
T,POP,Y18-24,PC,FR,2016-01-01,8
T,POP,Y18-24,PC,FR,2017-01-01,8
T,POP,Y18-24,PC,HR,2005-01-01,5
T,POP,Y18-24,PC,HR,2006-01-01,4
T,POP,Y18-24,PC,HR,2007-01-01,4
T,POP,Y18-24,PC,HR,2008-01-01,4
T,POP,Y18-24,PC,HR,2009-01-01,5
T,POP,Y18-24,PC,HR,2010-01-01,5
T,POP,Y18-24,PC,HR,2011-01-01,5
T,POP,Y18-24,PC,HR,2012-01-01,
T,POP,Y18-24,PC,HR,2013-01-01,4
T,POP,Y18-24,PC,HR,2014-01-01,2
T,POP,Y18-24,PC,HR,2015-01-01,2
T,POP,Y18-24,PC,HR,2016-01-01,2
T,POP,Y18-24,PC,HR,2017-01-01,3
T,POP,Y18-24,PC,HU,2005-01-01,12
T,POP,Y18-24,PC,HU,2006-01-01,12
T,POP,Y18-24,PC,HU,2007-01-01,11
T,POP,Y18-24,PC,HU,2008-01-01,11
T,POP,Y18-24,PC,HU,2009-01-01,11
T,POP,Y18-24,PC,HU,2010-01-01,10
T,POP,Y18-24,PC,HU,2011-01-01,11
T,POP,Y18-24,PC,HU,2012-01-01,
T,POP,Y18-24,PC,HU,2013-01-01,11
T,POP,Y18-24,PC,HU,2014-01-01,11
T,POP,Y18-24,PC,HU,2015-01-01,11
T,POP,Y18-24,PC,HU,2016-01-01,12
T,POP,Y18-24,PC,HU,2017-01-01,12
T,POP,Y18-24,PC,IE,2005-01-01,12
T,POP,Y18-24,PC,IE,2006-01-01,12
T,POP,Y18-24,PC,IE,2007-01-01,12
T,POP,Y18-24,PC,IE,2008-01-01,11
T,POP,Y18-24,PC,IE,2009-01-01,11
T,POP,Y18-24,PC,IE,2010-01-01,11
