indic_il,age,sex,tenure,geo\time,date,value
LI_R_MD60,Y_GE65,T,TOTAL,CY,2007-01-01,50.6 
LI_R_MD60,Y_GE65,T,TOTAL,CY,2008-01-01,46.3 b
LI_R_MD60,Y_GE65,T,TOTAL,CY,2009-01-01,46.4 
LI_R_MD60,Y_GE65,T,TOTAL,CY,2010-01-01,39.9 
LI_R_MD60,Y_GE65,T,TOTAL,CY,2011-01-01,35.5 
LI_R_MD60,Y_GE65,T,TOTAL,CY,2012-01-01,29.3 
LI_R_MD60,Y_GE65,T,TOTAL,CY,2013-01-01,20.1 
LI_R_MD60,Y_GE65,T,TOTAL,CY,2014-01-01,22.4 
LI_R_MD60,Y_GE65,T,TOTAL,CY,2015-01-01,17.3 
LI_R_MD60,Y_GE65,T,TOTAL,CY,2016-01-01,19.5 
LI_R_MD60,Y_GE65,T,TOTAL,CY,2017-01-01,21.6 
LI_R_MD60,Y_GE65,T,TOTAL,CZ,2006-01-01,5.9 
LI_R_MD60,Y_GE65,T,TOTAL,CZ,2007-01-01,5.5 
LI_R_MD60,Y_GE65,T,TOTAL,CZ,2008-01-01,7.4 
LI_R_MD60,Y_GE65,T,TOTAL,CZ,2009-01-01,7.2 
LI_R_MD60,Y_GE65,T,TOTAL,CZ,2010-01-01,6.8 
LI_R_MD60,Y_GE65,T,TOTAL,CZ,2011-01-01,6.6 
LI_R_MD60,Y_GE65,T,TOTAL,CZ,2012-01-01,6.0 
LI_R_MD60,Y_GE65,T,TOTAL,CZ,2013-01-01,5.8 
LI_R_MD60,Y_GE65,T,TOTAL,CZ,2014-01-01,7.0 
LI_R_MD60,Y_GE65,T,TOTAL,CZ,2015-01-01,7.4 
LI_R_MD60,Y_GE65,T,TOTAL,CZ,2016-01-01,8.1 
LI_R_MD60,Y_GE65,T,TOTAL,CZ,2017-01-01,10.7 
LI_R_MD60,Y_GE65,T,TOTAL,DE,2006-01-01,12.5 
LI_R_MD60,Y_GE65,T,TOTAL,DE,2007-01-01,16.2 
LI_R_MD60,Y_GE65,T,TOTAL,DE,2008-01-01,14.9 
LI_R_MD60,Y_GE65,T,TOTAL,DE,2009-01-01,15.0 
LI_R_MD60,Y_GE65,T,TOTAL,DE,2010-01-01,14.1 
LI_R_MD60,Y_GE65,T,TOTAL,DE,2011-01-01,14.2 
LI_R_MD60,Y_GE65,T,TOTAL,DE,2012-01-01,15.0 
LI_R_MD60,Y_GE65,T,TOTAL,DE,2013-01-01,14.9 
LI_R_MD60,Y_GE65,T,TOTAL,DE,2014-01-01,16.3 
LI_R_MD60,Y_GE65,T,TOTAL,DE,2015-01-01,16.5 
LI_R_MD60,Y_GE65,T,TOTAL,DE,2016-01-01,17.6 
LI_R_MD60,Y_GE65,T,TOTAL,DE,2017-01-01,17.0 
LI_R_MD60,Y_GE65,T,TOTAL,DK,2006-01-01,17.4 
LI_R_MD60,Y_GE65,T,TOTAL,DK,2007-01-01,17.7 
LI_R_MD60,Y_GE65,T,TOTAL,DK,2008-01-01,18.1 
LI_R_MD60,Y_GE65,T,TOTAL,DK,2009-01-01,20.1 
LI_R_MD60,Y_GE65,T,TOTAL,DK,2010-01-01,17.7 
LI_R_MD60,Y_GE65,T,TOTAL,DK,2011-01-01,14.0 b
LI_R_MD60,Y_GE65,T,TOTAL,DK,2012-01-01,12.8 
LI_R_MD60,Y_GE65,T,TOTAL,DK,2013-01-01,10.1 
LI_R_MD60,Y_GE65,T,TOTAL,DK,2014-01-01,9.8 
LI_R_MD60,Y_GE65,T,TOTAL,DK,2015-01-01,9.1 
