indic_bt,nace_r2,unit,geotime,date,value
TOVT,G473,PCH_M12_CA,BG,2018-03-01,8
TOVT,G473,PCH_M12_CA,BG,2018-04-01,1
TOVT,G473,PCH_M12_CA,BG,2018-05-01,8
TOVT,G473,PCH_M12_CA,BG,2018-06-01,11
TOVT,G473,PCH_M12_CA,BG,2018-07-01,15
TOVT,G473,PCH_M12_CA,BG,2018-08-01,13
TOVT,G473,PCH_M12_CA,BG,2018-09-01,
TOVT,G473,PCH_M12_CA,CH,2017-10-01,2
TOVT,G473,PCH_M12_CA,CH,2017-11-01,6
TOVT,G473,PCH_M12_CA,CH,2017-12-01,3
TOVT,G473,PCH_M12_CA,CH,2018-01-01,1
TOVT,G473,PCH_M12_CA,CH,2018-02-01,0
TOVT,G473,PCH_M12_CA,CH,2018-03-01,2
TOVT,G473,PCH_M12_CA,CH,2018-04-01,7
TOVT,G473,PCH_M12_CA,CH,2018-05-01,5
TOVT,G473,PCH_M12_CA,CH,2018-06-01,5
TOVT,G473,PCH_M12_CA,CH,2018-07-01,3
TOVT,G473,PCH_M12_CA,CH,2018-08-01,
TOVT,G473,PCH_M12_CA,CH,2018-09-01,
TOVT,G473,PCH_M12_CA,CY,2017-10-01,4
TOVT,G473,PCH_M12_CA,CY,2017-11-01,7
TOVT,G473,PCH_M12_CA,CY,2017-12-01,1
TOVT,G473,PCH_M12_CA,CY,2018-01-01,1
TOVT,G473,PCH_M12_CA,CY,2018-02-01,4
TOVT,G473,PCH_M12_CA,CY,2018-03-01,1
TOVT,G473,PCH_M12_CA,CY,2018-04-01,5
TOVT,G473,PCH_M12_CA,CY,2018-05-01,7
TOVT,G473,PCH_M12_CA,CY,2018-06-01,8
TOVT,G473,PCH_M12_CA,CY,2018-07-01,10
TOVT,G473,PCH_M12_CA,CY,2018-08-01,
TOVT,G473,PCH_M12_CA,CY,2018-09-01,
TOVT,G473,PCH_M12_CA,CZ,2017-10-01,9
TOVT,G473,PCH_M12_CA,CZ,2017-11-01,12
TOVT,G473,PCH_M12_CA,CZ,2017-12-01,7
TOVT,G473,PCH_M12_CA,CZ,2018-01-01,6
TOVT,G473,PCH_M12_CA,CZ,2018-02-01,5
TOVT,G473,PCH_M12_CA,CZ,2018-03-01,0
TOVT,G473,PCH_M12_CA,CZ,2018-04-01,6
TOVT,G473,PCH_M12_CA,CZ,2018-05-01,10
TOVT,G473,PCH_M12_CA,CZ,2018-06-01,12
TOVT,G473,PCH_M12_CA,CZ,2018-07-01,16
TOVT,G473,PCH_M12_CA,CZ,2018-08-01,14
TOVT,G473,PCH_M12_CA,CZ,2018-09-01,
TOVT,G473,PCH_M12_CA,DE,2017-10-01,4
TOVT,G473,PCH_M12_CA,DE,2017-11-01,8
TOVT,G473,PCH_M12_CA,DE,2017-12-01,2
TOVT,G473,PCH_M12_CA,DE,2018-01-01,4
TOVT,G473,PCH_M12_CA,DE,2018-02-01,5
TOVT,G473,PCH_M12_CA,DE,2018-03-01,3
TOVT,G473,PCH_M12_CA,DE,2018-04-01,8
TOVT,G473,PCH_M12_CA,DE,2018-05-01,10
TOVT,G473,PCH_M12_CA,DE,2018-06-01,11
TOVT,G473,PCH_M12_CA,DE,2018-07-01,12
TOVT,G473,PCH_M12_CA,DE,2018-08-01,12
TOVT,G473,PCH_M12_CA,DE,2018-09-01,
TOVT,G473,PCH_M12_CA,DK,2017-10-01,3
TOVT,G473,PCH_M12_CA,DK,2017-11-01,0
TOVT,G473,PCH_M12_CA,DK,2017-12-01,1
TOVT,G473,PCH_M12_CA,DK,2018-01-01,3
TOVT,G473,PCH_M12_CA,DK,2018-02-01,2
TOVT,G473,PCH_M12_CA,DK,2018-03-01,4
TOVT,G473,PCH_M12_CA,DK,2018-04-01,1
TOVT,G473,PCH_M12_CA,DK,2018-05-01,10
TOVT,G473,PCH_M12_CA,DK,2018-06-01,9
TOVT,G473,PCH_M12_CA,DK,2018-07-01,11
TOVT,G473,PCH_M12_CA,DK,2018-08-01,8
TOVT,G473,PCH_M12_CA,DK,2018-09-01,
TOVT,G473,PCH_M12_CA,EA19,2017-10-01,4
TOVT,G473,PCH_M12_CA,EA19,2017-11-01,6
TOVT,G473,PCH_M12_CA,EA19,2017-12-01,4
TOVT,G473,PCH_M12_CA,EA19,2018-01-01,2
TOVT,G473,PCH_M12_CA,EA19,2018-02-01,2
TOVT,G473,PCH_M12_CA,EA19,2018-03-01,2
TOVT,G473,PCH_M12_CA,EA19,2018-04-01,5
TOVT,G473,PCH_M12_CA,EA19,2018-05-01,9
TOVT,G473,PCH_M12_CA,EA19,2018-06-01,13
