hhtyp,indic_il,currency,geotime,date,value
A1,LI_C_MD60,PPS,MT,2009-01-01,8146
A1,LI_C_MD60,PPS,MT,2010-01-01,8023
A1,LI_C_MD60,PPS,MT,2011-01-01,8417
A1,LI_C_MD60,PPS,MT,2012-01-01,8760
A1,LI_C_MD60,PPS,MT,2013-01-01,
A1,LI_C_MD60,PPS,MT,2014-01-01,9300
A1,LI_C_MD60,PPS,MT,2015-01-01,
A1,LI_C_MD60,PPS,MT,2016-01-01,10323
A1,LI_C_MD60,PPS,MT,2017-01-01,10601
A1,LI_C_MD60,PPS,NL,2006-01-01,9897
A1,LI_C_MD60,PPS,NL,2007-01-01,10522
A1,LI_C_MD60,PPS,NL,2008-01-01,11485
A1,LI_C_MD60,PPS,NL,2009-01-01,11618
A1,LI_C_MD60,PPS,NL,2010-01-01,11288
A1,LI_C_MD60,PPS,NL,2011-01-01,11300
A1,LI_C_MD60,PPS,NL,2012-01-01,11387
A1,LI_C_MD60,PPS,NL,2013-01-01,
A1,LI_C_MD60,PPS,NL,2014-01-01,11283
A1,LI_C_MD60,PPS,NL,2015-01-01,
A1,LI_C_MD60,PPS,NL,2016-01-01,12717
A1,LI_C_MD60,PPS,NL,2017-01-01,12732
A1,LI_C_MD60,PPS,NO,2006-01-01,12119
A1,LI_C_MD60,PPS,NO,2007-01-01,12420
A1,LI_C_MD60,PPS,NO,2008-01-01,13871
A1,LI_C_MD60,PPS,NO,2009-01-01,14402
A1,LI_C_MD60,PPS,NO,2010-01-01,13945
A1,LI_C_MD60,PPS,NO,2011-01-01,14519
A1,LI_C_MD60,PPS,NO,2012-01-01,15344
A1,LI_C_MD60,PPS,NO,2013-01-01,
A1,LI_C_MD60,PPS,NO,2014-01-01,16715
A1,LI_C_MD60,PPS,NO,2015-01-01,
A1,LI_C_MD60,PPS,NO,2016-01-01,17325
A1,LI_C_MD60,PPS,NO,2017-01-01,16818
A1,LI_C_MD60,PPS,PL,2006-01-01,3057
A1,LI_C_MD60,PPS,PL,2007-01-01,3365
A1,LI_C_MD60,PPS,PL,2008-01-01,4039
