sectperf,unit,geotime,date,value
TOTAL,MIO_NAC,PT,2001-01-01,1038.432
TOTAL,MIO_NAC,PT,2002-01-01,1029.006
TOTAL,MIO_NAC,PT,2003-01-01,1019.581
TOTAL,MIO_NAC,PT,2004-01-01,1110.346
TOTAL,MIO_NAC,PT,2005-01-01,1201.112
TOTAL,MIO_NAC,PT,2006-01-01,1586.922
TOTAL,MIO_NAC,PT,2007-01-01,1972.733
TOTAL,MIO_NAC,PT,2008-01-01,2585.075
TOTAL,MIO_NAC,PT,2009-01-01,2771.6
TOTAL,MIO_NAC,PT,2010-01-01,2757.555
TOTAL,MIO_NAC,PT,2011-01-01,2566.45
TOTAL,MIO_NAC,PT,2012-01-01,2320.133
TOTAL,MIO_NAC,PT,2013-01-01,2258.471
TOTAL,MIO_NAC,PT,2014-01-01,2232.249
TOTAL,MIO_NAC,PT,2015-01-01,2234.37
TOTAL,MIO_NAC,PT,2016-01-01,2347.7
TOTAL,MIO_NAC,RO,1995-01-01,57.715
TOTAL,MIO_NAC,RO,1996-01-01,76.835
TOTAL,MIO_NAC,RO,1997-01-01,146.5
TOTAL,MIO_NAC,RO,1998-01-01,183.339
TOTAL,MIO_NAC,RO,1999-01-01,219.581
TOTAL,MIO_NAC,RO,2000-01-01,296.205
TOTAL,MIO_NAC,RO,2001-01-01,459.343
TOTAL,MIO_NAC,RO,2002-01-01,574.386
TOTAL,MIO_NAC,RO,2003-01-01,762.065
TOTAL,MIO_NAC,RO,2004-01-01,952.872
TOTAL,MIO_NAC,RO,2005-01-01,1183.66
TOTAL,MIO_NAC,RO,2006-01-01,1565.802
TOTAL,MIO_NAC,RO,2007-01-01,2177.335
TOTAL,MIO_NAC,RO,2008-01-01,2980.7
TOTAL,MIO_NAC,RO,2009-01-01,2356.907
TOTAL,MIO_NAC,RO,2010-01-01,2413.467
TOTAL,MIO_NAC,RO,2011-01-01,2786.83
TOTAL,MIO_NAC,RO,2012-01-01,2872.728
TOTAL,MIO_NAC,RO,2013-01-01,2464.779
TOTAL,MIO_NAC,RO,2014-01-01,2555.662
TOTAL,MIO_NAC,RO,2015-01-01,3476.933
TOTAL,MIO_NAC,RO,2016-01-01,3675.142
TOTAL,MIO_NAC,SE,1995-01-01,59023.0
TOTAL,MIO_NAC,SE,1996-01-01,
TOTAL,MIO_NAC,SE,1997-01-01,67026.439
TOTAL,MIO_NAC,SE,1998-01-01,
TOTAL,MIO_NAC,SE,1999-01-01,76569.726
TOTAL,MIO_NAC,SE,2000-01-01,
TOTAL,MIO_NAC,SE,2001-01-01,96989.601
TOTAL,MIO_NAC,SE,2002-01-01,
TOTAL,MIO_NAC,SE,2003-01-01,96773.0
TOTAL,MIO_NAC,SE,2004-01-01,95131.0
TOTAL,MIO_NAC,SE,2005-01-01,98472.0
TOTAL,MIO_NAC,SE,2006-01-01,108477.83
TOTAL,MIO_NAC,SE,2007-01-01,107372.0
TOTAL,MIO_NAC,SE,2008-01-01,118405.0
TOTAL,MIO_NAC,SE,2009-01-01,113442.0
TOTAL,MIO_NAC,SE,2010-01-01,113207.0
TOTAL,MIO_NAC,SE,2011-01-01,118809.0
TOTAL,MIO_NAC,SE,2012-01-01,120911.0
TOTAL,MIO_NAC,SE,2013-01-01,124635.0
TOTAL,MIO_NAC,SE,2014-01-01,123848.0
TOTAL,MIO_NAC,SE,2015-01-01,137146.0
TOTAL,MIO_NAC,SE,2016-01-01,143372.0
TOTAL,MIO_NAC,SI,1995-01-01,157.123
TOTAL,MIO_NAC,SI,1996-01-01,153.63
TOTAL,MIO_NAC,SI,1997-01-01,172.463
TOTAL,MIO_NAC,SI,1998-01-01,200.363
TOTAL,MIO_NAC,SI,1999-01-01,230.298
TOTAL,MIO_NAC,SI,2000-01-01,256.368
TOTAL,MIO_NAC,SI,2001-01-01,310.379
TOTAL,MIO_NAC,SI,2002-01-01,339.865
TOTAL,MIO_NAC,SI,2003-01-01,319.632
TOTAL,MIO_NAC,SI,2004-01-01,378.579
TOTAL,MIO_NAC,SI,2005-01-01,412.765
TOTAL,MIO_NAC,SI,2006-01-01,483.716
TOTAL,MIO_NAC,SI,2007-01-01,500.51
TOTAL,MIO_NAC,SI,2008-01-01,616.949
TOTAL,MIO_NAC,SI,2009-01-01,656.882
TOTAL,MIO_NAC,SI,2010-01-01,745.942
TOTAL,MIO_NAC,SI,2011-01-01,894.213
TOTAL,MIO_NAC,SI,2012-01-01,928.306
TOTAL,MIO_NAC,SI,2013-01-01,935.006
TOTAL,MIO_NAC,SI,2014-01-01,890.232
TOTAL,MIO_NAC,SI,2015-01-01,853.067
TOTAL,MIO_NAC,SI,2016-01-01,809.18
TOTAL,MIO_NAC,SK,1995-01-01,178.384
TOTAL,MIO_NAC,SK,1996-01-01,196.01
TOTAL,MIO_NAC,SK,1997-01-01,257.054
TOTAL,MIO_NAC,SK,1998-01-01,204.275
TOTAL,MIO_NAC,SK,1999-01-01,184.293
TOTAL,MIO_NAC,SK,2000-01-01,202.018
TOTAL,MIO_NAC,SK,2001-01-01,214.665
TOTAL,MIO_NAC,SK,2002-01-01,210.217
TOTAL,MIO_NAC,SK,2003-01-01,232.889
TOTAL,MIO_NAC,SK,2004-01-01,231.196
TOTAL,MIO_NAC,SK,2005-01-01,249.054
TOTAL,MIO_NAC,SK,2006-01-01,267.649
TOTAL,MIO_NAC,SK,2007-01-01,282.63
TOTAL,MIO_NAC,SK,2008-01-01,316.459
TOTAL,MIO_NAC,SK,2009-01-01,302.994
TOTAL,MIO_NAC,SK,2010-01-01,416.369
TOTAL,MIO_NAC,SK,2011-01-01,468.439
TOTAL,MIO_NAC,SK,2012-01-01,585.225
TOTAL,MIO_NAC,SK,2013-01-01,610.876
TOTAL,MIO_NAC,SK,2014-01-01,669.632
TOTAL,MIO_NAC,SK,2015-01-01,927.272
TOTAL,MIO_NAC,SK,2016-01-01,640.835
TOTAL,MIO_NAC,UK,1995-01-01,14033.5
TOTAL,MIO_NAC,UK,1996-01-01,14336.0
TOTAL,MIO_NAC,UK,1997-01-01,14656.6
TOTAL,MIO_NAC,UK,1998-01-01,15454.494
TOTAL,MIO_NAC,UK,1999-01-01,16928.638
TOTAL,MIO_NAC,UK,2000-01-01,17718.0
TOTAL,MIO_NAC,UK,2001-01-01,18286.0
TOTAL,MIO_NAC,UK,2002-01-01,19227.8
TOTAL,MIO_NAC,UK,2003-01-01,19898.1
TOTAL,MIO_NAC,UK,2004-01-01,20248.1
TOTAL,MIO_NAC,UK,2005-01-01,21681.2
TOTAL,MIO_NAC,UK,2006-01-01,23203.1
TOTAL,MIO_NAC,UK,2007-01-01,24996.837
TOTAL,MIO_NAC,UK,2008-01-01,25641.211
TOTAL,MIO_NAC,UK,2009-01-01,25863.6
TOTAL,MIO_NAC,UK,2010-01-01,26362.0
TOTAL,MIO_NAC,UK,2011-01-01,27379.7
TOTAL,MIO_NAC,UK,2012-01-01,27006.0
TOTAL,MIO_NAC,UK,2013-01-01,28875.1
TOTAL,MIO_NAC,UK,2014-01-01,30599.6
TOTAL,MIO_NAC,UK,2015-01-01,31626.0
TOTAL,MIO_NAC,UK,2016-01-01,33150.0
TOTAL,PC_GDP,AT,1995-01-01,1.53
TOTAL,PC_GDP,AT,1996-01-01,1.58
TOTAL,PC_GDP,AT,1997-01-01,1.66
TOTAL,PC_GDP,AT,1998-01-01,1.73
TOTAL,PC_GDP,AT,1999-01-01,1.85
TOTAL,PC_GDP,AT,2000-01-01,1.89
TOTAL,PC_GDP,AT,2001-01-01,1.99
TOTAL,PC_GDP,AT,2002-01-01,2.07
TOTAL,PC_GDP,AT,2003-01-01,2.17
TOTAL,PC_GDP,AT,2004-01-01,2.17
TOTAL,PC_GDP,AT,2005-01-01,2.37
TOTAL,PC_GDP,AT,2006-01-01,2.36
TOTAL,PC_GDP,AT,2007-01-01,2.42
TOTAL,PC_GDP,AT,2008-01-01,2.57
TOTAL,PC_GDP,AT,2009-01-01,2.6
TOTAL,PC_GDP,AT,2010-01-01,2.73
TOTAL,PC_GDP,AT,2011-01-01,2.67
TOTAL,PC_GDP,AT,2012-01-01,2.91
TOTAL,PC_GDP,AT,2013-01-01,2.95
TOTAL,PC_GDP,AT,2014-01-01,3.07
TOTAL,PC_GDP,AT,2015-01-01,3.05
TOTAL,PC_GDP,AT,2016-01-01,3.09
TOTAL,PC_GDP,BE,1995-01-01,1.64
TOTAL,PC_GDP,BE,1996-01-01,1.73
TOTAL,PC_GDP,BE,1997-01-01,1.79
TOTAL,PC_GDP,BE,1998-01-01,1.82
TOTAL,PC_GDP,BE,1999-01-01,1.89
TOTAL,PC_GDP,BE,2000-01-01,1.92
TOTAL,PC_GDP,BE,2001-01-01,2.02
TOTAL,PC_GDP,BE,2002-01-01,1.89
TOTAL,PC_GDP,BE,2003-01-01,1.83
TOTAL,PC_GDP,BE,2004-01-01,1.81
TOTAL,PC_GDP,BE,2005-01-01,1.78
TOTAL,PC_GDP,BE,2006-01-01,1.81
TOTAL,PC_GDP,BE,2007-01-01,1.84
TOTAL,PC_GDP,BE,2008-01-01,1.92
TOTAL,PC_GDP,BE,2009-01-01,1.99
TOTAL,PC_GDP,BE,2010-01-01,2.05
TOTAL,PC_GDP,BE,2011-01-01,2.16
TOTAL,PC_GDP,BE,2012-01-01,2.27
TOTAL,PC_GDP,BE,2013-01-01,2.33
TOTAL,PC_GDP,BE,2014-01-01,2.39
TOTAL,PC_GDP,BE,2015-01-01,2.47
TOTAL,PC_GDP,BE,2016-01-01,2.49
TOTAL,PC_GDP,BG,1995-01-01,0.56
TOTAL,PC_GDP,BG,1996-01-01,0.51
TOTAL,PC_GDP,BG,1997-01-01,0.47
TOTAL,PC_GDP,BG,1998-01-01,0.5
TOTAL,PC_GDP,BG,1999-01-01,0.54
TOTAL,PC_GDP,BG,2000-01-01,0.5
TOTAL,PC_GDP,BG,2001-01-01,0.45
TOTAL,PC_GDP,BG,2002-01-01,0.47
TOTAL,PC_GDP,BG,2003-01-01,0.48
TOTAL,PC_GDP,BG,2004-01-01,0.47
TOTAL,PC_GDP,BG,2005-01-01,0.45
TOTAL,PC_GDP,BG,2006-01-01,0.45
TOTAL,PC_GDP,BG,2007-01-01,0.43
TOTAL,PC_GDP,BG,2008-01-01,0.45
TOTAL,PC_GDP,BG,2009-01-01,0.49
TOTAL,PC_GDP,BG,2010-01-01,0.56
TOTAL,PC_GDP,BG,2011-01-01,0.53
TOTAL,PC_GDP,BG,2012-01-01,0.6
TOTAL,PC_GDP,BG,2013-01-01,0.63
TOTAL,PC_GDP,BG,2014-01-01,0.79
TOTAL,PC_GDP,BG,2015-01-01,0.96
TOTAL,PC_GDP,BG,2016-01-01,0.78
TOTAL,PC_GDP,CY,1995-01-01,
TOTAL,PC_GDP,CY,1996-01-01,
TOTAL,PC_GDP,CY,1997-01-01,
TOTAL,PC_GDP,CY,1998-01-01,0.2
TOTAL,PC_GDP,CY,1999-01-01,0.22
TOTAL,PC_GDP,CY,2000-01-01,0.23
TOTAL,PC_GDP,CY,2001-01-01,0.24
TOTAL,PC_GDP,CY,2002-01-01,0.28
TOTAL,PC_GDP,CY,2003-01-01,0.32
TOTAL,PC_GDP,CY,2004-01-01,0.34
TOTAL,PC_GDP,CY,2005-01-01,0.37
TOTAL,PC_GDP,CY,2006-01-01,0.38
TOTAL,PC_GDP,CY,2007-01-01,0.4
TOTAL,PC_GDP,CY,2008-01-01,0.39
TOTAL,PC_GDP,CY,2009-01-01,0.44
TOTAL,PC_GDP,CY,2010-01-01,0.45
TOTAL,PC_GDP,CY,2011-01-01,0.46
TOTAL,PC_GDP,CY,2012-01-01,0.44
TOTAL,PC_GDP,CY,2013-01-01,0.48
TOTAL,PC_GDP,CY,2014-01-01,0.51
TOTAL,PC_GDP,CY,2015-01-01,0.48
TOTAL,PC_GDP,CY,2016-01-01,0.5
TOTAL,PC_GDP,CZ,1995-01-01,0.88
TOTAL,PC_GDP,CZ,1996-01-01,0.89
TOTAL,PC_GDP,CZ,1997-01-01,0.99
TOTAL,PC_GDP,CZ,1998-01-01,1.07
TOTAL,PC_GDP,CZ,1999-01-01,1.05
TOTAL,PC_GDP,CZ,2000-01-01,1.11
TOTAL,PC_GDP,CZ,2001-01-01,1.1
TOTAL,PC_GDP,CZ,2002-01-01,1.1
TOTAL,PC_GDP,CZ,2003-01-01,1.15
TOTAL,PC_GDP,CZ,2004-01-01,1.15
TOTAL,PC_GDP,CZ,2005-01-01,1.17
TOTAL,PC_GDP,CZ,2006-01-01,1.23
TOTAL,PC_GDP,CZ,2007-01-01,1.3
TOTAL,PC_GDP,CZ,2008-01-01,1.24
TOTAL,PC_GDP,CZ,2009-01-01,1.29
TOTAL,PC_GDP,CZ,2010-01-01,1.34
TOTAL,PC_GDP,CZ,2011-01-01,1.56
TOTAL,PC_GDP,CZ,2012-01-01,1.78
TOTAL,PC_GDP,CZ,2013-01-01,1.9
TOTAL,PC_GDP,CZ,2014-01-01,1.97
TOTAL,PC_GDP,CZ,2015-01-01,1.93
TOTAL,PC_GDP,CZ,2016-01-01,1.68
TOTAL,PC_GDP,DE,1995-01-01,2.13
TOTAL,PC_GDP,DE,1996-01-01,2.14
TOTAL,PC_GDP,DE,1997-01-01,2.18
TOTAL,PC_GDP,DE,1998-01-01,2.21
TOTAL,PC_GDP,DE,1999-01-01,2.33
TOTAL,PC_GDP,DE,2000-01-01,2.39
TOTAL,PC_GDP,DE,2001-01-01,2.39
TOTAL,PC_GDP,DE,2002-01-01,2.42
TOTAL,PC_GDP,DE,2003-01-01,2.46
TOTAL,PC_GDP,DE,2004-01-01,2.42
TOTAL,PC_GDP,DE,2005-01-01,2.42
TOTAL,PC_GDP,DE,2006-01-01,2.46
TOTAL,PC_GDP,DE,2007-01-01,2.45
TOTAL,PC_GDP,DE,2008-01-01,2.6
TOTAL,PC_GDP,DE,2009-01-01,2.72
TOTAL,PC_GDP,DE,2010-01-01,2.71
TOTAL,PC_GDP,DE,2011-01-01,2.8
TOTAL,PC_GDP,DE,2012-01-01,2.87
TOTAL,PC_GDP,DE,2013-01-01,2.82
TOTAL,PC_GDP,DE,2014-01-01,2.87
TOTAL,PC_GDP,DE,2015-01-01,2.92
TOTAL,PC_GDP,DE,2016-01-01,2.94
TOTAL,PC_GDP,DK,1995-01-01,1.79
TOTAL,PC_GDP,DK,1996-01-01,1.81
TOTAL,PC_GDP,DK,1997-01-01,1.89
TOTAL,PC_GDP,DK,1998-01-01,2.01
TOTAL,PC_GDP,DK,1999-01-01,2.13
TOTAL,PC_GDP,DK,2000-01-01,2.19
TOTAL,PC_GDP,DK,2001-01-01,2.32
TOTAL,PC_GDP,DK,2002-01-01,2.44
TOTAL,PC_GDP,DK,2003-01-01,2.51
TOTAL,PC_GDP,DK,2004-01-01,2.42
TOTAL,PC_GDP,DK,2005-01-01,2.39
TOTAL,PC_GDP,DK,2006-01-01,2.4
TOTAL,PC_GDP,DK,2007-01-01,2.52
TOTAL,PC_GDP,DK,2008-01-01,2.77
TOTAL,PC_GDP,DK,2009-01-01,3.06
TOTAL,PC_GDP,DK,2010-01-01,2.92
TOTAL,PC_GDP,DK,2011-01-01,2.94
TOTAL,PC_GDP,DK,2012-01-01,2.98
TOTAL,PC_GDP,DK,2013-01-01,2.97
TOTAL,PC_GDP,DK,2014-01-01,2.91
TOTAL,PC_GDP,DK,2015-01-01,2.96
TOTAL,PC_GDP,DK,2016-01-01,2.87
TOTAL,PC_GDP,EE,1995-01-01,
TOTAL,PC_GDP,EE,1996-01-01,
TOTAL,PC_GDP,EE,1997-01-01,
TOTAL,PC_GDP,EE,1998-01-01,0.57
TOTAL,PC_GDP,EE,1999-01-01,0.68
TOTAL,PC_GDP,EE,2000-01-01,0.6
TOTAL,PC_GDP,EE,2001-01-01,0.7
TOTAL,PC_GDP,EE,2002-01-01,0.72
TOTAL,PC_GDP,EE,2003-01-01,0.77
TOTAL,PC_GDP,EE,2004-01-01,0.85
TOTAL,PC_GDP,EE,2005-01-01,0.92
TOTAL,PC_GDP,EE,2006-01-01,1.12
TOTAL,PC_GDP,EE,2007-01-01,1.07
TOTAL,PC_GDP,EE,2008-01-01,1.26
TOTAL,PC_GDP,EE,2009-01-01,1.4
TOTAL,PC_GDP,EE,2010-01-01,1.58
TOTAL,PC_GDP,EE,2011-01-01,2.31
TOTAL,PC_GDP,EE,2012-01-01,2.12
TOTAL,PC_GDP,EE,2013-01-01,1.72
TOTAL,PC_GDP,EE,2014-01-01,1.45
TOTAL,PC_GDP,EE,2015-01-01,1.49
TOTAL,PC_GDP,EE,2016-01-01,1.28
TOTAL,PC_GDP,EL,1995-01-01,0.42
TOTAL,PC_GDP,EL,1996-01-01,
TOTAL,PC_GDP,EL,1997-01-01,0.43
TOTAL,PC_GDP,EL,1998-01-01,
TOTAL,PC_GDP,EL,1999-01-01,0.57
TOTAL,PC_GDP,EL,2000-01-01,
TOTAL,PC_GDP,EL,2001-01-01,0.56
TOTAL,PC_GDP,EL,2002-01-01,
TOTAL,PC_GDP,EL,2003-01-01,0.55
TOTAL,PC_GDP,EL,2004-01-01,0.53
TOTAL,PC_GDP,EL,2005-01-01,0.58
TOTAL,PC_GDP,EL,2006-01-01,0.56
TOTAL,PC_GDP,EL,2007-01-01,0.58
TOTAL,PC_GDP,EL,2008-01-01,0.66
TOTAL,PC_GDP,EL,2009-01-01,0.63
TOTAL,PC_GDP,EL,2010-01-01,0.6
TOTAL,PC_GDP,EL,2011-01-01,0.67
TOTAL,PC_GDP,EL,2012-01-01,0.7
TOTAL,PC_GDP,EL,2013-01-01,0.81
TOTAL,PC_GDP,EL,2014-01-01,0.83
TOTAL,PC_GDP,EL,2015-01-01,0.97
TOTAL,PC_GDP,EL,2016-01-01,1.01
TOTAL,PC_GDP,ES,1995-01-01,0.77
TOTAL,PC_GDP,ES,1996-01-01,0.79
TOTAL,PC_GDP,ES,1997-01-01,0.78
TOTAL,PC_GDP,ES,1998-01-01,0.85
TOTAL,PC_GDP,ES,1999-01-01,0.84
TOTAL,PC_GDP,ES,2000-01-01,0.89
TOTAL,PC_GDP,ES,2001-01-01,0.89
TOTAL,PC_GDP,ES,2002-01-01,0.96
TOTAL,PC_GDP,ES,2003-01-01,1.02
TOTAL,PC_GDP,ES,2004-01-01,1.04
TOTAL,PC_GDP,ES,2005-01-01,1.1
TOTAL,PC_GDP,ES,2006-01-01,1.17
TOTAL,PC_GDP,ES,2007-01-01,1.23
TOTAL,PC_GDP,ES,2008-01-01,1.32
TOTAL,PC_GDP,ES,2009-01-01,1.35
TOTAL,PC_GDP,ES,2010-01-01,1.35
TOTAL,PC_GDP,ES,2011-01-01,1.33
TOTAL,PC_GDP,ES,2012-01-01,1.29
TOTAL,PC_GDP,ES,2013-01-01,1.27
TOTAL,PC_GDP,ES,2014-01-01,1.24
TOTAL,PC_GDP,ES,2015-01-01,1.22
TOTAL,PC_GDP,ES,2016-01-01,1.19
TOTAL,PC_GDP,FI,1995-01-01,2.2
TOTAL,PC_GDP,FI,1996-01-01,2.45
TOTAL,PC_GDP,FI,1997-01-01,2.62
TOTAL,PC_GDP,FI,1998-01-01,2.79
TOTAL,PC_GDP,FI,1999-01-01,3.06
TOTAL,PC_GDP,FI,2000-01-01,3.25
TOTAL,PC_GDP,FI,2001-01-01,3.2
TOTAL,PC_GDP,FI,2002-01-01,3.26
TOTAL,PC_GDP,FI,2003-01-01,3.3
TOTAL,PC_GDP,FI,2004-01-01,3.31
TOTAL,PC_GDP,FI,2005-01-01,3.33
TOTAL,PC_GDP,FI,2006-01-01,3.34
TOTAL,PC_GDP,FI,2007-01-01,3.35
TOTAL,PC_GDP,FI,2008-01-01,3.55
TOTAL,PC_GDP,FI,2009-01-01,3.75
TOTAL,PC_GDP,FI,2010-01-01,3.73
TOTAL,PC_GDP,FI,2011-01-01,3.64
TOTAL,PC_GDP,FI,2012-01-01,3.42
TOTAL,PC_GDP,FI,2013-01-01,3.29
TOTAL,PC_GDP,FI,2014-01-01,3.17
TOTAL,PC_GDP,FI,2015-01-01,2.9
TOTAL,PC_GDP,FI,2016-01-01,2.75
TOTAL,PC_GDP,FR,1995-01-01,2.23
TOTAL,PC_GDP,FR,1996-01-01,2.21
TOTAL,PC_GDP,FR,1997-01-01,2.14
TOTAL,PC_GDP,FR,1998-01-01,2.08
TOTAL,PC_GDP,FR,1999-01-01,2.1
TOTAL,PC_GDP,FR,2000-01-01,2.08
TOTAL,PC_GDP,FR,2001-01-01,2.13
TOTAL,PC_GDP,FR,2002-01-01,2.17
TOTAL,PC_GDP,FR,2003-01-01,2.11
TOTAL,PC_GDP,FR,2004-01-01,2.09
TOTAL,PC_GDP,FR,2005-01-01,2.04
TOTAL,PC_GDP,FR,2006-01-01,2.05
TOTAL,PC_GDP,FR,2007-01-01,2.02
TOTAL,PC_GDP,FR,2008-01-01,2.06
TOTAL,PC_GDP,FR,2009-01-01,2.21
TOTAL,PC_GDP,FR,2010-01-01,2.18
TOTAL,PC_GDP,FR,2011-01-01,2.19
TOTAL,PC_GDP,FR,2012-01-01,2.23
TOTAL,PC_GDP,FR,2013-01-01,2.24
TOTAL,PC_GDP,FR,2014-01-01,2.23
TOTAL,PC_GDP,FR,2015-01-01,2.27
TOTAL,PC_GDP,FR,2016-01-01,2.25
TOTAL,PC_GDP,HR,1995-01-01,
TOTAL,PC_GDP,HR,1996-01-01,
TOTAL,PC_GDP,HR,1997-01-01,
TOTAL,PC_GDP,HR,1998-01-01,
TOTAL,PC_GDP,HR,1999-01-01,
TOTAL,PC_GDP,HR,2000-01-01,
TOTAL,PC_GDP,HR,2001-01-01,
TOTAL,PC_GDP,HR,2002-01-01,0.95
TOTAL,PC_GDP,HR,2003-01-01,0.95
TOTAL,PC_GDP,HR,2004-01-01,1.03
TOTAL,PC_GDP,HR,2005-01-01,0.86
TOTAL,PC_GDP,HR,2006-01-01,0.74
TOTAL,PC_GDP,HR,2007-01-01,0.79
TOTAL,PC_GDP,HR,2008-01-01,0.88
TOTAL,PC_GDP,HR,2009-01-01,0.84
TOTAL,PC_GDP,HR,2010-01-01,0.74
TOTAL,PC_GDP,HR,2011-01-01,0.75
TOTAL,PC_GDP,HR,2012-01-01,0.75
TOTAL,PC_GDP,HR,2013-01-01,0.81
TOTAL,PC_GDP,HR,2014-01-01,0.78
TOTAL,PC_GDP,HR,2015-01-01,0.84
TOTAL,PC_GDP,HR,2016-01-01,0.85
TOTAL,PC_GDP,HU,1995-01-01,0.71
TOTAL,PC_GDP,HU,1996-01-01,0.63
TOTAL,PC_GDP,HU,1997-01-01,0.7
TOTAL,PC_GDP,HU,1998-01-01,0.66
TOTAL,PC_GDP,HU,1999-01-01,0.67
TOTAL,PC_GDP,HU,2000-01-01,0.79
TOTAL,PC_GDP,HU,2001-01-01,0.91
TOTAL,PC_GDP,HU,2002-01-01,0.98
TOTAL,PC_GDP,HU,2003-01-01,0.92
TOTAL,PC_GDP,HU,2004-01-01,0.86
TOTAL,PC_GDP,HU,2005-01-01,0.92
TOTAL,PC_GDP,HU,2006-01-01,0.98
TOTAL,PC_GDP,HU,2007-01-01,0.96
TOTAL,PC_GDP,HU,2008-01-01,0.98
TOTAL,PC_GDP,HU,2009-01-01,1.13
TOTAL,PC_GDP,HU,2010-01-01,1.14
TOTAL,PC_GDP,HU,2011-01-01,1.19
TOTAL,PC_GDP,HU,2012-01-01,1.26
TOTAL,PC_GDP,HU,2013-01-01,1.39
TOTAL,PC_GDP,HU,2014-01-01,1.35
TOTAL,PC_GDP,HU,2015-01-01,1.36
TOTAL,PC_GDP,HU,2016-01-01,1.21
TOTAL,PC_GDP,IE,1995-01-01,1.22
TOTAL,PC_GDP,IE,1996-01-01,1.27
TOTAL,PC_GDP,IE,1997-01-01,1.24
TOTAL,PC_GDP,IE,1998-01-01,1.21
TOTAL,PC_GDP,IE,1999-01-01,1.15
TOTAL,PC_GDP,IE,2000-01-01,1.09
TOTAL,PC_GDP,IE,2001-01-01,1.05
TOTAL,PC_GDP,IE,2002-01-01,1.06
TOTAL,PC_GDP,IE,2003-01-01,1.12
TOTAL,PC_GDP,IE,2004-01-01,1.18
TOTAL,PC_GDP,IE,2005-01-01,1.19
TOTAL,PC_GDP,IE,2006-01-01,1.2
TOTAL,PC_GDP,IE,2007-01-01,1.23
TOTAL,PC_GDP,IE,2008-01-01,1.39
TOTAL,PC_GDP,IE,2009-01-01,1.61
TOTAL,PC_GDP,IE,2010-01-01,1.59
TOTAL,PC_GDP,IE,2011-01-01,1.55
TOTAL,PC_GDP,IE,2012-01-01,1.56
TOTAL,PC_GDP,IE,2013-01-01,1.56
TOTAL,PC_GDP,IE,2014-01-01,1.5
TOTAL,PC_GDP,IE,2015-01-01,1.2
TOTAL,PC_GDP,IE,2016-01-01,1.18
TOTAL,PC_GDP,IT,1995-01-01,0.94
TOTAL,PC_GDP,IT,1996-01-01,0.95
TOTAL,PC_GDP,IT,1997-01-01,0.99
TOTAL,PC_GDP,IT,1998-01-01,1.01
TOTAL,PC_GDP,IT,1999-01-01,0.98
TOTAL,PC_GDP,IT,2000-01-01,1.01
TOTAL,PC_GDP,IT,2001-01-01,1.04
TOTAL,PC_GDP,IT,2002-01-01,1.08
TOTAL,PC_GDP,IT,2003-01-01,1.06
TOTAL,PC_GDP,IT,2004-01-01,1.05
TOTAL,PC_GDP,IT,2005-01-01,1.05
TOTAL,PC_GDP,IT,2006-01-01,1.09
TOTAL,PC_GDP,IT,2007-01-01,1.13
TOTAL,PC_GDP,IT,2008-01-01,1.16
TOTAL,PC_GDP,IT,2009-01-01,1.22
TOTAL,PC_GDP,IT,2010-01-01,1.22
TOTAL,PC_GDP,IT,2011-01-01,1.21
TOTAL,PC_GDP,IT,2012-01-01,1.27
TOTAL,PC_GDP,IT,2013-01-01,1.31
TOTAL,PC_GDP,IT,2014-01-01,1.34
TOTAL,PC_GDP,IT,2015-01-01,1.34
TOTAL,PC_GDP,IT,2016-01-01,1.29
TOTAL,PC_GDP,LT,1995-01-01,0.43
TOTAL,PC_GDP,LT,1996-01-01,0.49
TOTAL,PC_GDP,LT,1997-01-01,0.54
TOTAL,PC_GDP,LT,1998-01-01,0.54
TOTAL,PC_GDP,LT,1999-01-01,0.5
TOTAL,PC_GDP,LT,2000-01-01,0.58
TOTAL,PC_GDP,LT,2001-01-01,0.67
TOTAL,PC_GDP,LT,2002-01-01,0.66
TOTAL,PC_GDP,LT,2003-01-01,0.66
TOTAL,PC_GDP,LT,2004-01-01,0.75
TOTAL,PC_GDP,LT,2005-01-01,0.75
TOTAL,PC_GDP,LT,2006-01-01,0.79
TOTAL,PC_GDP,LT,2007-01-01,0.8
TOTAL,PC_GDP,LT,2008-01-01,0.79
TOTAL,PC_GDP,LT,2009-01-01,0.83
TOTAL,PC_GDP,LT,2010-01-01,0.78
TOTAL,PC_GDP,LT,2011-01-01,0.9
TOTAL,PC_GDP,LT,2012-01-01,0.89
TOTAL,PC_GDP,LT,2013-01-01,0.95
TOTAL,PC_GDP,LT,2014-01-01,1.03
TOTAL,PC_GDP,LT,2015-01-01,1.04
TOTAL,PC_GDP,LT,2016-01-01,0.85
TOTAL,PC_GDP,LU,1995-01-01,
TOTAL,PC_GDP,LU,1996-01-01,
TOTAL,PC_GDP,LU,1997-01-01,
TOTAL,PC_GDP,LU,1998-01-01,
TOTAL,PC_GDP,LU,1999-01-01,
TOTAL,PC_GDP,LU,2000-01-01,1.58
TOTAL,PC_GDP,LU,2001-01-01,
TOTAL,PC_GDP,LU,2002-01-01,
TOTAL,PC_GDP,LU,2003-01-01,1.63
TOTAL,PC_GDP,LU,2004-01-01,1.6
TOTAL,PC_GDP,LU,2005-01-01,1.57
TOTAL,PC_GDP,LU,2006-01-01,1.67
TOTAL,PC_GDP,LU,2007-01-01,1.59
