unit,hhtyp,incgrp,sex,age,geotime,date,value
PC,TOTAL,A_MD60,T,TOTAL,LU,2008-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,LU,2009-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,LU,2010-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,LU,2011-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,LU,2012-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,LU,2013-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,LU,2014-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,LU,2015-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,LU,2016-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,LU,2017-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,LV,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,LV,2004-01-01,
PC,TOTAL,A_MD60,T,TOTAL,LV,2005-01-01,14
PC,TOTAL,A_MD60,T,TOTAL,LV,2006-01-01,11
PC,TOTAL,A_MD60,T,TOTAL,LV,2007-01-01,14
PC,TOTAL,A_MD60,T,TOTAL,LV,2008-01-01,9
PC,TOTAL,A_MD60,T,TOTAL,LV,2009-01-01,8
PC,TOTAL,A_MD60,T,TOTAL,LV,2010-01-01,10
PC,TOTAL,A_MD60,T,TOTAL,LV,2011-01-01,10
PC,TOTAL,A_MD60,T,TOTAL,LV,2012-01-01,10
PC,TOTAL,A_MD60,T,TOTAL,LV,2013-01-01,9
PC,TOTAL,A_MD60,T,TOTAL,LV,2014-01-01,8
PC,TOTAL,A_MD60,T,TOTAL,LV,2015-01-01,7
PC,TOTAL,A_MD60,T,TOTAL,LV,2016-01-01,6
PC,TOTAL,A_MD60,T,TOTAL,LV,2017-01-01,5
PC,TOTAL,A_MD60,T,TOTAL,MK,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,MK,2004-01-01,
PC,TOTAL,A_MD60,T,TOTAL,MK,2005-01-01,
PC,TOTAL,A_MD60,T,TOTAL,MK,2006-01-01,
PC,TOTAL,A_MD60,T,TOTAL,MK,2007-01-01,
PC,TOTAL,A_MD60,T,TOTAL,MK,2008-01-01,
PC,TOTAL,A_MD60,T,TOTAL,MK,2009-01-01,
PC,TOTAL,A_MD60,T,TOTAL,MK,2010-01-01,
PC,TOTAL,A_MD60,T,TOTAL,MK,2011-01-01,
PC,TOTAL,A_MD60,T,TOTAL,MK,2012-01-01,3
PC,TOTAL,A_MD60,T,TOTAL,MK,2013-01-01,2
PC,TOTAL,A_MD60,T,TOTAL,MK,2014-01-01,3
PC,TOTAL,A_MD60,T,TOTAL,MK,2015-01-01,2
PC,TOTAL,A_MD60,T,TOTAL,MK,2016-01-01,2
PC,TOTAL,A_MD60,T,TOTAL,MK,2017-01-01,
PC,TOTAL,A_MD60,T,TOTAL,MT,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,MT,2004-01-01,
PC,TOTAL,A_MD60,T,TOTAL,MT,2005-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,MT,2006-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,MT,2007-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,MT,2008-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,MT,2009-01-01,0
