sex,age,unit,geo\time,date,value
T,Y25-74,PC_ACT,DE,2012-01-01,5.1
T,Y25-74,PC_ACT,DE,2013-01-01,4.9
T,Y25-74,PC_ACT,DE,2014-01-01,4.7
T,Y25-74,PC_ACT,DE,2015-01-01,4.4
T,Y25-74,PC_ACT,DE,2016-01-01,3.8
T,Y25-74,PC_ACT,DE,2017-01-01,3.4 
T,Y25-74,PC_ACT,DK,1995-01-01,6.1 
T,Y25-74,PC_ACT,DK,1996-01-01,5.6 
T,Y25-74,PC_ACT,DK,1997-01-01,4.7 
T,Y25-74,PC_ACT,DK,1998-01-01,4.4 
T,Y25-74,PC_ACT,DK,1999-01-01,4.4 
T,Y25-74,PC_ACT,DK,2000-01-01,4.0 
T,Y25-74,PC_ACT,DK,2001-01-01,3.9 
T,Y25-74,PC_ACT,DK,2002-01-01,4.1 
T,Y25-74,PC_ACT,DK,2003-01-01,4.8 
T,Y25-74,PC_ACT,DK,2004-01-01,5.1 
T,Y25-74,PC_ACT,DK,2005-01-01,4.2 
T,Y25-74,PC_ACT,DK,2006-01-01,3.2 d
T,Y25-74,PC_ACT,DK,2007-01-01,3.2
T,Y25-74,PC_ACT,DK,2008-01-01,2.6 
T,Y25-74,PC_ACT,DK,2009-01-01,4.9 
T,Y25-74,PC_ACT,DK,2010-01-01,6.3 
T,Y25-74,PC_ACT,DK,2011-01-01,6.3 
T,Y25-74,PC_ACT,DK,2012-01-01,6.3
T,Y25-74,PC_ACT,DK,2013-01-01,5.9
T,Y25-74,PC_ACT,DK,2014-01-01,5.5
T,Y25-74,PC_ACT,DK,2015-01-01,5.3
T,Y25-74,PC_ACT,DK,2016-01-01,5.1
T,Y25-74,PC_ACT,DK,2017-01-01,4.8 
T,Y25-74,PC_ACT,EE,1995-01-01,: 
T,Y25-74,PC_ACT,EE,1996-01-01,: 
T,Y25-74,PC_ACT,EE,1997-01-01,: 
T,Y25-74,PC_ACT,EE,1998-01-01,: 
T,Y25-74,PC_ACT,EE,1999-01-01,: 
T,Y25-74,PC_ACT,EE,2000-01-01,13.4 
T,Y25-74,PC_ACT,EE,2001-01-01,11.9 
T,Y25-74,PC_ACT,EE,2002-01-01,10.5 
T,Y25-74,PC_ACT,EE,2003-01-01,9.0 
T,Y25-74,PC_ACT,EE,2004-01-01,8.4 
T,Y25-74,PC_ACT,EE,2005-01-01,7.2 
