sex,age,unit,geotime,date,value
F,TOTAL,PC,SI,2009-01-01,19
F,TOTAL,PC,SI,2010-01-01,20
F,TOTAL,PC,SI,2011-01-01,21
F,TOTAL,PC,SI,2012-01-01,20
F,TOTAL,PC,SI,2013-01-01,21
F,TOTAL,PC,SI,2014-01-01,21
F,TOTAL,PC,SI,2015-01-01,
F,TOTAL,PC,SI,2016-01-01,19
F,TOTAL,PC,SI,2017-01-01,18
F,TOTAL,PC,SK,2005-01-01,33
F,TOTAL,PC,SK,2006-01-01,27
F,TOTAL,PC,SK,2007-01-01,23
F,TOTAL,PC,SK,2008-01-01,22
F,TOTAL,PC,SK,2009-01-01,21
F,TOTAL,PC,SK,2010-01-01,21
F,TOTAL,PC,SK,2011-01-01,21
F,TOTAL,PC,SK,2012-01-01,21
F,TOTAL,PC,SK,2013-01-01,20
F,TOTAL,PC,SK,2014-01-01,18
F,TOTAL,PC,SK,2015-01-01,
F,TOTAL,PC,SK,2016-01-01,18
F,TOTAL,PC,SK,2017-01-01,16
F,TOTAL,PC,TR,2005-01-01,
F,TOTAL,PC,TR,2006-01-01,66
F,TOTAL,PC,TR,2007-01-01,64
F,TOTAL,PC,TR,2008-01-01,64
F,TOTAL,PC,TR,2009-01-01,64
F,TOTAL,PC,TR,2010-01-01,66
F,TOTAL,PC,TR,2011-01-01,64
F,TOTAL,PC,TR,2012-01-01,62
F,TOTAL,PC,TR,2013-01-01,52
F,TOTAL,PC,TR,2014-01-01,42
F,TOTAL,PC,TR,2015-01-01,
F,TOTAL,PC,TR,2016-01-01,
F,TOTAL,PC,TR,2017-01-01,
F,TOTAL,PC,UK,2005-01-01,25
F,TOTAL,PC,UK,2006-01-01,25
F,TOTAL,PC,UK,2007-01-01,24
F,TOTAL,PC,UK,2008-01-01,24
F,TOTAL,PC,UK,2009-01-01,22
F,TOTAL,PC,UK,2010-01-01,24
F,TOTAL,PC,UK,2011-01-01,24
F,TOTAL,PC,UK,2012-01-01,24
F,TOTAL,PC,UK,2013-01-01,25
F,TOTAL,PC,UK,2014-01-01,25
F,TOTAL,PC,UK,2015-01-01,
F,TOTAL,PC,UK,2016-01-01,23
F,TOTAL,PC,UK,2017-01-01,
M,TOTAL,PC,AT,2005-01-01,15
M,TOTAL,PC,AT,2006-01-01,15
M,TOTAL,PC,AT,2007-01-01,14
M,TOTAL,PC,AT,2008-01-01,18
M,TOTAL,PC,AT,2009-01-01,17
M,TOTAL,PC,AT,2010-01-01,17
M,TOTAL,PC,AT,2011-01-01,17
M,TOTAL,PC,AT,2012-01-01,17
M,TOTAL,PC,AT,2013-01-01,17
M,TOTAL,PC,AT,2014-01-01,17
M,TOTAL,PC,AT,2015-01-01,
M,TOTAL,PC,AT,2016-01-01,16
M,TOTAL,PC,AT,2017-01-01,16
M,TOTAL,PC,BE,2005-01-01,21
M,TOTAL,PC,BE,2006-01-01,20
M,TOTAL,PC,BE,2007-01-01,19
M,TOTAL,PC,BE,2008-01-01,19
M,TOTAL,PC,BE,2009-01-01,18
M,TOTAL,PC,BE,2010-01-01,20
M,TOTAL,PC,BE,2011-01-01,20
M,TOTAL,PC,BE,2012-01-01,20
M,TOTAL,PC,BE,2013-01-01,20
M,TOTAL,PC,BE,2014-01-01,20
M,TOTAL,PC,BE,2015-01-01,
M,TOTAL,PC,BE,2016-01-01,19
M,TOTAL,PC,BE,2017-01-01,19
M,TOTAL,PC,BG,2005-01-01,
M,TOTAL,PC,BG,2006-01-01,60
M,TOTAL,PC,BG,2007-01-01,59
M,TOTAL,PC,BG,2008-01-01,43
M,TOTAL,PC,BG,2009-01-01,44
M,TOTAL,PC,BG,2010-01-01,47
M,TOTAL,PC,BG,2011-01-01,47
M,TOTAL,PC,BG,2012-01-01,47
M,TOTAL,PC,BG,2013-01-01,46
M,TOTAL,PC,BG,2014-01-01,38
M,TOTAL,PC,BG,2015-01-01,
M,TOTAL,PC,BG,2016-01-01,38
M,TOTAL,PC,BG,2017-01-01,37
M,TOTAL,PC,CH,2005-01-01,
M,TOTAL,PC,CH,2006-01-01,
M,TOTAL,PC,CH,2007-01-01,16
M,TOTAL,PC,CH,2008-01-01,16
M,TOTAL,PC,CH,2009-01-01,16
M,TOTAL,PC,CH,2010-01-01,15
M,TOTAL,PC,CH,2011-01-01,15
M,TOTAL,PC,CH,2012-01-01,15
M,TOTAL,PC,CH,2013-01-01,15
M,TOTAL,PC,CH,2014-01-01,14
M,TOTAL,PC,CH,2015-01-01,
M,TOTAL,PC,CH,2016-01-01,16
M,TOTAL,PC,CH,2017-01-01,
M,TOTAL,PC,CY,2005-01-01,23
M,TOTAL,PC,CY,2006-01-01,23
M,TOTAL,PC,CY,2007-01-01,22
M,TOTAL,PC,CY,2008-01-01,20
M,TOTAL,PC,CY,2009-01-01,20
M,TOTAL,PC,CY,2010-01-01,22
M,TOTAL,PC,CY,2011-01-01,22
M,TOTAL,PC,CY,2012-01-01,25
M,TOTAL,PC,CY,2013-01-01,26
M,TOTAL,PC,CY,2014-01-01,26
M,TOTAL,PC,CY,2015-01-01,
M,TOTAL,PC,CY,2016-01-01,26
M,TOTAL,PC,CY,2017-01-01,24
M,TOTAL,PC,CZ,2005-01-01,17
M,TOTAL,PC,CZ,2006-01-01,16
M,TOTAL,PC,CZ,2007-01-01,14
M,TOTAL,PC,CZ,2008-01-01,13
M,TOTAL,PC,CZ,2009-01-01,12
M,TOTAL,PC,CZ,2010-01-01,12
M,TOTAL,PC,CZ,2011-01-01,13
M,TOTAL,PC,CZ,2012-01-01,13
M,TOTAL,PC,CZ,2013-01-01,13
M,TOTAL,PC,CZ,2014-01-01,13
M,TOTAL,PC,CZ,2015-01-01,
M,TOTAL,PC,CZ,2016-01-01,12
M,TOTAL,PC,CZ,2017-01-01,10
M,TOTAL,PC,DE,2005-01-01,17
M,TOTAL,PC,DE,2006-01-01,18
M,TOTAL,PC,DE,2007-01-01,18
M,TOTAL,PC,DE,2008-01-01,18
M,TOTAL,PC,DE,2009-01-01,18
M,TOTAL,PC,DE,2010-01-01,18
M,TOTAL,PC,DE,2011-01-01,18
M,TOTAL,PC,DE,2012-01-01,18
M,TOTAL,PC,DE,2013-01-01,18
M,TOTAL,PC,DE,2014-01-01,19
M,TOTAL,PC,DE,2015-01-01,
M,TOTAL,PC,DE,2016-01-01,18
M,TOTAL,PC,DE,2017-01-01,17
