currency,indic_il,hhtyp,geo\time,date,value
PPS,LI_C_MD60,A1,SE,2017-01-01,12100 
PPS,LI_C_MD60,A1,SI,2006-01-01,7292 
PPS,LI_C_MD60,A1,SI,2007-01-01,7753 
PPS,LI_C_MD60,A1,SI,2008-01-01,8287 
PPS,LI_C_MD60,A1,SI,2009-01-01,8599 
PPS,LI_C_MD60,A1,SI,2010-01-01,8009 
PPS,LI_C_MD60,A1,SI,2011-01-01,8364 
PPS,LI_C_MD60,A1,SI,2012-01-01,8563 
PPS,LI_C_MD60,A1,SI,2013-01-01,8527
PPS,LI_C_MD60,A1,SI,2014-01-01,8597 
PPS,LI_C_MD60,A1,SI,2015-01-01,9061
PPS,LI_C_MD60,A1,SI,2016-01-01,9149 
PPS,LI_C_MD60,A1,SI,2017-01-01,9098 
PPS,LI_C_MD60,A1,SK,2006-01-01,2772 
PPS,LI_C_MD60,A1,SK,2007-01-01,3365 
PPS,LI_C_MD60,A1,SK,2008-01-01,4058 
PPS,LI_C_MD60,A1,SK,2009-01-01,4694 
PPS,LI_C_MD60,A1,SK,2010-01-01,5016 
PPS,LI_C_MD60,A1,SK,2011-01-01,5385 
PPS,LI_C_MD60,A1,SK,2012-01-01,5879 
PPS,LI_C_MD60,A1,SK,2013-01-01,5743
PPS,LI_C_MD60,A1,SK,2014-01-01,5883 
PPS,LI_C_MD60,A1,SK,2015-01-01,6132
PPS,LI_C_MD60,A1,SK,2016-01-01,6281 
PPS,LI_C_MD60,A1,SK,2017-01-01,6336 
PPS,LI_C_MD60,A1,TR,2006-01-01,2116 
PPS,LI_C_MD60,A1,TR,2007-01-01,2434 
PPS,LI_C_MD60,A1,TR,2008-01-01,2486 
PPS,LI_C_MD60,A1,TR,2009-01-01,2682 
PPS,LI_C_MD60,A1,TR,2010-01-01,2608 
PPS,LI_C_MD60,A1,TR,2011-01-01,2859 
PPS,LI_C_MD60,A1,TR,2012-01-01,3112 
PPS,LI_C_MD60,A1,TR,2013-01-01,3163
PPS,LI_C_MD60,A1,TR,2014-01-01,3274 
PPS,LI_C_MD60,A1,TR,2015-01-01,3397
PPS,LI_C_MD60,A1,TR,2016-01-01,: 
PPS,LI_C_MD60,A1,TR,2017-01-01,: 
PPS,LI_C_MD60,A1,UK,2006-01-01,10578 
PPS,LI_C_MD60,A1,UK,2007-01-01,11267 
PPS,LI_C_MD60,A1,UK,2008-01-01,11126 
PPS,LI_C_MD60,A1,UK,2009-01-01,10091 
PPS,LI_C_MD60,A1,UK,2010-01-01,9521 
PPS,LI_C_MD60,A1,UK,2011-01-01,9466 
PPS,LI_C_MD60,A1,UK,2012-01-01,9868 b
PPS,LI_C_MD60,A1,UK,2013-01-01,10060
PPS,LI_C_MD60,A1,UK,2014-01-01,10138 
PPS,LI_C_MD60,A1,UK,2015-01-01,10669
PPS,LI_C_MD60,A1,UK,2016-01-01,10421 
PPS,LI_C_MD60,A1,UK,2017-01-01,: 
PPS,LI_C_MD60,A2_2CH_LT14,AT,2006-01-01,21950 
PPS,LI_C_MD60,A2_2CH_LT14,AT,2007-01-01,22441 
PPS,LI_C_MD60,A2_2CH_LT14,AT,2008-01-01,23855 b
