exch_rt,unit,geotime,date,value
REER_IC42_CPI,I10,MT,2017-12-01,97.85
REER_IC42_CPI,I10,MT,2018-01-01,97.49
REER_IC42_CPI,I10,MT,2018-02-01,97.82
REER_IC42_CPI,I10,MT,2018-03-01,98.38
REER_IC42_CPI,I10,MT,2018-04-01,100.69
REER_IC42_CPI,I10,MT,2018-05-01,100.72
REER_IC42_CPI,I10,MT,2018-06-01,101.67
REER_IC42_CPI,I10,MT,2018-07-01,102.64
REER_IC42_CPI,I10,MT,2018-08-01,103.32
REER_IC42_CPI,I10,NL,2017-09-01,100.2
REER_IC42_CPI,I10,NL,2017-10-01,100.19
REER_IC42_CPI,I10,NL,2017-11-01,99.76
REER_IC42_CPI,I10,NL,2017-12-01,99.51
REER_IC42_CPI,I10,NL,2018-01-01,99.86
REER_IC42_CPI,I10,NL,2018-02-01,100.37
REER_IC42_CPI,I10,NL,2018-03-01,100.26
REER_IC42_CPI,I10,NL,2018-04-01,100.98
REER_IC42_CPI,I10,NL,2018-05-01,100.57
REER_IC42_CPI,I10,NL,2018-06-01,99.77
REER_IC42_CPI,I10,NL,2018-07-01,101.32
REER_IC42_CPI,I10,NL,2018-08-01,101.89
REER_IC42_CPI,I10,NO,2017-09-01,88.51
REER_IC42_CPI,I10,NO,2017-10-01,87.61
REER_IC42_CPI,I10,NO,2017-11-01,85.9
REER_IC42_CPI,I10,NO,2017-12-01,83.63
REER_IC42_CPI,I10,NO,2018-01-01,85.65
REER_IC42_CPI,I10,NO,2018-02-01,86.19
REER_IC42_CPI,I10,NO,2018-03-01,87.03
REER_IC42_CPI,I10,NO,2018-04-01,86.82
REER_IC42_CPI,I10,NO,2018-05-01,86.64
REER_IC42_CPI,I10,NO,2018-06-01,88.05
REER_IC42_CPI,I10,NO,2018-07-01,89.01
REER_IC42_CPI,I10,NO,2018-08-01,87.72
REER_IC42_CPI,I10,PL,2017-09-01,94.1
REER_IC42_CPI,I10,PL,2017-10-01,94.41
REER_IC42_CPI,I10,PL,2017-11-01,95.69
REER_IC42_CPI,I10,PL,2017-12-01,96.25
REER_IC42_CPI,I10,PL,2018-01-01,97.93
REER_IC42_CPI,I10,PL,2018-02-01,97.32
REER_IC42_CPI,I10,PL,2018-03-01,96.0
REER_IC42_CPI,I10,PL,2018-04-01,96.82
REER_IC42_CPI,I10,PL,2018-05-01,94.31
REER_IC42_CPI,I10,PL,2018-06-01,93.72
REER_IC42_CPI,I10,PL,2018-07-01,93.39
REER_IC42_CPI,I10,PL,2018-08-01,94.48
REER_IC42_CPI,I10,PT,2017-09-01,100.14
REER_IC42_CPI,I10,PT,2017-10-01,100.28
REER_IC42_CPI,I10,PT,2017-11-01,99.14
REER_IC42_CPI,I10,PT,2017-12-01,98.92
REER_IC42_CPI,I10,PT,2018-01-01,98.59
REER_IC42_CPI,I10,PT,2018-02-01,97.82
REER_IC42_CPI,I10,PT,2018-03-01,99.45
REER_IC42_CPI,I10,PT,2018-04-01,100.05
REER_IC42_CPI,I10,PT,2018-05-01,99.96
REER_IC42_CPI,I10,PT,2018-06-01,99.75
REER_IC42_CPI,I10,PT,2018-07-01,99.96
REER_IC42_CPI,I10,PT,2018-08-01,99.38
REER_IC42_CPI,I10,RO,2017-09-01,96.35
REER_IC42_CPI,I10,RO,2017-10-01,97.47
REER_IC42_CPI,I10,RO,2017-11-01,97.27
REER_IC42_CPI,I10,RO,2017-12-01,97.34
