n_item,sex,age,unit,geotime,date,value
GE4,T,TOTAL,THS_PER,EA19,2010-01-01,20031
GE4,T,TOTAL,THS_PER,EA19,2011-01-01,22868
GE4,T,TOTAL,THS_PER,EA19,2012-01-01,25771
GE4,T,TOTAL,THS_PER,EA19,2013-01-01,24891
GE4,T,TOTAL,THS_PER,EA19,2014-01-01,24403
GE4,T,TOTAL,THS_PER,EA19,2015-01-01,23090
GE4,T,TOTAL,THS_PER,EA19,2016-01-01,22137
GE4,T,TOTAL,THS_PER,EA19,2017-01-01,19736
GE4,T,TOTAL,THS_PER,EE,2003-01-01,
GE4,T,TOTAL,THS_PER,EE,2004-01-01,126
GE4,T,TOTAL,THS_PER,EE,2005-01-01,166
GE4,T,TOTAL,THS_PER,EE,2006-01-01,94
GE4,T,TOTAL,THS_PER,EE,2007-01-01,75
GE4,T,TOTAL,THS_PER,EE,2008-01-01,65
GE4,T,TOTAL,THS_PER,EE,2009-01-01,83
GE4,T,TOTAL,THS_PER,EE,2010-01-01,119
GE4,T,TOTAL,THS_PER,EE,2011-01-01,115
GE4,T,TOTAL,THS_PER,EE,2012-01-01,124
GE4,T,TOTAL,THS_PER,EE,2013-01-01,100
GE4,T,TOTAL,THS_PER,EE,2014-01-01,81
GE4,T,TOTAL,THS_PER,EE,2015-01-01,58
GE4,T,TOTAL,THS_PER,EE,2016-01-01,61
GE4,T,TOTAL,THS_PER,EE,2017-01-01,53
GE4,T,TOTAL,THS_PER,EL,2003-01-01,1789
GE4,T,TOTAL,THS_PER,EL,2004-01-01,1500
GE4,T,TOTAL,THS_PER,EL,2005-01-01,1365
GE4,T,TOTAL,THS_PER,EL,2006-01-01,1236
GE4,T,TOTAL,THS_PER,EL,2007-01-01,1238
GE4,T,TOTAL,THS_PER,EL,2008-01-01,1213
GE4,T,TOTAL,THS_PER,EL,2009-01-01,1198
GE4,T,TOTAL,THS_PER,EL,2010-01-01,1269
GE4,T,TOTAL,THS_PER,EL,2011-01-01,1667
GE4,T,TOTAL,THS_PER,EL,2012-01-01,2141
GE4,T,TOTAL,THS_PER,EL,2013-01-01,2223
GE4,T,TOTAL,THS_PER,EL,2014-01-01,2322
GE4,T,TOTAL,THS_PER,EL,2015-01-01,2377
GE4,T,TOTAL,THS_PER,EL,2016-01-01,2388
GE4,T,TOTAL,THS_PER,EL,2017-01-01,2241
GE4,T,TOTAL,THS_PER,ES,2003-01-01,
GE4,T,TOTAL,THS_PER,ES,2004-01-01,2038
GE4,T,TOTAL,THS_PER,ES,2005-01-01,1768
GE4,T,TOTAL,THS_PER,ES,2006-01-01,1795
GE4,T,TOTAL,THS_PER,ES,2007-01-01,1580
GE4,T,TOTAL,THS_PER,ES,2008-01-01,1625
GE4,T,TOTAL,THS_PER,ES,2009-01-01,2066
GE4,T,TOTAL,THS_PER,ES,2010-01-01,2264
GE4,T,TOTAL,THS_PER,ES,2011-01-01,2100
GE4,T,TOTAL,THS_PER,ES,2012-01-01,2708
GE4,T,TOTAL,THS_PER,ES,2013-01-01,2862
GE4,T,TOTAL,THS_PER,ES,2014-01-01,3246
GE4,T,TOTAL,THS_PER,ES,2015-01-01,2964
GE4,T,TOTAL,THS_PER,ES,2016-01-01,2659
GE4,T,TOTAL,THS_PER,ES,2017-01-01,2364
GE4,T,TOTAL,THS_PER,EU,2003-01-01,
GE4,T,TOTAL,THS_PER,EU,2004-01-01,
GE4,T,TOTAL,THS_PER,EU,2005-01-01,
GE4,T,TOTAL,THS_PER,EU,2006-01-01,
GE4,T,TOTAL,THS_PER,EU,2007-01-01,
GE4,T,TOTAL,THS_PER,EU,2008-01-01,41554
GE4,T,TOTAL,THS_PER,EU,2009-01-01,40137
GE4,T,TOTAL,THS_PER,EU,2010-01-01,41682
GE4,T,TOTAL,THS_PER,EU,2011-01-01,44003
GE4,T,TOTAL,THS_PER,EU,2012-01-01,49496
GE4,T,TOTAL,THS_PER,EU,2013-01-01,48076
GE4,T,TOTAL,THS_PER,EU,2014-01-01,44465
GE4,T,TOTAL,THS_PER,EU,2015-01-01,40361
GE4,T,TOTAL,THS_PER,EU,2016-01-01,37800
GE4,T,TOTAL,THS_PER,EU,2017-01-01,34828
GE4,T,TOTAL,THS_PER,EU27,2003-01-01,
GE4,T,TOTAL,THS_PER,EU27,2004-01-01,
GE4,T,TOTAL,THS_PER,EU27,2005-01-01,52254
GE4,T,TOTAL,THS_PER,EU27,2006-01-01,48283
GE4,T,TOTAL,THS_PER,EU27,2007-01-01,44834
GE4,T,TOTAL,THS_PER,EU27,2008-01-01,41554
GE4,T,TOTAL,THS_PER,EU27,2009-01-01,40137
GE4,T,TOTAL,THS_PER,EU27,2010-01-01,41074
